,Unnamed: 0,year,regtyp,sex,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,Urban regions,male,Very often,0.00811,57,21966,0.00618,0.01004
1,1,2003,Urban regions,male,Often,0.03804,258,21966,0.03439,0.04225
2,2,2003,Urban regions,male,Sometimes,0.15491,1073,21966,0.14666,0.16421
3,3,2003,Urban regions,male,Seldom,0.33136,2348,21966,0.32101,0.34371
4,4,2003,Urban regions,male,Never,0.46758,3269,21966,0.4566,0.47899
5,5,2003,Urban regions,female,Very often,0.00598,50,21966,0.00482,0.00736
6,6,2003,Urban regions,female,Often,0.02645,230,21966,0.0236,0.02962
7,7,2003,Urban regions,female,Sometimes,0.1311,1015,21966,0.12417,0.13788
8,8,2003,Urban regions,female,Seldom,0.2978,2385,21966,0.28808,0.30648
9,9,2003,Urban regions,female,Never,0.53866,3911,21966,0.52769,0.55028
10,10,2003,Rural regions,male,Often,0.02495,85,21966,0.02104,0.02955
11,11,2003,Rural regions,male,Sometimes,0.12764,477,21966,0.11774,0.13635
12,12,2003,Rural regions,male,Seldom,0.30995,1137,21966,0.29503,0.32326
13,13,2003,Rural regions,male,Never,0.53746,1871,21966,0.51989,0.55707
14,14,2003,Rural regions,female,Often,0.01542,61,21966,0.0125,0.01921
15,15,2003,Rural regions,female,Sometimes,0.10339,397,21966,0.09446,0.11135
16,16,2003,Rural regions,female,Seldom,0.28132,1160,21966,0.26915,0.29487
17,17,2003,Rural regions,female,Never,0.59987,2182,21966,0.5827,0.61757
18,18,2008,Urban regions,male,Very often,0.00724,38,19122,0.00509,0.0094
19,19,2008,Urban regions,male,Often,0.03692,194,19122,0.03254,0.04123
20,20,2008,Urban regions,male,Sometimes,0.14512,811,19122,0.13709,0.15333
21,21,2008,Urban regions,male,Seldom,0.33825,2036,19122,0.32427,0.35315
22,22,2008,Urban regions,male,Never,0.47247,2885,19122,0.45933,0.4876
23,23,2008,Urban regions,female,Often,0.02432,146,19122,0.02154,0.02758
24,24,2008,Urban regions,female,Sometimes,0.12257,822,19122,0.11517,0.13014
25,25,2008,Urban regions,female,Seldom,0.30208,2044,19122,0.29056,0.31358
26,26,2008,Urban regions,female,Never,0.55103,3566,19122,0.53603,0.56651
27,27,2008,Rural regions,male,Often,0.02328,60,19122,0.01832,0.02985
28,28,2008,Rural regions,male,Sometimes,0.11605,344,19122,0.10299,0.13171
29,29,2008,Rural regions,male,Seldom,0.31349,997,19122,0.29634,0.3309
30,30,2008,Rural regions,male,Never,0.54718,1770,19122,0.52797,0.56621
31,31,2008,Rural regions,female,Often,0.01767,52,19122,0.0138,0.02177
32,32,2008,Rural regions,female,Sometimes,0.09603,309,19122,0.08528,0.10551
33,33,2008,Rural regions,female,Seldom,0.28211,960,19122,0.2669,0.30012
34,34,2008,Rural regions,female,Never,0.60419,2088,19122,0.57983,0.62536
35,35,2013,Urban regions,male,Very often,0.00413,36,25357,0.00267,0.00609
36,36,2013,Urban regions,male,Often,0.0363,289,25357,0.03181,0.04029
37,37,2013,Urban regions,male,Sometimes,0.14675,1060,25357,0.13718,0.15748
38,38,2013,Urban regions,male,Seldom,0.33717,2376,25357,0.32196,0.35442
39,39,2013,Urban regions,male,Never,0.47564,3464,25357,0.46091,0.49328
40,40,2013,Urban regions,female,Very often,0.00269,36,25357,0.00176,0.00395
41,41,2013,Urban regions,female,Often,0.02495,226,25357,0.0212,0.02886
42,42,2013,Urban regions,female,Sometimes,0.11857,1157,25357,0.11022,0.12674
43,43,2013,Urban regions,female,Seldom,0.31377,2801,25357,0.29932,0.33167
44,44,2013,Urban regions,female,Never,0.54002,4652,25357,0.52371,0.55659
45,45,2013,Rural regions,male,Often,0.02298,109,25357,0.01714,0.02869
46,46,2013,Rural regions,male,Sometimes,0.12517,497,25357,0.11078,0.13713
47,47,2013,Rural regions,male,Seldom,0.31591,1363,25357,0.29462,0.3382
48,48,2013,Rural regions,male,Never,0.53594,2269,25357,0.51417,0.5616
49,49,2013,Rural regions,female,Often,0.01652,96,25357,0.01305,0.02023
50,50,2013,Rural regions,female,Sometimes,0.09083,497,25357,0.08206,0.1011
51,51,2013,Rural regions,female,Seldom,0.26967,1372,25357,0.25055,0.2902
52,52,2013,Rural regions,female,Never,0.62298,3057,25357,0.60145,0.64864
53,53,2018,Urban regions,male,Very often,0.00953,88,25489,0.00715,0.01164
54,54,2018,Urban regions,male,Often,0.0551,418,25489,0.04994,0.06077
55,55,2018,Urban regions,male,Sometimes,0.1985,1485,25489,0.18802,0.21203
56,56,2018,Urban regions,male,Seldom,0.34525,2616,25489,0.33247,0.35943
57,57,2018,Urban regions,male,Never,0.39162,3002,25489,0.37527,0.40718
58,58,2018,Urban regions,female,Very often,0.00476,74,25489,0.00387,0.00584
59,59,2018,Urban regions,female,Often,0.04138,389,25489,0.03637,0.04666
60,60,2018,Urban regions,female,Sometimes,0.16882,1602,25489,0.15896,0.17938
61,61,2018,Urban regions,female,Seldom,0.31103,2881,25489,0.29628,0.32287
62,62,2018,Urban regions,female,Never,0.474,4041,25489,0.45851,0.48884
63,63,2018,Rural regions,male,Often,0.03292,136,25489,0.02694,0.03875
64,64,2018,Rural regions,male,Sometimes,0.15349,603,25489,0.14074,0.16645
65,65,2018,Rural regions,male,Seldom,0.34691,1393,25489,0.3279,0.37075
66,66,2018,Rural regions,male,Never,0.46667,2006,25489,0.44642,0.48897
67,67,2018,Rural regions,female,Often,0.03033,123,25489,0.02344,0.03972
68,68,2018,Rural regions,female,Sometimes,0.137,646,25489,0.12315,0.1518
69,69,2018,Rural regions,female,Seldom,0.28882,1461,25489,0.27118,0.30714
70,70,2018,Rural regions,female,Never,0.54386,2525,25489,0.51452,0.56486
