year,regtyp,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Urban regions,Very often,0.00579,108,14625,0.00456,0.00702
2003,Urban regions,Often,0.02632,488,14625,0.02373,0.02892
2003,Urban regions,Sometimes,0.11727,2089,14625,0.11205,0.12248
2003,Urban regions,Seldom,0.25810,4737,14625,0.25100,0.26519
2003,Urban regions,Never,0.41560,7203,14625,0.40761,0.42359
2003,Rural regions,Often,0.01670,146,7342,0.01377,0.01964
2003,Rural regions,Sometimes,0.09551,873,7342,0.08879,0.10223
2003,Rural regions,Seldom,0.24510,2293,7342,0.23526,0.25494
2003,Rural regions,Never,0.47037,4030,7342,0.45895,0.48179
2008,Urban regions,Very often,0.00458,68,12610,0.00340,0.00576
2008,Urban regions,Often,0.02549,342,12610,0.02273,0.02824
2008,Urban regions,Sometimes,0.11071,1638,12610,0.10524,0.11619
2008,Urban regions,Seldom,0.26479,4095,12610,0.25709,0.27249
2008,Urban regions,Never,0.42442,6467,12610,0.41579,0.43305
2008,Rural regions,Often,0.01644,110,6542,0.01336,0.01953
2008,Rural regions,Sometimes,0.08809,648,6542,0.08122,0.09496
2008,Rural regions,Seldom,0.24855,1942,6542,0.23807,0.25902
2008,Rural regions,Never,0.48302,3842,6542,0.47091,0.49513
2013,Urban regions,Very often,0.00257,73,16135,0.00179,0.00335
2013,Urban regions,Often,0.02277,518,16135,0.02047,0.02507
2013,Urban regions,Sometimes,0.09766,2221,16135,0.09307,0.10224
2013,Urban regions,Seldom,0.24184,5194,16135,0.23523,0.24844
2013,Urban regions,Never,0.37801,8129,16135,0.37052,0.38549
2013,Rural regions,Often,0.01546,202,9223,0.01294,0.01798
2013,Rural regions,Sometimes,0.08579,990,9223,0.08008,0.09151
2013,Rural regions,Seldom,0.23184,2718,9223,0.22323,0.24046
2013,Rural regions,Never,0.46287,5313,9223,0.45269,0.47305
2018,Urban regions,Very often,0.00594,162,16626,0.00477,0.00711
2018,Urban regions,Often,0.03974,809,16626,0.03677,0.04271
2018,Urban regions,Sometimes,0.15203,3097,16626,0.14657,0.15749
2018,Urban regions,Seldom,0.27318,5505,16626,0.26640,0.27995
2018,Urban regions,Never,0.36050,7053,16626,0.35320,0.36779
2018,Rural regions,Very often,0.00339,49,8912,0.00219,0.00460
2018,Rural regions,Often,0.02610,257,8912,0.02279,0.02941
2018,Rural regions,Sometimes,0.11997,1239,8912,0.11322,0.12671
2018,Rural regions,Seldom,0.26349,2846,8912,0.25434,0.27263
2018,Rural regions,Never,0.42213,4521,8912,0.41187,0.43238
