"pld0044","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Sehr oft","2003","17-34","Staedtischer Raum","78","0.0209266496820922","0.0163969828621061","0.0254563165020784"
"Sehr oft","2003","17-34","Laendlicher Raum","","","",""
"Sehr oft","2003","35-65","Staedtischer Raum","","","",""
"Sehr oft","2003","35-65","Laendlicher Raum","","","",""
"Sehr oft","2003","66 +","Staedtischer Raum","","","",""
"Sehr oft","2003","66 +","Laendlicher Raum","","","",""
"Oft","2003","17-34","Staedtischer Raum","320","0.0816806158537411","0.0730136882395317","0.0903475434679504"
"Oft","2003","17-34","Laendlicher Raum","109","0.0552943186078152","0.0452246839763657","0.0653639532392647"
"Oft","2003","35-65","Staedtischer Raum","154","0.0198544329274747","0.0168683869534254","0.0228404789015241"
"Oft","2003","35-65","Laendlicher Raum","35","0.0115323163301278","0.00830489066500766","0.014759741995248"
"Oft","2003","66 +","Staedtischer Raum","","","",""
"Oft","2003","66 +","Laendlicher Raum","","","",""
"Manchmal","2003","17-34","Staedtischer Raum","991","0.265117094303464","0.25114901377972","0.279085174827208"
"Manchmal","2003","17-34","Laendlicher Raum","427","0.205061868657548","0.187273574031311","0.222850163283785"
"Manchmal","2003","35-65","Staedtischer Raum","979","0.125699007111468","0.118602921186841","0.132795093036095"
"Manchmal","2003","35-65","Laendlicher Raum","400","0.102544130413711","0.0933739328601439","0.111714327967279"
"Manchmal","2003","66 +","Staedtischer Raum","111","0.0416763383630335","0.033580752795509","0.0497719239305579"
"Manchmal","2003","66 +","Laendlicher Raum","54","0.0440671053663312","0.032643367906043","0.0554908428266194"
"Selten","2003","17-34","Staedtischer Raum","1378","0.35532009979026","0.34017435116707","0.37046584841345"
"Selten","2003","17-34","Laendlicher Raum","775","0.391493882105408","0.369989837201439","0.412997927009377"
"Selten","2003","35-65","Staedtischer Raum","2877","0.338045120152596","0.327919445108669","0.348170795196522"
"Selten","2003","35-65","Laendlicher Raum","1315","0.304741915678851","0.290827792052738","0.318656039304964"
"Selten","2003","66 +","Staedtischer Raum","463","0.203013569962936","0.186719282202907","0.219307857722965"
"Selten","2003","66 +","Laendlicher Raum","222","0.160070579239693","0.139661923326036","0.180479235153349"
"Nie","2003","17-34","Staedtischer Raum","1069","0.276955540370443","0.262794462145204","0.291116618595681"
"Nie","2003","17-34","Laendlicher Raum","654","0.340383854293781","0.31950746876342","0.361260239824142"
"Nie","2003","35-65","Staedtischer Raum","4348","0.513577158895459","0.502878427443983","0.524275890346934"
"Nie","2003","35-65","Laendlicher Raum","2451","0.580344336433985","0.565426489149758","0.595262183718211"
"Nie","2003","66 +","Staedtischer Raum","1752","0.748666065775278","0.731094234552421","0.766237896998135"
"Nie","2003","66 +","Laendlicher Raum","959","0.794080663558617","0.771573636976603","0.816587690140632"
"Sehr oft","2004","17-34","Staedtischer Raum","","","",""
