year,quintil_oecd,sex,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,1st Quintile,male,Often,0.02397,42,1410,0.01598,0.03195
2003,1st Quintile,male,Sometimes,0.11933,228,1410,0.10240,0.13626
2003,1st Quintile,male,Seldom,0.19061,369,1410,0.17010,0.21112
2003,1st Quintile,male,Never,0.40057,771,1410,0.37498,0.42616
2003,1st Quintile,female,Often,0.02229,55,1930,0.01570,0.02888
2003,1st Quintile,female,Sometimes,0.10818,259,1930,0.09432,0.12205
2003,1st Quintile,female,Seldom,0.19009,497,1930,0.17258,0.20760
2003,1st Quintile,female,Never,0.47351,1119,1930,0.45123,0.49579
2003,2nd Quintile,male,Often,0.02891,54,1731,0.02101,0.03680
2003,2nd Quintile,male,Sometimes,0.10930,241,1731,0.09460,0.12400
2003,2nd Quintile,male,Seldom,0.21921,497,1731,0.19971,0.23870
2003,2nd Quintile,male,Never,0.40458,939,1731,0.38145,0.42770
2003,2nd Quintile,female,Often,0.01544,44,2073,0.01013,0.02075
2003,2nd Quintile,female,Sometimes,0.09815,241,2073,0.08534,0.11096
2003,2nd Quintile,female,Seldom,0.21621,576,2073,0.19849,0.23394
2003,2nd Quintile,female,Never,0.47669,1212,2073,0.45519,0.49820
2003,3rd Quintile,male,Often,0.01952,55,1983,0.01343,0.02561
2003,3rd Quintile,male,Sometimes,0.10425,265,1983,0.09080,0.11771
2003,3rd Quintile,male,Seldom,0.25083,635,1983,0.23174,0.26991
2003,3rd Quintile,male,Never,0.43345,1028,1983,0.41164,0.45527
2003,3rd Quintile,female,Often,0.01791,44,2036,0.01215,0.02367
2003,3rd Quintile,female,Sometimes,0.08677,225,2036,0.07454,0.09900
2003,3rd Quintile,female,Seldom,0.23016,618,2036,0.21187,0.24845
2003,3rd Quintile,female,Never,0.47751,1149,2036,0.45580,0.49921
2003,4th Quintile,male,Often,0.03454,90,2197,0.02690,0.04217
2003,4th Quintile,male,Sometimes,0.12653,337,2197,0.11263,0.14044
2003,4th Quintile,male,Seldom,0.31397,791,2197,0.29456,0.33338
2003,4th Quintile,male,Never,0.37128,979,2197,0.35107,0.39149
2003,4th Quintile,female,Often,0.01854,53,2218,0.01293,0.02416
2003,4th Quintile,female,Sometimes,0.09694,271,2218,0.08462,0.10925
2003,4th Quintile,female,Seldom,0.30060,768,2218,0.28152,0.31969
2003,4th Quintile,female,Never,0.43869,1126,2218,0.41803,0.45934
2003,5th Quintile,male,Often,0.02957,101,3195,0.02370,0.03545
