,Unnamed: 0,year,quintil_oecd,sampreg,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,1st Quintile,West,Often,0.02967,66,21788,0.02445,0.03414
1,1,2003,1st Quintile,West,Sometimes,0.16221,366,21788,0.15106,0.17535
2,2,2003,1st Quintile,West,Seldom,0.24595,586,21788,0.23352,0.26091
3,3,2003,1st Quintile,West,Never,0.56217,1261,21788,0.54486,0.57881
4,4,2003,1st Quintile,East,Sometimes,0.10847,113,21788,0.09452,0.12333
5,5,2003,1st Quintile,East,Seldom,0.2512,273,21788,0.2311,0.27525
6,6,2003,1st Quintile,East,Never,0.64033,642,21788,0.6097,0.66952
7,7,2003,2nd Quintile,West,Often,0.03639,92,21788,0.03031,0.04236
8,8,2003,2nd Quintile,West,Sometimes,0.14414,383,21788,0.13289,0.15303
9,9,2003,2nd Quintile,West,Seldom,0.2787,694,21788,0.26622,0.29215
10,10,2003,2nd Quintile,West,Never,0.54077,1363,21788,0.52212,0.5589
11,11,2003,2nd Quintile,East,Sometimes,0.08645,116,21788,0.07565,0.09858
12,12,2003,2nd Quintile,East,Seldom,0.272,365,21788,0.25755,0.28965
13,13,2003,2nd Quintile,East,Never,0.64155,782,21788,0.61576,0.67035
14,14,2003,3rd Quintile,West,Often,0.02047,68,21788,0.01709,0.02422
15,15,2003,3rd Quintile,West,Sometimes,0.12209,371,21788,0.11197,0.13162
16,16,2003,3rd Quintile,West,Seldom,0.30575,931,21788,0.29507,0.32195
17,17,2003,3rd Quintile,West,Never,0.55169,1497,21788,0.5354,0.57073
18,18,2003,3rd Quintile,East,Sometimes,0.10478,119,21788,0.09122,0.11928
19,19,2003,3rd Quintile,East,Seldom,0.29169,361,21788,0.271,0.31592
20,20,2003,3rd Quintile,East,Never,0.60353,699,21788,0.57418,0.63196
21,21,2003,4th Quintile,West,Often,0.03423,121,21788,0.02834,0.03979
22,22,2003,4th Quintile,West,Sometimes,0.13436,485,21788,0.12495,0.14178
23,23,2003,4th Quintile,West,Seldom,0.36732,1232,21788,0.35148,0.38271
24,24,2003,4th Quintile,West,Never,0.46409,1585,21788,0.44858,0.47988
25,25,2003,4th Quintile,East,Sometimes,0.11852,118,21788,0.10256,0.13525
26,26,2003,4th Quintile,East,Seldom,0.34252,331,21788,0.31061,0.37898
27,27,2003,4th Quintile,East,Never,0.53896,494,21788,0.50359,0.57088
28,28,2003,5th Quintile,West,Very often,0.00456,38,21788,0.00364,0.00584
29,29,2003,5th Quintile,West,Often,0.03089,180,21788,0.02603,0.0349
30,30,2003,5th Quintile,West,Sometimes,0.14774,797,21788,0.13916,0.15836
31,31,2003,5th Quintile,West,Seldom,0.35035,1964,21788,0.33889,0.36874
32,32,2003,5th Quintile,West,Never,0.46645,2510,21788,0.45176,0.48465
33,33,2003,5th Quintile,East,Sometimes,0.11741,94,21788,0.08752,0.15006
34,34,2003,5th Quintile,East,Seldom,0.36102,292,21788,0.31597,0.39809
35,35,2003,5th Quintile,East,Never,0.52157,399,21788,0.48051,0.58411
36,36,2008,1st Quintile,West,Often,0.03963,72,19015,0.03221,0.04741
37,37,2008,1st Quintile,West,Sometimes,0.14022,283,19015,0.12802,0.15251
38,38,2008,1st Quintile,West,Seldom,0.26189,505,19015,0.24576,0.28034
39,39,2008,1st Quintile,West,Never,0.55825,1155,19015,0.53549,0.58252
40,40,2008,1st Quintile,East,Sometimes,0.11525,104,19015,0.09759,0.13729
41,41,2008,1st Quintile,East,Seldom,0.26551,252,19015,0.2372,0.29526
42,42,2008,1st Quintile,East,Never,0.61925,578,19015,0.58537,0.65875
43,43,2008,2nd Quintile,West,Often,0.02097,47,19015,0.01674,0.02489
44,44,2008,2nd Quintile,West,Sometimes,0.12339,248,19015,0.10998,0.1352
45,45,2008,2nd Quintile,West,Seldom,0.28176,639,19015,0.26516,0.29893
46,46,2008,2nd Quintile,West,Never,0.57387,1261,19015,0.55254,0.59736
47,47,2008,2nd Quintile,East,Sometimes,0.10163,91,19015,0.08499,0.11843
48,48,2008,2nd Quintile,East,Seldom,0.29918,321,19015,0.26731,0.33178
49,49,2008,2nd Quintile,East,Never,0.59919,689,19015,0.56689,0.63125
50,50,2008,3rd Quintile,West,Often,0.03388,67,19015,0.02748,0.04012
