,Unnamed: 0,year,pgisced97,regtyp,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,Pre-primary Level,Urban regions,Often,0.19164,91,21521,0.15163,0.22352
1,1,2003,Pre-primary Level,Urban regions,Sometimes,0.3164,129,21521,0.27114,0.36526
2,2,2003,Pre-primary Level,Urban regions,Seldom,0.28773,113,21521,0.24408,0.33522
3,3,2003,Pre-primary Level,Urban regions,Never,0.20422,65,21521,0.16624,0.25613
4,4,2003,Pre-primary Level,Rural regions,Sometimes,0.42125,62,21521,0.35339,0.52106
5,5,2003,Pre-primary Level,Rural regions,Seldom,0.34114,66,21521,0.27025,0.42746
6,6,2003,Pre-primary Level,Rural regions,Never,0.23761,43,21521,0.19101,0.28506
7,7,2003,Primary Level,Urban regions,Sometimes,0.19059,38,21521,0.15047,0.23404
8,8,2003,Primary Level,Urban regions,Seldom,0.19959,41,21521,0.15768,0.24926
9,9,2003,Primary Level,Urban regions,Never,0.60982,117,21521,0.53707,0.68082
10,10,2003,Primary Level,Rural regions,Never,1.0,43,21521,0.80415,1.20699
11,11,2003,Lower Secondary Level,Urban regions,Often,0.05441,100,21521,0.04567,0.06253
12,12,2003,Lower Secondary Level,Urban regions,Sometimes,0.12731,252,21521,0.11438,0.14131
13,13,2003,Lower Secondary Level,Urban regions,Seldom,0.24578,454,21521,0.22863,0.2653
14,14,2003,Lower Secondary Level,Urban regions,Never,0.5725,985,21521,0.55343,0.59714
15,15,2003,Lower Secondary Level,Rural regions,Sometimes,0.11511,110,21521,0.09774,0.13557
16,16,2003,Lower Secondary Level,Rural regions,Seldom,0.20991,213,21521,0.18509,0.23153
17,17,2003,Lower Secondary Level,Rural regions,Never,0.67498,528,21521,0.64139,0.70529
18,18,2003,Upper Secondary Level,Urban regions,Very often,0.00638,40,21521,0.00466,0.0082
19,19,2003,Upper Secondary Level,Urban regions,Often,0.02368,168,21521,0.0213,0.02674
20,20,2003,Upper Secondary Level,Urban regions,Sometimes,0.12705,907,21521,0.12082,0.13386
21,21,2003,Upper Secondary Level,Urban regions,Seldom,0.30101,2171,21521,0.29206,0.31202
22,22,2003,Upper Secondary Level,Urban regions,Never,0.54188,3715,21521,0.52909,0.55295
23,23,2003,Upper Secondary Level,Rural regions,Often,0.01541,56,21521,0.01189,0.01898
24,24,2003,Upper Secondary Level,Rural regions,Sometimes,0.10682,433,21521,0.09923,0.11494
25,25,2003,Upper Secondary Level,Rural regions,Seldom,0.29216,1228,21521,0.27789,0.30474
26,26,2003,Upper Secondary Level,Rural regions,Never,0.58561,2291,21521,0.56761,0.60212
27,27,2003,Post-secondary Non-tertiary Level,Urban regions,Sometimes,0.20631,161,21521,0.1821,0.23571
28,28,2003,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.37944,340,21521,0.33992,0.41605
29,29,2003,Post-secondary Non-tertiary Level,Urban regions,Never,0.41425,354,21521,0.38533,0.44548
30,30,2003,Post-secondary Non-tertiary Level,Rural regions,Sometimes,0.12767,41,21521,0.0918,0.16229
31,31,2003,Post-secondary Non-tertiary Level,Rural regions,Seldom,0.40448,104,21521,0.33769,0.47592
32,32,2003,Post-secondary Non-tertiary Level,Rural regions,Never,0.46785,122,21521,0.40448,0.54599
33,33,2003,First Stage of Tertiary Education,Urban regions,Sometimes,0.13616,121,21521,0.11702,0.15604
34,34,2003,First Stage of Tertiary Education,Urban regions,Seldom,0.35767,384,21521,0.32885,0.38835
35,35,2003,First Stage of Tertiary Education,Urban regions,Never,0.50616,528,21521,0.47481,0.54601
36,36,2003,First Stage of Tertiary Education,Rural regions,Sometimes,0.09997,64,21521,0.08386,0.11872
37,37,2003,First Stage of Tertiary Education,Rural regions,Seldom,0.35745,210,21521,0.31775,0.39626
38,38,2003,First Stage of Tertiary Education,Rural regions,Never,0.54258,337,21521,0.49683,0.58944
39,39,2003,Second Stage of Tertiary Education,Urban regions,Often,0.02638,72,21521,0.02228,0.03119
40,40,2003,Second Stage of Tertiary Education,Urban regions,Sometimes,0.15095,425,21521,0.14022,0.1647
41,41,2003,Second Stage of Tertiary Education,Urban regions,Seldom,0.39255,1181,21521,0.3697,0.41395
42,42,2003,Second Stage of Tertiary Education,Urban regions,Never,0.43012,1375,21521,0.40938,0.45027
43,43,2003,Second Stage of Tertiary Education,Rural regions,Sometimes,0.12544,146,21521,0.10783,0.14779
44,44,2003,Second Stage of Tertiary Education,Rural regions,Seldom,0.35417,435,21521,0.31994,0.3866
45,45,2003,Second Stage of Tertiary Education,Rural regions,Never,0.52039,662,21521,0.49065,0.55911
46,46,2008,Pre-primary Level,Urban regions,Often,0.24704,53,18562,0.18777,0.30124
47,47,2008,Pre-primary Level,Urban regions,Sometimes,0.44935,82,18562,0.37967,0.55234
48,48,2008,Pre-primary Level,Urban regions,Seldom,0.3036,63,18562,0.24395,0.38738
49,49,2008,Pre-primary Level,Rural regions,Sometimes,0.5207,36,18562,0.36721,0.70291
50,50,2008,Pre-primary Level,Rural regions,Seldom,0.4793,34,18562,0.36184,0.62408
51,51,2008,Primary Level,Urban regions,Never,1.0,84,18562,0.82519,1.1842
52,52,2008,Primary Level,Rural regions,Never,1.0,37,18562,0.78933,1.23698
53,53,2008,Lower Secondary Level,Urban regions,Often,0.03548,39,18562,0.02615,0.04589
54,54,2008,Lower Secondary Level,Urban regions,Sometimes,0.13155,188,18562,0.11512,0.14824
55,55,2008,Lower Secondary Level,Urban regions,Seldom,0.23836,324,18562,0.21622,0.25694
56,56,2008,Lower Secondary Level,Urban regions,Never,0.5946,751,18562,0.56736,0.62736
57,57,2008,Lower Secondary Level,Rural regions,Sometimes,0.11901,72,18562,0.09707,0.14314
58,58,2008,Lower Secondary Level,Rural regions,Seldom,0.232,162,18562,0.20141,0.26656
59,59,2008,Lower Secondary Level,Rural regions,Never,0.64899,425,18562,0.61044,0.68573
60,60,2008,Upper Secondary Level,Urban regions,Often,0.02763,137,18562,0.02422,0.0315
61,61,2008,Upper Secondary Level,Urban regions,Sometimes,0.11626,682,18562,0.11013,0.12354
62,62,2008,Upper Secondary Level,Urban regions,Seldom,0.29917,1837,18562,0.28654,0.30886
63,63,2008,Upper Secondary Level,Urban regions,Never,0.55693,3357,18562,0.54343,0.57077
64,64,2008,Upper Secondary Level,Rural regions,Often,0.01517,46,18562,0.01196,0.01878
65,65,2008,Upper Secondary Level,Rural regions,Sometimes,0.09929,338,18562,0.09203,0.11061
66,66,2008,Upper Secondary Level,Rural regions,Seldom,0.28346,1008,18562,0.26771,0.29817
67,67,2008,Upper Secondary Level,Rural regions,Never,0.60208,2215,18562,0.58289,0.62305
