year,age_gr,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,17-29 y.,Very often,0.02162,80,3997,0.01711,0.02613
2003,17-29 y.,Often,0.09022,373,3997,0.08134,0.09911
2003,17-29 y.,Sometimes,0.27187,1099,3997,0.25808,0.28567
2003,17-29 y.,Seldom,0.34560,1432,3997,0.33085,0.36035
2003,17-29 y.,Never,0.26695,1013,3997,0.25323,0.28066
2003,30-45 y.,Often,0.02172,148,6866,0.01827,0.02517
2003,30-45 y.,Sometimes,0.15769,999,6866,0.14907,0.16631
2003,30-45 y.,Seldom,0.38705,2621,6866,0.37553,0.39858
2003,30-45 y.,Never,0.42286,3098,6866,0.41117,0.43454
2003,46-65 y.,Often,0.01752,97,7499,0.01455,0.02049
2003,46-65 y.,Sometimes,0.09768,699,7499,0.09096,0.10440
2003,46-65 y.,Seldom,0.28771,2292,7499,0.27746,0.29796
2003,46-65 y.,Never,0.58685,4411,7499,0.57570,0.59800
2003,66 and older,Sometimes,0.04170,165,3561,0.03513,0.04826
2003,66 and older,Seldom,0.18566,685,3561,0.17289,0.19843
2003,66 and older,Never,0.74983,2711,3561,0.73560,0.76405
2008,17-29 y.,Very often,0.01680,55,3150,0.01231,0.02129
2008,17-29 y.,Often,0.07687,261,3150,0.06757,0.08618
2008,17-29 y.,Sometimes,0.23975,800,3150,0.22484,0.25467
2008,17-29 y.,Seldom,0.33778,1166,3150,0.32126,0.35430
2008,17-29 y.,Never,0.25340,868,3150,0.23821,0.26859
2008,30-45 y.,Often,0.02490,94,5125,0.02063,0.02916
2008,30-45 y.,Sometimes,0.13961,675,5125,0.13012,0.14910
2008,30-45 y.,Seldom,0.38759,1974,5125,0.37425,0.40093
2008,30-45 y.,Never,0.43903,2382,5125,0.42544,0.45262
2008,46-65 y.,Often,0.01438,73,6632,0.01151,0.01724
2008,46-65 y.,Sometimes,0.09146,598,6632,0.08452,0.09840
2008,46-65 y.,Seldom,0.29375,2028,6632,0.28279,0.30472
2008,46-65 y.,Never,0.58907,3933,6632,0.57723,0.60091
2008,66 and older,Sometimes,0.04989,213,4208,0.04331,0.05646
2008,66 and older,Seldom,0.19808,869,4208,0.18604,0.21013
2008,66 and older,Never,0.72972,3126,4208,0.71630,0.74314
2013,17-29 y.,Very often,0.00563,36,3557,0.00317,0.00809
2013,17-29 y.,Often,0.06219,326,3557,0.05425,0.07012
2013,17-29 y.,Sometimes,0.20557,981,3557,0.19228,0.21885
2013,17-29 y.,Seldom,0.27872,1263,3557,0.26398,0.29346
2013,17-29 y.,Never,0.19768,951,3557,0.18459,0.21077
2013,30-45 y.,Very often,0.00281,36,7974,0.00165,0.00397
2013,30-45 y.,Often,0.02094,201,7974,0.01780,0.02408
2013,30-45 y.,Sometimes,0.12338,1060,7974,0.11616,0.13060
2013,30-45 y.,Seldom,0.32147,2837,7974,0.31122,0.33172
2013,30-45 y.,Never,0.36565,3840,7974,0.35507,0.37622
2013,46-65 y.,Often,0.01783,157,8931,0.01509,0.02058
2013,46-65 y.,Sometimes,0.09169,906,8931,0.08570,0.09768
2013,46-65 y.,Seldom,0.30748,2804,8931,0.29791,0.31705
2013,46-65 y.,Never,0.52377,5064,8931,0.51341,0.53413
2013,66 and older,Often,0.00910,36,4895,0.00644,0.01176
2013,66 and older,Sometimes,0.05664,264,4895,0.05017,0.06312
2013,66 and older,Seldom,0.19958,1008,4895,0.18839,0.21078
2013,66 and older,Never,0.71484,3587,4895,0.70219,0.72749
2018,17-29 y.,Very often,0.01535,92,4263,0.01166,0.01904
2018,17-29 y.,Often,0.12016,515,4263,0.11040,0.12992
2018,17-29 y.,Sometimes,0.28179,1368,4263,0.26828,0.29530
2018,17-29 y.,Seldom,0.28522,1356,4263,0.27166,0.29877
2018,17-29 y.,Never,0.20941,932,4263,0.19719,0.22162
2018,30-45 y.,Very often,0.00530,48,6721,0.00357,0.00704
2018,30-45 y.,Often,0.04447,276,6721,0.03954,0.04940
2018,30-45 y.,Sometimes,0.22011,1313,6721,0.21020,0.23001
2018,30-45 y.,Seldom,0.38253,2516,6721,0.37091,0.39415
2018,30-45 y.,Never,0.33328,2568,6721,0.32201,0.34455
2018,46-65 y.,Very often,0.00456,55,9591,0.00321,0.00591
2018,46-65 y.,Often,0.02444,220,9591,0.02135,0.02753
2018,46-65 y.,Sometimes,0.14035,1298,9591,0.13340,0.14730
2018,46-65 y.,Seldom,0.34805,3284,9591,0.33851,0.35758
2018,46-65 y.,Never,0.47592,4734,9591,0.46592,0.48591
2018,66 and older,Often,0.01007,55,4947,0.00729,0.01285
2018,66 and older,Sometimes,0.07436,357,4947,0.06705,0.08168
2018,66 and older,Seldom,0.23093,1195,4947,0.21919,0.24268
2018,66 and older,Never,0.67100,3340,4947,0.65791,0.68410
