,Unnamed: 0,year,migback,regtyp,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,No migration background,Urban regions,Very often,0.00491,65,21880,0.00388,0.00605
1,1,2003,No migration background,Urban regions,Often,0.02668,340,21880,0.02426,0.02914
2,2,2003,No migration background,Urban regions,Sometimes,0.12736,1530,21880,0.12215,0.13211
3,3,2003,No migration background,Urban regions,Seldom,0.32418,3955,21880,0.31613,0.33319
4,4,2003,No migration background,Urban regions,Never,0.51687,5918,21880,0.50807,0.52713
5,5,2003,No migration background,Rural regions,Often,0.01804,126,21880,0.01533,0.02125
6,6,2003,No migration background,Rural regions,Sometimes,0.109,774,21880,0.10269,0.11422
7,7,2003,No migration background,Rural regions,Seldom,0.2935,2111,21880,0.28509,0.30449
8,8,2003,No migration background,Rural regions,Never,0.57946,3797,21880,0.56848,0.59261
9,9,2003,Direct migration background,Urban regions,Often,0.0444,84,21880,0.03739,0.05069
10,10,2003,Direct migration background,Urban regions,Sometimes,0.19791,388,21880,0.18283,0.21235
11,11,2003,Direct migration background,Urban regions,Seldom,0.25929,553,21880,0.24183,0.27723
12,12,2003,Direct migration background,Urban regions,Never,0.4984,1067,21880,0.47556,0.5223
13,13,2003,Direct migration background,Rural regions,Sometimes,0.1776,76,21880,0.14521,0.21226
14,14,2003,Direct migration background,Rural regions,Seldom,0.31847,147,21880,0.27307,0.36082
15,15,2003,Direct migration background,Rural regions,Never,0.50393,223,21880,0.46003,0.55327
16,16,2003,Indirect migration background,Urban regions,Often,0.10169,64,21880,0.0781,0.12276
17,17,2003,Indirect migration background,Urban regions,Sometimes,0.26296,170,21880,0.23176,0.29696
18,18,2003,Indirect migration background,Urban regions,Seldom,0.34125,225,21880,0.30072,0.38491
19,19,2003,Indirect migration background,Urban regions,Never,0.2941,195,21880,0.25346,0.33618
20,20,2003,Indirect migration background,Rural regions,Seldom,0.49346,39,21880,0.38766,0.60995
21,21,2003,Indirect migration background,Rural regions,Never,0.50654,33,21880,0.37017,0.66559
22,22,2008,No migration background,Urban regions,Very often,0.00518,53,19104,0.0037,0.00656
23,23,2008,No migration background,Urban regions,Often,0.02549,246,19104,0.02296,0.02843
24,24,2008,No migration background,Urban regions,Sometimes,0.11992,1214,19104,0.11407,0.12664
25,25,2008,No migration background,Urban regions,Seldom,0.31958,3387,19104,0.3081,0.32842
26,26,2008,No migration background,Urban regions,Never,0.52984,5487,19104,0.51755,0.54033
27,27,2008,No migration background,Rural regions,Often,0.0192,100,19104,0.01569,0.02335
28,28,2008,No migration background,Rural regions,Sometimes,0.10212,589,19104,0.09473,0.10958
29,29,2008,No migration background,Rural regions,Seldom,0.30114,1829,19104,0.28736,0.31477
30,30,2008,No migration background,Rural regions,Never,0.57755,3604,19104,0.55981,0.5937
31,31,2008,Direct migration background,Urban regions,Often,0.03261,45,19104,0.02541,0.0411
32,32,2008,Direct migration background,Urban regions,Sometimes,0.17153,267,19104,0.15317,0.1862
33,33,2008,Direct migration background,Urban regions,Seldom,0.31052,462,19104,0.29201,0.33129
34,34,2008,Direct migration background,Urban regions,Never,0.48534,755,19104,0.45953,0.51293
35,35,2008,Direct migration background,Rural regions,Sometimes,0.13359,43,19104,0.10634,0.16396
36,36,2008,Direct migration background,Rural regions,Seldom,0.2617,94,19104,0.21168,0.30666
37,37,2008,Direct migration background,Rural regions,Never,0.60472,203,19104,0.54802,0.67847
