"pld0044","year","bula_h","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2003","Schleswig-Holstein","maennlich","1","","",""
"Sehr oft","2003","Schleswig-Holstein","weiblich","1","","",""
"Sehr oft","2003","Hamburg","maennlich","2","","",""
"Sehr oft","2003","Hamburg","weiblich","1","","",""
"Sehr oft","2003","Niedersachsen","maennlich","8","","",""
"Sehr oft","2003","Niedersachsen","weiblich","6","","",""
"Sehr oft","2003","Bremen","maennlich","","","",""
"Sehr oft","2003","Bremen","weiblich","","","",""
"Sehr oft","2003","Nordrhein-Westfalen","maennlich","18","","",""
"Sehr oft","2003","Nordrhein-Westfalen","weiblich","18","","",""
"Sehr oft","2003","Hessen","maennlich","8","","",""
"Sehr oft","2003","Hessen","weiblich","7","","",""
"Sehr oft","2003","Rheinland-Pfalz,Saarland","maennlich","2","","",""
"Sehr oft","2003","Rheinland-Pfalz,Saarland","weiblich","6","","",""
"Sehr oft","2003","Baden-Wuerttemberg","maennlich","5","","",""
"Sehr oft","2003","Baden-Wuerttemberg","weiblich","6","","",""
"Sehr oft","2003","Bayern","maennlich","16","","",""
"Sehr oft","2003","Bayern","weiblich","6","","",""
"Sehr oft","2003","Saarland","maennlich","","","",""
"Sehr oft","2003","Saarland","weiblich","","","",""
"Sehr oft","2003","Berlin","maennlich","3","","",""
"Sehr oft","2003","Berlin","weiblich","4","","",""
"Sehr oft","2003","Brandenburg","maennlich","","","",""
"Sehr oft","2003","Brandenburg","weiblich","2","","",""
"Sehr oft","2003","Mecklenburg-Vorpommern","maennlich","","","",""
"Sehr oft","2003","Mecklenburg-Vorpommern","weiblich","","","",""
"Sehr oft","2003","Sachsen","maennlich","1","","",""
"Sehr oft","2003","Sachsen","weiblich","","","",""
"Sehr oft","2003","Sachsen-Anhalt","maennlich","2","","",""
"Sehr oft","2003","Sachsen-Anhalt","weiblich","","","",""
"Sehr oft","2003","Thueringen","maennlich","2","","",""
"Sehr oft","2003","Thueringen","weiblich","","","",""
"Oft","2003","Schleswig-Holstein","maennlich","7","","",""
"Oft","2003","Schleswig-Holstein","weiblich","9","","",""
"Oft","2003","Hamburg","maennlich","7","","",""
"Oft","2003","Hamburg","weiblich","2","","",""
"Oft","2003","Niedersachsen","maennlich","38","0.0433199378113355","0.0301437220755412","0.0564961535471297"
"Oft","2003","Niedersachsen","weiblich","37","0.0315700892229852","0.0206395060301627","0.0425006724158078"
"Oft","2003","Bremen","maennlich","2","","",""
"Oft","2003","Bremen","weiblich","2","","",""
"Oft","2003","Nordrhein-Westfalen","maennlich","96","0.0432449396109913","0.0348158022639036","0.051674076958079"
"Oft","2003","Nordrhein-Westfalen","weiblich","73","0.0274782561942674","0.0209079378851078","0.0340485745034269"
"Oft","2003","Hessen","maennlich","26","","",""
"Oft","2003","Hessen","weiblich","24","","",""
"Oft","2003","Rheinland-Pfalz,Saarland","maennlich","18","","",""
"Oft","2003","Rheinland-Pfalz,Saarland","weiblich","11","","",""
"Oft","2003","Baden-Wuerttemberg","maennlich","36","0.0271771159290065","0.0183450729976728","0.0360091588603402"
"Oft","2003","Baden-Wuerttemberg","weiblich","33","0.0166880252389305","0.00991221928142792","0.0234638311964331"
"Oft","2003","Bayern","maennlich","47","0.0330891484558101","0.0239453754491802","0.0422329214624399"
"Oft","2003","Bayern","weiblich","47","0.0268968103037805","0.0190788226916269","0.0347147979159342"
"Oft","2003","Saarland","maennlich","","","",""
"Oft","2003","Saarland","weiblich","","","",""
"Oft","2003","Berlin","maennlich","17","","",""
"Oft","2003","Berlin","weiblich","17","","",""
"Oft","2003","Brandenburg","maennlich","6","","",""
"Oft","2003","Brandenburg","weiblich","9","","",""
"Oft","2003","Mecklenburg-Vorpommern","maennlich","11","","",""
"Oft","2003","Mecklenburg-Vorpommern","weiblich","4","","",""
"Oft","2003","Sachsen","maennlich","15","","",""
"Oft","2003","Sachsen","weiblich","13","","",""
"Oft","2003","Sachsen-Anhalt","maennlich","11","","",""
"Oft","2003","Sachsen-Anhalt","weiblich","5","","",""
"Oft","2003","Thueringen","maennlich","6","","",""
"Oft","2003","Thueringen","weiblich","5","","",""
"Manchmal","2003","Schleswig-Holstein","maennlich","54","0.163175463985871","0.122624855044077","0.203726072927666"
"Manchmal","2003","Schleswig-Holstein","weiblich","45","0.130195794757569","0.0945826552463584","0.16580893426878"
"Manchmal","2003","Hamburg","maennlich","20","","",""
"Manchmal","2003","Hamburg","weiblich","22","","",""
"Manchmal","2003","Niedersachsen","maennlich","137","0.134925860355978","0.112813368500963","0.157038352210993"
"Manchmal","2003","Niedersachsen","weiblich","127","0.125010598937133","0.104335569039726","0.14568562883454"
"Manchmal","2003","Bremen","maennlich","15","","",""
"Manchmal","2003","Bremen","weiblich","12","","",""
"Manchmal","2003","Nordrhein-Westfalen","maennlich","361","0.162313306455131","0.147032968143189","0.177593644767074"
"Manchmal","2003","Nordrhein-Westfalen","weiblich","313","0.120711158409799","0.107616877436452","0.133805439383146"
"Manchmal","2003","Hessen","maennlich","114","0.158424473712861","0.131845587802969","0.185003359622754"
"Manchmal","2003","Hessen","weiblich","98","0.125679615154038","0.102127848716998","0.149231381591077"
"Manchmal","2003","Rheinland-Pfalz,Saarland","maennlich","85","0.130241530491419","0.103662948085612","0.156820112897225"
"Manchmal","2003","Rheinland-Pfalz,Saarland","weiblich","94","0.127438857153469","0.102593576190046","0.152284138116892"
"Manchmal","2003","Baden-Wuerttemberg","maennlich","179","0.134870343120343","0.116316177450007","0.153424508790679"
"Manchmal","2003","Baden-Wuerttemberg","weiblich","157","0.112726309693772","0.0959979149051633","0.129454704482381"
"Manchmal","2003","Bayern","maennlich","253","0.159719624254842","0.140992086812096","0.178447161697588"
"Manchmal","2003","Bayern","weiblich","217","0.144210367296307","0.12723391678114","0.161186817811473"
"Manchmal","2003","Saarland","maennlich","","","",""
"Manchmal","2003","Saarland","weiblich","","","",""
"Manchmal","2003","Berlin","maennlich","79","0.187869713037875","0.149827846383373","0.225911579692378"
"Manchmal","2003","Berlin","weiblich","79","0.172691180431927","0.136148862969462","0.209233497894393"
"Manchmal","2003","Brandenburg","maennlich","47","0.107438674891484","0.0789220354807728","0.135955314302196"
"Manchmal","2003","Brandenburg","weiblich","42","0.0938809479110782","0.0678430490406402","0.119918846781516"
"Manchmal","2003","Mecklenburg-Vorpommern","maennlich","24","","",""
"Manchmal","2003","Mecklenburg-Vorpommern","weiblich","30","0.0977159944782584","0.0631213134357778","0.132310675520739"
"Manchmal","2003","Sachsen","maennlich","87","0.122461968114799","0.0995150877796032","0.145408848449995"
"Manchmal","2003","Sachsen","weiblich","76","0.0864348390792489","0.0671188479737115","0.105750830184786"
"Manchmal","2003","Sachsen-Anhalt","maennlich","50","0.105232988480765","0.0764301174101293","0.134035859551401"
"Manchmal","2003","Sachsen-Anhalt","weiblich","55","0.0874333282090339","0.0625243780524596","0.112342278365608"
"Manchmal","2003","Thueringen","maennlich","45","0.108339998196187","0.0801205064577317","0.136559489934642"
"Manchmal","2003","Thueringen","weiblich","45","0.0760948866490375","0.0525939547476913","0.0995958185503836"
"Selten","2003","Schleswig-Holstein","maennlich","157","0.507192620294933","0.452329839860492","0.562055400729374"
"Selten","2003","Schleswig-Holstein","weiblich","170","0.476426462177589","0.423571250916203","0.529281673438976"
"Selten","2003","Hamburg","maennlich","58","0.457510007851254","0.372842176675112","0.542177839027395"
"Selten","2003","Hamburg","weiblich","66","0.419487729652493","0.342541936544421","0.496433522760564"
"Selten","2003","Niedersachsen","maennlich","288","0.3074816283641","0.277614830757977","0.337348425970223"
"Selten","2003","Niedersachsen","weiblich","288","0.274974810409134","0.247062593235693","0.302887027582575"
"Selten","2003","Bremen","maennlich","22","","",""
"Selten","2003","Bremen","weiblich","29","","",""
"Selten","2003","Nordrhein-Westfalen","maennlich","707","0.304060801301108","0.284998252601432","0.323123350000784"
"Selten","2003","Nordrhein-Westfalen","weiblich","707","0.276715615819964","0.25873462810289","0.294696603537038"
"Selten","2003","Hessen","maennlich","225","0.306023181569689","0.272478109250769","0.339568253888609"
"Selten","2003","Hessen","weiblich","234","0.279012670116428","0.247146377361711","0.310878962871145"
"Selten","2003","Rheinland-Pfalz,Saarland","maennlich","189","0.330929634036652","0.293770852744866","0.368088415328437"
