year,migback,sampreg,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,West,Very often,0.00497,75,21862,0.00495,0.00499
2003,No migration background,West,Often,0.02502,363,21862,0.02498,0.02507
2003,No migration background,West,Sometimes,0.12648,1766,21862,0.12639,0.12658
2003,No migration background,West,Seldom,0.32105,4484,21862,0.32091,0.32118
2003,No migration background,West,Never,0.52248,6769,21862,0.52233,0.52262
2003,No migration background,East,Often,0.01890,103,21862,0.01883,0.01898
2003,No migration background,East,Sometimes,0.10108,538,21862,0.10091,0.10125
2003,No migration background,East,Seldom,0.28590,1582,21862,0.28565,0.28616
2003,No migration background,East,Never,0.59411,2946,21862,0.59384,0.59439
2003,Direct migration background,West,Often,0.04360,97,21862,0.04346,0.04374
2003,Direct migration background,West,Sometimes,0.19558,453,21862,0.19531,0.19586
2003,Direct migration background,West,Seldom,0.26758,671,21862,0.26727,0.26788
2003,Direct migration background,West,Never,0.49324,1228,21862,0.49290,0.49358
2003,Direct migration background,East,Never,1.00000,62,21862,1.00000,1.00000
2003,Indirect migration background,West,Often,0.10148,69,21862,0.10106,0.10191
2003,Indirect migration background,West,Sometimes,0.25564,183,21862,0.25502,0.25625
2003,Indirect migration background,West,Seldom,0.33689,253,21862,0.33622,0.33756
2003,Indirect migration background,West,Never,0.30599,220,21862,0.30534,0.30664
2008,No migration background,West,Very often,0.00549,62,19101,0.00547,0.00551
2008,No migration background,West,Often,0.02470,280,19101,0.02465,0.02475
2008,No migration background,West,Sometimes,0.11850,1370,19101,0.11840,0.11859
2008,No migration background,West,Seldom,0.31299,3814,19101,0.31285,0.31313
2008,No migration background,West,Never,0.53833,6385,19101,0.53818,0.53847
2008,No migration background,East,Often,0.01818,66,19101,0.01811,0.01826
2008,No migration background,East,Sometimes,0.09610,433,19101,0.09593,0.09627
2008,No migration background,East,Seldom,0.31243,1402,19101,0.31217,0.31269
2008,No migration background,East,Never,0.57329,2706,19101,0.57301,0.57356
2008,Direct migration background,West,Often,0.03377,53,19101,0.03365,0.03389
2008,Direct migration background,West,Sometimes,0.16380,305,19101,0.16355,0.16405
2008,Direct migration background,West,Seldom,0.29535,523,19101,0.29504,0.29566
2008,Direct migration background,West,Never,0.50707,922,19101,0.50673,0.50741
2008,Direct migration background,East,Seldom,0.50163,33,19101,0.49949,0.50378
2008,Direct migration background,East,Never,0.49837,36,19101,0.49622,0.50051
2008,Indirect migration background,West,Often,0.08129,51,19101,0.08098,0.08160
2008,Indirect migration background,West,Sometimes,0.20995,163,19101,0.20948,0.21041
2008,Indirect migration background,West,Seldom,0.33401,249,19101,0.33347,0.33454
2008,Indirect migration background,West,Never,0.37475,248,19101,0.37420,0.37530
2013,No migration background,West,Very often,0.00266,53,25250,0.00265,0.00268
2013,No migration background,West,Often,0.02765,430,25250,0.02761,0.02770
2013,No migration background,West,Sometimes,0.12357,2003,25250,0.12348,0.12367
2013,No migration background,West,Seldom,0.32025,5175,25250,0.32011,0.32039
2013,No migration background,West,Never,0.52586,8373,25250,0.52571,0.52601
2013,No migration background,East,Often,0.01278,89,25250,0.01271,0.01284
2013,No migration background,East,Sometimes,0.09074,496,25250,0.09057,0.09091
2013,No migration background,East,Seldom,0.29173,1561,25250,0.29146,0.29199
2013,No migration background,East,Never,0.60475,3320,25250,0.60447,0.60504
2013,Direct migration background,West,Often,0.03774,112,25250,0.03757,0.03790
2013,Direct migration background,West,Sometimes,0.17260,456,25250,0.17227,0.17292
2013,Direct migration background,West,Seldom,0.28761,736,25250,0.28722,0.28800
2013,Direct migration background,West,Never,0.50206,1275,25250,0.50162,0.50249
2013,Direct migration background,East,Seldom,0.36524,48,25250,0.36302,0.36745
2013,Direct migration background,East,Never,0.63476,76,25250,0.63255,0.63698
2013,Indirect migration background,West,Often,0.06598,82,25250,0.06561,0.06636
2013,Indirect migration background,West,Sometimes,0.19530,224,25250,0.19470,0.19590
2013,Indirect migration background,West,Seldom,0.38504,366,25250,0.38431,0.38578
2013,Indirect migration background,West,Never,0.35367,375,25250,0.35295,0.35440
2018,No migration background,West,Very often,0.00527,102,25423,0.00525,0.00529
2018,No migration background,West,Often,0.03648,541,25423,0.03643,0.03654
2018,No migration background,West,Sometimes,0.16609,2424,25423,0.16598,0.16620
2018,No migration background,West,Seldom,0.34249,5078,25423,0.34234,0.34263
2018,No migration background,West,Never,0.44967,6241,25423,0.44953,0.44982
2018,No migration background,East,Often,0.02164,100,25423,0.02155,0.02172
2018,No migration background,East,Sometimes,0.11911,573,25423,0.11892,0.11931
2018,No migration background,East,Seldom,0.30562,1473,25423,0.30534,0.30589
2018,No migration background,East,Never,0.55363,2838,25423,0.55334,0.55393
2018,Direct migration background,West,Very often,0.01081,54,25423,0.01074,0.01087
2018,Direct migration background,West,Often,0.06436,248,25423,0.06421,0.06452
2018,Direct migration background,West,Sometimes,0.19742,812,25423,0.19717,0.19767
2018,Direct migration background,West,Seldom,0.28110,1202,25423,0.28082,0.28138
2018,Direct migration background,West,Never,0.44631,1848,25423,0.44600,0.44662
2018,Direct migration background,East,Sometimes,0.25250,70,25423,0.25126,0.25375
2018,Direct migration background,East,Seldom,0.34949,98,25423,0.34813,0.35086
2018,Direct migration background,East,Never,0.39801,164,25423,0.39661,0.39941
2018,Indirect migration background,West,Often,0.11842,146,25423,0.11809,0.11875
2018,Indirect migration background,West,Sometimes,0.31061,428,25423,0.31014,0.31108
2018,Indirect migration background,West,Seldom,0.28887,465,25423,0.28841,0.28934
2018,Indirect migration background,West,Never,0.28210,447,25423,0.28164,0.28256
2018,Indirect migration background,East,Seldom,0.46104,35,25423,0.45841,0.46367
2018,Indirect migration background,East,Never,0.53896,36,25423,0.53633,0.54159
