year,bula_h,migback,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Schleswig-Holstein,No migration background,Sometimes,0.13312,80,575,0.10533,0.16092
2003,Schleswig-Holstein,No migration background,Seldom,0.50470,303,575,0.46380,0.54560
2003,Schleswig-Holstein,No migration background,Never,0.33600,192,575,0.29736,0.37464
2003,Hamburg,No migration background,Sometimes,0.14576,37,251,0.10201,0.18950
2003,Hamburg,No migration background,Seldom,0.43099,107,251,0.36960,0.49237
2003,Hamburg,No migration background,Never,0.39163,107,251,0.33112,0.45213
2003,Lower Saxony,No migration background,Often,0.02848,50,1638,0.02042,0.03654
2003,Lower Saxony,No migration background,Sometimes,0.11196,206,1638,0.09668,0.12723
2003,Lower Saxony,No migration background,Seldom,0.29379,499,1638,0.27173,0.31586
2003,Lower Saxony,No migration background,Never,0.55966,883,1638,0.53561,0.58371
2003,Lower Saxony,Direct migration background,Sometimes,0.26987,47,186,0.20591,0.33384
2003,Lower Saxony,Direct migration background,Seldom,0.26800,63,186,0.20417,0.33182
2003,Lower Saxony,Direct migration background,Never,0.38604,76,186,0.31589,0.45620
2003,Bremen,No migration background,Seldom,0.23668,42,120,0.16031,0.31305
2003,Bremen,No migration background,Never,0.59374,78,120,0.50550,0.68199
2003,North Rhine-Westphalia,No migration background,Often,0.02812,114,3679,0.02277,0.03346
2003,North Rhine-Westphalia,No migration background,Sometimes,0.12667,470,3679,0.11592,0.13742
2003,North Rhine-Westphalia,No migration background,Seldom,0.30655,1197,3679,0.29165,0.32145
2003,North Rhine-Westphalia,No migration background,Never,0.53294,1898,3679,0.51682,0.54907
2003,North Rhine-Westphalia,Direct migration background,Sometimes,0.18479,141,654,0.15502,0.21456
2003,North Rhine-Westphalia,Direct migration background,Seldom,0.21160,157,654,0.18027,0.24292
2003,North Rhine-Westphalia,Direct migration background,Never,0.53295,356,654,0.49468,0.57122
2003,North Rhine-Westphalia,Indirect migration background,Sometimes,0.27416,63,191,0.21073,0.33759
2003,North Rhine-Westphalia,Indirect migration background,Seldom,0.25295,60,191,0.19114,0.31476
2003,North Rhine-Westphalia,Indirect migration background,Never,0.34732,68,191,0.27962,0.41503
2003,Hesse,No migration background,Often,0.03415,36,1170,0.02374,0.04456
2003,Hesse,No migration background,Sometimes,0.12592,152,1170,0.10690,0.14494
2003,Hesse,No migration background,Seldom,0.30286,375,1170,0.27652,0.32920
