year,age_gr,pgisced97,pld0044,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2003,30-45 y.,Pre-primary Level,Sometimes,0.3105691056910569,27727,0.30512245998336845,0.3160157513987453
2003,30-45 y.,Pre-primary Level,Seldom,0.2910569105691057,27727,0.2857100448856214,0.29640377625259
2003,30-45 y.,Pre-primary Level,Often,0.18536585365853658,27727,0.1807918047612157,0.18993990255585746
2003,30-45 y.,Pre-primary Level,Never,0.17398373983739837,27727,0.1695214964014876,0.17844598327330916
2003,30-45 y.,Pre-primary Level,Very often,0.03902439024390244,27727,0.03674494651429503,0.04130383397350985
2003,30-45 y.,Primary Level,Never,0.46511627906976744,27727,0.4592452383785949,0.47098731976094
2003,30-45 y.,Primary Level,Seldom,0.20930232558139536,27727,0.20451385429225008,0.21409079687054064
2003,30-45 y.,Primary Level,Sometimes,0.20930232558139536,27727,0.20451385429225008,0.21409079687054064
2003,30-45 y.,Primary Level,Often,0.11627906976744186,27727,0.11250584240606183,0.12005229712882189
2003,30-45 y.,Lower Secondary Level,Seldom,0.33659730722154224,27727,0.33103508207964405,0.34215953236344043
2003,30-45 y.,Lower Secondary Level,Never,0.2692778457772338,27727,0.26405651653336,0.2744991750211076
2003,30-45 y.,Lower Secondary Level,Sometimes,0.2558139534883721,27727,0.2506781605440733,0.2609497464326709
2003,30-45 y.,Lower Secondary Level,Often,0.11383108935128519,27727,0.11009262424875771,0.11756955445381267
2003,30-45 y.,Lower Secondary Level,Very often,0.02447980416156671,27727,0.022660829153250732,0.026298779169882686
2003,30-45 y.,Upper Secondary Level,Seldom,0.37363896848137534,27727,0.36794463263681654,0.37933330432593415
2003,30-45 y.,Upper Secondary Level,Sometimes,0.27564469914040113,27727,0.27038506816954944,0.2809043301112528
2003,30-45 y.,Upper Secondary Level,Never,0.2653295128939828,27727,0.26013262070979243,0.2705264050781732
2003,30-45 y.,Upper Secondary Level,Often,0.06876790830945559,27727,0.06578921009876955,0.07174660652014163
2003,30-45 y.,Upper Secondary Level,Very often,0.0166189111747851,27727,0.015114152555821965,0.018123669793748236
2003,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.4509090909090909,27727,0.44505214446922675,0.4567660373489551
2003,30-45 y.,Post-secondary Non-tertiary Level,Sometimes,0.2690909090909091,27727,0.26387072492628777,0.27431109325553044
2003,30-45 y.,Post-secondary Non-tertiary Level,Never,0.24363636363636362,27727,0.23858346012522746,0.24868926714749978
2003,30-45 y.,Post-secondary Non-tertiary Level,Often,0.025454545454545455,27727,0.023600636708295417,0.027308454200795494
2003,30-45 y.,Post-secondary Non-tertiary Level,Very often,0.01090909090909091,27727,0.0096863990638205,0.01213178275436132
2003,30-45 y.,First Stage of Tertiary Education,Seldom,0.3829787234042553,27727,0.37725680021306807,0.38870064659544257
2003,30-45 y.,First Stage of Tertiary Education,Never,0.2765957446808511,27727,0.27133050789463603,0.2818609814670661
2003,30-45 y.,First Stage of Tertiary Education,Sometimes,0.26595744680851063,27727,0.26075663275883965,0.2711582608581816
2003,30-45 y.,First Stage of Tertiary Education,Often,0.06382978723404255,27727,0.06095243030883469,0.0667071441592504
2003,30-45 y.,First Stage of Tertiary Education,Very often,0.010638297872340425,27727,0.009430711367989585,0.011845884376691266
2003,30-45 y.,Second Stage of Tertiary Education,Seldom,0.43349753694581283,27727,0.42766444464664566,0.43933062924498
2003,30-45 y.,Second Stage of Tertiary Education,Never,0.28078817733990147,27727,0.27549858201605903,0.2860777726637439
2003,30-45 y.,Second Stage of Tertiary Education,Sometimes,0.2413793103448276,27727,0.23634236785020177,0.24641625283945343
2003,30-45 y.,Second Stage of Tertiary Education,Often,0.034482758620689655,27727,0.03233499912449717,0.03663051811688214
2003,30-45 y.,Second Stage of Tertiary Education,Very often,0.009852216748768473,27727,0.008689640037891222,0.011014793459645724
2003,46-65 y.,Pre-primary Level,Never,1.0,27727,1.0,1.0
2003,46-65 y.,Primary Level,Never,0.5921052631578947,27727,0.5863205991115417,0.5978899272042477
2003,46-65 y.,Primary Level,Seldom,0.2236842105263158,27727,0.21877918237367722,0.22858923867895437
2003,46-65 y.,Primary Level,Sometimes,0.17105263157894737,27727,0.16662029238021617,0.17548497077767858
2003,46-65 y.,Primary Level,Often,0.013157894736842105,27727,0.011816607878242454,0.014499181595441755
2003,46-65 y.,Lower Secondary Level,Never,0.4439252336448598,27727,0.4380769808082918,0.4497734864814278
2003,46-65 y.,Lower Secondary Level,Seldom,0.32009345794392524,27727,0.314602253172441,0.3255846627154095
2003,46-65 y.,Lower Secondary Level,Sometimes,0.1822429906542056,27727,0.17769895024663396,0.18678703106177724
2003,46-65 y.,Lower Secondary Level,Often,0.04439252336448598,27727,0.04196815105142736,0.0468168956775446
2003,46-65 y.,Lower Secondary Level,Very often,0.009345794392523364,27727,0.008213201622132422,0.010478387162914306
2003,46-65 y.,Upper Secondary Level,Never,0.47668539325842696,27727,0.47080641328498496,0.48256437323186896
2003,46-65 y.,Upper Secondary Level,Seldom,0.3710674157303371,27727,0.3653810722720794,0.3767537591885948
2003,46-65 y.,Upper Secondary Level,Sometimes,0.13117977528089889,27727,0.12720600248353314,0.13515354807826463
2003,46-65 y.,Upper Secondary Level,Often,0.017696629213483146,27727,0.0161446970887091,0.019248561338257194
2003,46-65 y.,Upper Secondary Level,Very often,0.0033707865168539327,27727,0.0026885467020592987,0.004053026331648567
2003,46-65 y.,Post-secondary Non-tertiary Level,Seldom,0.4162062615101289,27727,0.4104041155309729,0.4220084074892849
2003,46-65 y.,Post-secondary Non-tertiary Level,Never,0.39779005524861877,27727,0.39202895340768446,0.4035511570895531
2003,46-65 y.,Post-secondary Non-tertiary Level,Sometimes,0.16206261510128914,27727,0.15772499178270386,0.16640023841987442
2003,46-65 y.,Post-secondary Non-tertiary Level,Often,0.020257826887661142,27727,0.018599550337873656,0.02191610343744863
2003,46-65 y.,Post-secondary Non-tertiary Level,Very often,0.003683241252302026,27727,0.0029701938025531722,0.004396288702050879
2003,46-65 y.,First Stage of Tertiary Education,Never,0.4519368723098996,27727,0.4460787449354668,0.4577949996843324
2003,46-65 y.,First Stage of Tertiary Education,Seldom,0.3945480631276901,27727,0.3887950624597923,0.4003010637955879
2003,46-65 y.,First Stage of Tertiary Education,Sometimes,0.13199426111908177,27727,0.12801003981789869,0.13597848242026486
2003,46-65 y.,First Stage of Tertiary Education,Often,0.01721664275466284,27727,0.015685527932285104,0.018747757577040575
