,Unnamed: 0,year,pgisced97,sex,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,Pre-primary Level,male,Often,0.16913,56,21501,0.13273,0.21227
1,1,2003,Pre-primary Level,male,Sometimes,0.35646,101,21501,0.3001,0.41142
2,2,2003,Pre-primary Level,male,Seldom,0.29619,88,21501,0.25542,0.34615
3,3,2003,Pre-primary Level,male,Never,0.17822,43,21501,0.13442,0.23079
4,4,2003,Pre-primary Level,female,Often,0.15576,58,21501,0.11873,0.19365
5,5,2003,Pre-primary Level,female,Sometimes,0.31296,90,21501,0.25894,0.37077
6,6,2003,Pre-primary Level,female,Seldom,0.29153,91,21501,0.23901,0.35255
7,7,2003,Pre-primary Level,female,Never,0.23975,65,21501,0.19715,0.29169
8,8,2003,Primary Level,male,Never,1.0,62,21501,0.85711,1.17892
9,9,2003,Primary Level,female,Never,1.0,98,21501,0.8866,1.13689
10,10,2003,Lower Secondary Level,male,Often,0.07399,67,21501,0.05834,0.09087
11,11,2003,Lower Secondary Level,male,Sometimes,0.16284,167,21501,0.14196,0.18549
12,12,2003,Lower Secondary Level,male,Seldom,0.253,245,21501,0.22848,0.27929
13,13,2003,Lower Secondary Level,male,Never,0.51017,403,21501,0.47762,0.54322
14,14,2003,Lower Secondary Level,female,Often,0.03082,62,21501,0.02476,0.03522
15,15,2003,Lower Secondary Level,female,Sometimes,0.10402,195,21501,0.09223,0.11605
16,16,2003,Lower Secondary Level,female,Seldom,0.22311,422,21501,0.20735,0.23746
17,17,2003,Lower Secondary Level,female,Never,0.64205,1110,21501,0.6194,0.66825
18,18,2003,Upper Secondary Level,male,Very often,0.00667,31,21501,0.00474,0.00905
19,19,2003,Upper Secondary Level,male,Often,0.02812,133,21501,0.02376,0.03209
20,20,2003,Upper Secondary Level,male,Sometimes,0.13617,740,21501,0.12837,0.14344
21,21,2003,Upper Secondary Level,male,Seldom,0.30811,1633,21501,0.29793,0.31954
22,22,2003,Upper Secondary Level,male,Never,0.52093,2740,21501,0.50816,0.53179
23,23,2003,Upper Secondary Level,female,Often,0.01378,91,21501,0.01161,0.01642
24,24,2003,Upper Secondary Level,female,Sometimes,0.10467,600,21501,0.09751,0.11198
25,25,2003,Upper Secondary Level,female,Seldom,0.28861,1766,21501,0.27757,0.29788
26,26,2003,Upper Secondary Level,female,Never,0.59293,3266,21501,0.57894,0.60771
27,27,2003,Post-secondary Non-tertiary Level,male,Sometimes,0.20936,94,21501,0.17127,0.24672
28,28,2003,Post-secondary Non-tertiary Level,male,Seldom,0.37561,178,21501,0.33206,0.42115
29,29,2003,Post-secondary Non-tertiary Level,male,Never,0.41503,194,21501,0.37534,0.45975
30,30,2003,Post-secondary Non-tertiary Level,female,Sometimes,0.17347,108,21501,0.14621,0.20166
31,31,2003,Post-secondary Non-tertiary Level,female,Seldom,0.39208,266,21501,0.3505,0.43526
32,32,2003,Post-secondary Non-tertiary Level,female,Never,0.43444,282,21501,0.39967,0.4664
33,33,2003,First Stage of Tertiary Education,male,Sometimes,0.11576,100,21501,0.0977,0.1324
34,34,2003,First Stage of Tertiary Education,male,Seldom,0.37166,342,21501,0.33957,0.40315
35,35,2003,First Stage of Tertiary Education,male,Never,0.51258,510,21501,0.47961,0.54854
36,36,2003,First Stage of Tertiary Education,female,Sometimes,0.13543,85,21501,0.11436,0.16069
37,37,2003,First Stage of Tertiary Education,female,Seldom,0.33725,252,21501,0.30419,0.38268
38,38,2003,First Stage of Tertiary Education,female,Never,0.52732,355,21501,0.48437,0.57385
39,39,2003,Second Stage of Tertiary Education,male,Often,0.02242,49,21501,0.0175,0.0279
40,40,2003,Second Stage of Tertiary Education,male,Sometimes,0.13667,296,21501,0.12397,0.15086
41,41,2003,Second Stage of Tertiary Education,male,Seldom,0.38828,935,21501,0.36799,0.41385
42,42,2003,Second Stage of Tertiary Education,male,Never,0.45262,1153,21501,0.43072,0.47116
43,43,2003,Second Stage of Tertiary Education,female,Often,0.02515,39,21501,0.01918,0.03127
44,44,2003,Second Stage of Tertiary Education,female,Sometimes,0.1528,275,21501,0.13495,0.16755
45,45,2003,Second Stage of Tertiary Education,female,Seldom,0.37036,681,21501,0.34292,0.3937
46,46,2003,Second Stage of Tertiary Education,female,Never,0.4517,884,21501,0.42438,0.47618
47,47,2008,Pre-primary Level,male,Often,0.26353,39,18584,0.19747,0.33456
48,48,2008,Pre-primary Level,male,Sometimes,0.43471,58,18584,0.33759,0.54543
49,49,2008,Pre-primary Level,male,Seldom,0.30176,38,18584,0.23422,0.37378
50,50,2008,Pre-primary Level,female,Often,0.19342,32,18584,0.14516,0.26923
51,51,2008,Pre-primary Level,female,Sometimes,0.45243,60,18584,0.35397,0.56859
52,52,2008,Pre-primary Level,female,Seldom,0.35416,59,18584,0.28598,0.43967
53,53,2008,Primary Level,male,Never,1.0,42,18584,0.8224,1.20801
54,54,2008,Primary Level,female,Never,1.0,79,18584,0.83729,1.19885
55,55,2008,Lower Secondary Level,male,Often,0.0597,32,18584,0.0423,0.07859
56,56,2008,Lower Secondary Level,male,Sometimes,0.18354,115,18584,0.1522,0.21547
57,57,2008,Lower Secondary Level,male,Seldom,0.27827,189,18584,0.24592,0.31689
58,58,2008,Lower Secondary Level,male,Never,0.47848,289,18584,0.43601,0.51611
59,59,2008,Lower Secondary Level,female,Sometimes,0.10125,145,18584,0.08677,0.11514
60,60,2008,Lower Secondary Level,female,Seldom,0.21763,297,18584,0.1964,0.23667
61,61,2008,Lower Secondary Level,female,Never,0.68112,887,18584,0.65135,0.70812
62,62,2008,Upper Secondary Level,male,Often,0.031,109,18584,0.02633,0.03601
63,63,2008,Upper Secondary Level,male,Sometimes,0.12729,532,18584,0.11688,0.13585
64,64,2008,Upper Secondary Level,male,Seldom,0.30283,1386,18584,0.29049,0.31871
65,65,2008,Upper Secondary Level,male,Never,0.53887,2519,18584,0.52267,0.55621
66,66,2008,Upper Secondary Level,female,Often,0.01586,74,18584,0.01298,0.01883
67,67,2008,Upper Secondary Level,female,Sometimes,0.09406,488,18584,0.08585,0.10171
68,68,2008,Upper Secondary Level,female,Seldom,0.2849,1459,18584,0.27034,0.29736
69,69,2008,Upper Secondary Level,female,Never,0.60518,3053,18584,0.58594,0.6248
70,70,2008,Post-secondary Non-tertiary Level,male,Sometimes,0.17061,65,18584,0.1341,0.21573
71,71,2008,Post-secondary Non-tertiary Level,male,Seldom,0.39277,159,18584,0.33879,0.44809
72,72,2008,Post-secondary Non-tertiary Level,male,Never,0.43662,194,18584,0.38733,0.49105
73,73,2008,Post-secondary Non-tertiary Level,female,Sometimes,0.16785,96,18584,0.14461,0.19327
74,74,2008,Post-secondary Non-tertiary Level,female,Seldom,0.3948,238,18584,0.3496,0.43655
75,75,2008,Post-secondary Non-tertiary Level,female,Never,0.43735,303,18584,0.39677,0.47758
76,76,2008,First Stage of Tertiary Education,male,Sometimes,0.09286,68,18584,0.07476,0.11342
77,77,2008,First Stage of Tertiary Education,male,Seldom,0.38629,307,18584,0.34862,0.42344
78,78,2008,First Stage of Tertiary Education,male,Never,0.52085,441,18584,0.47442,0.56945
79,79,2008,First Stage of Tertiary Education,female,Sometimes,0.09137,50,18584,0.06781,0.11656
80,80,2008,First Stage of Tertiary Education,female,Seldom,0.35214,193,18584,0.30905,0.39308
81,81,2008,First Stage of Tertiary Education,female,Never,0.55649,328,18584,0.50586,0.60329
82,82,2008,Second Stage of Tertiary Education,male,Often,0.01203,31,18584,0.00848,0.01679
83,83,2008,Second Stage of Tertiary Education,male,Sometimes,0.12157,266,18584,0.10867,0.13628
