,Unnamed: 0,year,age_gr,migback,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,17-29 y.,No migration background,Very often,0.01819,56,21778,0.01413,0.02301
1,1,2003,17-29 y.,No migration background,Often,0.09019,291,21778,0.08071,0.10027
2,2,2003,17-29 y.,No migration background,Sometimes,0.26737,852,21778,0.25169,0.28384
3,3,2003,17-29 y.,No migration background,Seldom,0.35882,1152,21778,0.34166,0.37793
4,4,2003,17-29 y.,No migration background,Never,0.26543,769,21778,0.25073,0.28241
5,5,2003,17-29 y.,Direct migration background,Sometimes,0.32537,101,21778,0.28294,0.3807
6,6,2003,17-29 y.,Direct migration background,Seldom,0.33144,116,21778,0.28595,0.37584
7,7,2003,17-29 y.,Direct migration background,Never,0.34319,123,21778,0.29407,0.3935
8,8,2003,17-29 y.,Indirect migration background,Often,0.13642,59,21778,0.10732,0.16796
9,9,2003,17-29 y.,Indirect migration background,Sometimes,0.29066,146,21778,0.24819,0.34001
10,10,2003,17-29 y.,Indirect migration background,Seldom,0.33111,164,21778,0.28973,0.36729
11,11,2003,17-29 y.,Indirect migration background,Never,0.2418,121,21778,0.20455,0.27987
12,12,2003,30-45 y.,No migration background,Often,0.01697,95,21778,0.01422,0.0197
13,13,2003,30-45 y.,No migration background,Sometimes,0.14795,771,21778,0.13826,0.15688
14,14,2003,30-45 y.,No migration background,Seldom,0.40482,2275,21778,0.39389,0.41813
15,15,2003,30-45 y.,No migration background,Never,0.43025,2644,21778,0.41894,0.44328
16,16,2003,30-45 y.,Direct migration background,Often,0.04948,42,21778,0.03956,0.06168
17,17,2003,30-45 y.,Direct migration background,Sometimes,0.22013,189,21778,0.19581,0.24913
18,18,2003,30-45 y.,Direct migration background,Seldom,0.30476,259,21778,0.27816,0.34066
19,19,2003,30-45 y.,Direct migration background,Never,0.42564,383,21778,0.39408,0.46045
20,20,2003,30-45 y.,Indirect migration background,Sometimes,0.2138,39,21778,0.16284,0.26321
21,21,2003,30-45 y.,Indirect migration background,Seldom,0.42904,87,21778,0.34131,0.5175
22,22,2003,30-45 y.,Indirect migration background,Never,0.35716,72,21778,0.26882,0.44571
23,23,2003,46-65 y.,No migration background,Often,0.01327,67,21778,0.01088,0.01558
24,24,2003,46-65 y.,No migration background,Sometimes,0.08759,548,21778,0.08069,0.09513
25,25,2003,46-65 y.,No migration background,Seldom,0.29762,2018,21778,0.28738,0.30881
26,26,2003,46-65 y.,No migration background,Never,0.60153,3849,21778,0.58713,0.6169
27,27,2003,46-65 y.,Direct migration background,Sometimes,0.17022,143,21778,0.14776,0.19347
28,28,2003,46-65 y.,Direct migration background,Seldom,0.26292,262,21778,0.23737,0.2915
29,29,2003,46-65 y.,Direct migration background,Never,0.56686,537,21778,0.52937,0.60106
30,30,2003,66 and older,No migration background,Sometimes,0.03849,133,21778,0.03494,0.04253
31,31,2003,66 and older,No migration background,Seldom,0.19049,621,21778,0.18194,0.19939
32,32,2003,66 and older,No migration background,Never,0.77102,2453,21778,0.75783,0.78751
33,33,2003,66 and older,Direct migration background,Sometimes,0.08397,31,21778,0.06322,0.10585
34,34,2003,66 and older,Direct migration background,Seldom,0.18638,63,21778,0.1555,0.23903
35,35,2003,66 and older,Direct migration background,Never,0.72965,247,21778,0.67702,0.79416
36,36,2008,17-29 y.,No migration background,Very often,0.0211,46,18977,0.01541,0.02567
37,37,2008,17-29 y.,No migration background,Often,0.0874,216,18977,0.07722,0.0978
38,38,2008,17-29 y.,No migration background,Sometimes,0.24871,615,18977,0.23135,0.26874
