year,migback,pgisced97,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,Pre-primary Level,Often,0.18236,97,480,0.14778,0.21694
2003,No migration background,Pre-primary Level,Sometimes,0.33453,156,480,0.29227,0.37678
2003,No migration background,Pre-primary Level,Seldom,0.29377,150,480,0.25298,0.33457
2003,No migration background,Pre-primary Level,Never,0.15080,77,480,0.11875,0.18284
2003,No migration background,Primary Level,Never,0.62389,55,55,0.49469,0.75310
2003,No migration background,Lower Secondary Level,Often,0.03532,77,1853,0.02691,0.04373
2003,No migration background,Lower Secondary Level,Sometimes,0.09576,218,1853,0.08236,0.10916
2003,No migration background,Lower Secondary Level,Seldom,0.22970,461,1853,0.21054,0.24886
2003,No migration background,Lower Secondary Level,Never,0.62292,1097,1853,0.60085,0.64499
2003,No migration background,Upper Secondary Level,Very often,0.00382,35,9738,0.00260,0.00505
2003,No migration background,Upper Secondary Level,Often,0.01856,178,9738,0.01588,0.02125
2003,No migration background,Upper Secondary Level,Sometimes,0.10685,1080,9738,0.10071,0.11299
2003,No migration background,Upper Secondary Level,Seldom,0.29671,3010,9738,0.28763,0.30578
2003,No migration background,Upper Secondary Level,Never,0.56628,5435,9738,0.55644,0.57612
2003,No migration background,Post-secondary Non-tertiary Level,Sometimes,0.17763,146,867,0.15218,0.20309
2003,No migration background,Post-secondary Non-tertiary Level,Seldom,0.38976,355,867,0.35728,0.42224
2003,No migration background,Post-secondary Non-tertiary Level,Never,0.41474,366,867,0.38193,0.44756
2003,No migration background,First Stage of Tertiary Education,Sometimes,0.11453,157,1472,0.09825,0.13080
2003,No migration background,First Stage of Tertiary Education,Seldom,0.34463,529,1472,0.32034,0.36891
2003,No migration background,First Stage of Tertiary Education,Never,0.51484,786,1472,0.48930,0.54038
2003,No migration background,Second Stage of Tertiary Education,Often,0.01939,69,3889,0.01506,0.02373
2003,No migration background,Second Stage of Tertiary Education,Sometimes,0.13427,484,3889,0.12356,0.14499
2003,No migration background,Second Stage of Tertiary Education,Seldom,0.38483,1482,3889,0.36953,0.40012
2003,No migration background,Second Stage of Tertiary Education,Never,0.45203,1854,3889,0.43638,0.46767
2003,Direct migration background,Primary Level,Seldom,0.22379,38,136,0.15348,0.29409
2003,Direct migration background,Primary Level,Never,0.59590,98,136,0.51313,0.67868
2003,Direct migration background,Lower Secondary Level,Sometimes,0.17275,108,613,0.14280,0.20270
2003,Direct migration background,Lower Secondary Level,Seldom,0.20661,149,613,0.17453,0.23868
2003,Direct migration background,Lower Secondary Level,Never,0.54248,356,613,0.50301,0.58195
2003,Direct migration background,Upper Secondary Level,Sometimes,0.20709,181,919,0.18087,0.23330
2003,Direct migration background,Upper Secondary Level,Seldom,0.26210,263,919,0.23365,0.29055
2003,Direct migration background,Upper Secondary Level,Never,0.47580,475,919,0.44350,0.50811
2003,Direct migration background,Post-secondary Non-tertiary Level,Sometimes,0.20027,42,212,0.14627,0.25427
2003,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.29919,72,212,0.23741,0.36098
2003,Direct migration background,Post-secondary Non-tertiary Level,Never,0.41954,98,212,0.35295,0.48613
