,Unnamed: 0,year,pgisced97,sampreg,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,Pre-primary Level,West,Often,0.16328,87,21514,0.12969,0.19931
1,1,2003,Pre-primary Level,West,Sometimes,0.33586,143,21514,0.29254,0.39424
2,2,2003,Pre-primary Level,West,Seldom,0.28752,125,21514,0.24622,0.32809
3,3,2003,Pre-primary Level,West,Never,0.21334,75,21514,0.17045,0.25235
4,4,2003,Pre-primary Level,East,Sometimes,0.40005,48,21514,0.31495,0.4797
5,5,2003,Pre-primary Level,East,Seldom,0.3772,54,21514,0.29326,0.47319
6,6,2003,Pre-primary Level,East,Never,0.22275,33,21514,0.18342,0.26779
7,7,2003,Primary Level,West,Sometimes,0.16234,41,21514,0.11958,0.19941
8,8,2003,Primary Level,West,Seldom,0.19313,48,21514,0.15457,0.23762
9,9,2003,Primary Level,West,Never,0.64453,150,21514,0.57257,0.72059
10,10,2003,Lower Secondary Level,West,Often,0.0461,113,21514,0.04017,0.05278
11,11,2003,Lower Secondary Level,West,Sometimes,0.12509,314,21514,0.11541,0.13759
12,12,2003,Lower Secondary Level,West,Seldom,0.23211,555,21514,0.21641,0.24739
13,13,2003,Lower Secondary Level,West,Never,0.5967,1282,21514,0.5784,0.61305
14,14,2003,Lower Secondary Level,East,Sometimes,0.1059,48,21514,0.07997,0.14364
15,15,2003,Lower Secondary Level,East,Seldom,0.24276,112,21514,0.21091,0.28536
16,16,2003,Lower Secondary Level,East,Never,0.65133,231,21514,0.60728,0.69404
17,17,2003,Upper Secondary Level,West,Very often,0.00612,46,21514,0.0047,0.00789
18,18,2003,Upper Secondary Level,West,Often,0.02236,181,21514,0.01994,0.02549
19,19,2003,Upper Secondary Level,West,Sometimes,0.12561,1066,21514,0.12027,0.13244
20,20,2003,Upper Secondary Level,West,Seldom,0.30652,2624,21514,0.29579,0.31426
21,21,2003,Upper Secondary Level,West,Never,0.53939,4312,21514,0.52932,0.54949
