year,quintil_oecd_hh,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,No,0.96915,3087,3087,0.96305,0.97525
2016,2nd Quintile,No,0.99570,3029,3029,0.99337,0.99803
2016,3rd Quintile,No,0.99640,2733,2733,0.99416,0.99865
2016,4th Quintile,No,0.99527,2650,2650,0.99266,0.99789
2016,5th Quintile,No,0.99172,2738,2738,0.98833,0.99512
2017,1st Quintile,No,0.96409,3192,3192,0.95764,0.97055
2017,2nd Quintile,No,0.99518,3228,3228,0.99279,0.99757
2017,3rd Quintile,No,0.99692,3078,3078,0.99496,0.99888
2017,4th Quintile,No,0.99758,3036,3036,0.99583,0.99933
2017,5th Quintile,No,0.99875,3087,3087,0.99750,0.99999
2018,1st Quintile,No,0.96746,3306,3306,0.96141,0.97351
2018,2nd Quintile,No,0.99346,3288,3288,0.99071,0.99622
2018,3rd Quintile,No,0.99368,2928,2928,0.99081,0.99655
2018,4th Quintile,No,0.99678,2870,2870,0.99470,0.99885
2018,5th Quintile,No,0.99522,3001,3001,0.99275,0.99769
2019,1st Quintile,No,0.95843,2934,2934,0.95120,0.96565
2019,2nd Quintile,No,0.99426,3024,3024,0.99157,0.99695
2019,3rd Quintile,No,0.99746,2871,2871,0.99561,0.99930
2019,4th Quintile,No,0.99722,2917,2917,0.99532,0.99913
2019,5th Quintile,No,0.99620,4330,4330,0.99436,0.99803
2020,1st Quintile,No,0.94777,3430,3430,0.94032,0.95522
2020,2nd Quintile,No,0.98941,3318,3318,0.98592,0.99289
2020,3rd Quintile,No,0.99344,2870,2870,0.99048,0.99639
2020,4th Quintile,No,0.99383,2853,2853,0.99096,0.99671
2020,5th Quintile,No,0.98959,3717,3717,0.98633,0.99286
2021,1st Quintile,No,0.95122,2038,2038,0.94187,0.96058
2021,2nd Quintile,No,0.98486,2171,2171,0.97972,0.99000
2021,3rd Quintile,No,0.99490,2027,2027,0.99180,0.99800
2021,4th Quintile,No,0.99459,2074,2074,0.99144,0.99775
2021,5th Quintile,No,0.99530,2704,2704,0.99273,0.99788
2022,1st Quintile,No,0.96073,4475,4475,0.95504,0.96643
2022,2nd Quintile,No,0.97914,3855,3855,0.97463,0.98365
2022,3rd Quintile,No,0.99332,3388,3388,0.99058,0.99606
2022,4th Quintile,No,0.99283,3406,3406,0.99000,0.99567
2022,5th Quintile,No,0.98888,3811,3811,0.98555,0.99221
