year,regtyp,rentown,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Owner,No,0.99297,3748,3748,0.99029,0.99564
2016,Urban regions,Tenant,No,0.99495,5584,5584,0.99309,0.99681
2016,Rural regions,Owner,No,0.99719,2521,2521,0.99512,0.99926
2016,Rural regions,Tenant,No,0.99596,2388,2388,0.99341,0.99850
2017,Urban regions,Owner,No,0.99815,4248,4248,0.99686,0.99944
2017,Urban regions,Tenant,No,0.98767,5965,5965,0.98487,0.99047
2017,Rural regions,Owner,No,0.99638,2796,2796,0.99416,0.99861
2017,Rural regions,Tenant,No,0.98545,2616,2616,0.98086,0.99004
2018,Urban regions,Owner,No,0.99373,4058,4058,0.99130,0.99616
2018,Urban regions,Tenant,No,0.98344,6085,6085,0.98024,0.98665
2018,Rural regions,Owner,No,0.99793,2669,2669,0.99620,0.99965
2018,Rural regions,Tenant,No,0.98226,2586,2586,0.97718,0.98735
2019,Urban regions,Owner,No,0.99485,4711,4711,0.99280,0.99689
2019,Urban regions,Tenant,No,0.98185,5569,5569,0.97835,0.98536
2019,Rural regions,Owner,No,0.99660,2978,2978,0.99451,0.99869
2019,Rural regions,Tenant,No,0.98279,2358,2358,0.97754,0.98804
2020,Urban regions,Owner,No,0.99089,4253,4253,0.98804,0.99375
2020,Urban regions,Tenant,No,0.97370,6692,6692,0.96987,0.97754
2020,Rural regions,Owner,No,0.98833,2661,2661,0.98424,0.99241
2020,Rural regions,Tenant,No,0.98027,2609,2609,0.97493,0.98561
2021,Urban regions,Owner,No,0.99286,3104,3104,0.98989,0.99582
2021,Urban regions,Tenant,No,0.97273,4283,4283,0.96786,0.97761
2021,Rural regions,Owner,No,0.99174,1944,1944,0.98772,0.99577
2021,Rural regions,Tenant,No,0.98582,1697,1697,0.98020,0.99145
2022,Urban regions,Owner,No,0.99298,4651,4651,0.99058,0.99538
2022,Urban regions,Tenant,No,0.97195,8442,8442,0.96843,0.97547
2022,Rural regions,Owner,No,0.99472,3134,3134,0.99218,0.99726
2022,Rural regions,Tenant,No,0.97748,2894,2894,0.97207,0.98289
