year,regtyp,sampreg,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,West,No,0.98860,8218,8218,0.98631,0.99090
2016,Urban regions,East,No,0.98905,1115,1115,0.98294,0.99516
2016,Rural regions,West,No,0.99434,2968,2968,0.99163,0.99704
2016,Rural regions,East,No,0.98705,1941,1941,0.98202,0.99208
2017,Urban regions,West,No,0.99059,8984,8984,0.98859,0.99259
2017,Urban regions,East,No,0.99156,1229,1229,0.98644,0.99668
2017,Rural regions,West,No,0.98886,3235,3235,0.98524,0.99248
2017,Rural regions,East,No,0.99041,2177,2177,0.98631,0.99450
2018,Urban regions,West,No,0.98770,8893,8893,0.98541,0.98999
2018,Urban regions,East,No,0.99054,1250,1250,0.98517,0.99591
2018,Rural regions,West,No,0.98894,3079,3079,0.98525,0.99264
2018,Rural regions,East,No,0.99301,2176,2176,0.98951,0.99651
2019,Urban regions,West,No,0.98737,9010,9010,0.98507,0.98968
2019,Urban regions,East,No,0.98983,1270,1270,0.98431,0.99535
2019,Rural regions,West,No,0.98897,3090,3090,0.98529,0.99265
2019,Rural regions,East,No,0.99176,2246,2246,0.98803,0.99550
2020,Urban regions,West,Yes,0.00480,39,9696,0.00342,0.00617
2020,Urban regions,West,No,0.98109,9657,9696,0.97838,0.98380
2020,Urban regions,East,No,0.98281,1288,1288,0.97571,0.98991
2020,Rural regions,West,No,0.98278,3130,3130,0.97823,0.98734
2020,Rural regions,East,No,0.98744,2140,2140,0.98272,0.99216
2021,Urban regions,West,Yes,0.00427,31,6521,0.00268,0.00585
2021,Urban regions,West,No,0.98182,6490,6521,0.97858,0.98506
2021,Urban regions,East,No,0.97738,900,900,0.96767,0.98710
2021,Rural regions,West,No,0.98612,2151,2151,0.98118,0.99107
2021,Rural regions,East,No,0.99384,1491,1491,0.98987,0.99782
2022,Urban regions,West,Yes,0.00279,36,11507,0.00183,0.00376
2022,Urban regions,West,No,0.98181,11471,11507,0.97937,0.98425
2022,Urban regions,East,No,0.97512,1630,1630,0.96756,0.98268
2022,Rural regions,West,No,0.98510,3474,3474,0.98107,0.98913
2022,Rural regions,East,No,0.98947,2560,2560,0.98551,0.99342
