year,quintil_oecd_hh,regtyp,hlc0182,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Urban regions,No,0.96588,1979,1979,0.95788,0.97388
2016,1st Quintile,Rural regions,No,0.97582,1108,1108,0.96678,0.98487
2016,2nd Quintile,Urban regions,No,0.99501,1841,1841,0.99179,0.99823
2016,2nd Quintile,Rural regions,No,0.99696,1188,1188,0.99383,1.00009
2016,3rd Quintile,Urban regions,No,0.99873,1721,1721,0.99705,1.00041
2016,3rd Quintile,Rural regions,No,0.99202,1012,1012,0.98653,0.99750
2016,4th Quintile,Urban regions,No,0.99354,1751,1751,0.98978,0.99729
2016,4th Quintile,Rural regions,No,0.99917,899,899,0.99728,1.00105
2016,5th Quintile,Urban regions,No,0.99035,2036,2036,0.98611,0.99460
2016,5th Quintile,Rural regions,No,0.99599,702,702,0.99131,1.00067
2017,1st Quintile,Urban regions,No,0.96466,2018,2018,0.95660,0.97271
2017,1st Quintile,Rural regions,No,0.96291,1174,1174,0.95209,0.97372
2017,2nd Quintile,Urban regions,No,0.99495,1969,1969,0.99182,0.99808
2017,2nd Quintile,Rural regions,No,0.99561,1259,1259,0.99196,0.99926
2017,3rd Quintile,Urban regions,No,0.99714,1896,1896,0.99473,0.99954
2017,3rd Quintile,Rural regions,No,0.99650,1182,1182,0.99314,0.99987
2017,4th Quintile,Urban regions,No,0.99819,2009,2009,0.99633,1.00005
2017,4th Quintile,Rural regions,No,0.99622,1027,1027,0.99247,0.99998
2017,5th Quintile,Urban regions,No,0.99880,2317,2317,0.99740,1.00021
2017,5th Quintile,Rural regions,No,0.99854,770,770,0.99584,1.00124
2018,1st Quintile,Urban regions,No,0.96585,2128,2128,0.95813,0.97356
2018,1st Quintile,Rural regions,No,0.97078,1178,1178,0.96116,0.98040
2018,2nd Quintile,Urban regions,No,0.99204,2027,2027,0.98817,0.99591
2018,2nd Quintile,Rural regions,No,0.99630,1261,1261,0.99295,0.99965
2018,3rd Quintile,Urban regions,No,0.99161,1843,1843,0.98744,0.99577
2018,3rd Quintile,Rural regions,No,0.99753,1085,1085,0.99457,1.00048
2018,4th Quintile,Urban regions,No,0.99842,1911,1911,0.99665,1.00020
2018,4th Quintile,Rural regions,No,0.99297,959,959,0.98768,0.99826
2018,5th Quintile,Urban regions,No,0.99440,2231,2231,0.99130,0.99750
2018,5th Quintile,Rural regions,No,0.99790,770,770,0.99466,1.00113
2019,1st Quintile,Urban regions,No,0.95393,1806,1806,0.94426,0.96361
2019,1st Quintile,Rural regions,No,0.96560,1020,1020,0.95441,0.97679
2019,2nd Quintile,Urban regions,No,0.99340,1772,1772,0.98963,0.99717
2019,2nd Quintile,Rural regions,No,0.99571,1155,1155,0.99194,0.99948
2019,3rd Quintile,Urban regions,No,0.99621,1760,1760,0.99333,0.99908
2019,3rd Quintile,Rural regions,No,0.99978,1034,1034,0.99886,1.00069
2019,4th Quintile,Urban regions,No,0.99803,1859,1859,0.99601,1.00004
2019,4th Quintile,Rural regions,No,0.99540,983,983,0.99117,0.99963
2019,5th Quintile,Urban regions,No,0.99736,3081,3081,0.99554,0.99917
2019,5th Quintile,Rural regions,No,0.99376,1143,1143,0.98920,0.99833
2020,1st Quintile,Urban regions,No,0.94346,2307,2307,0.93404,0.95289
2020,1st Quintile,Rural regions,No,0.95736,1123,1123,0.94553,0.96918
2020,2nd Quintile,Urban regions,No,0.98863,2082,2082,0.98407,0.99318
2020,2nd Quintile,Rural regions,No,0.99080,1236,1236,0.98547,0.99612
2020,3rd Quintile,Urban regions,No,0.99305,1862,1862,0.98928,0.99682
2020,3rd Quintile,Rural regions,No,0.99415,1008,1008,0.98945,0.99886
2020,4th Quintile,Urban regions,No,0.99419,1923,1923,0.99079,0.99759
2020,4th Quintile,Rural regions,No,0.99300,930,930,0.98764,0.99836
2020,5th Quintile,Urban regions,No,0.99044,2750,2750,0.98680,0.99408
2020,5th Quintile,Rural regions,No,0.98691,967,967,0.97974,0.99408
2021,1st Quintile,Urban regions,No,0.94301,1346,1346,0.93062,0.95540
2021,1st Quintile,Rural regions,No,0.96824,691,691,0.95515,0.98132
2021,2nd Quintile,Urban regions,No,0.97837,1318,1318,0.97051,0.98623
2021,2nd Quintile,Rural regions,No,0.99585,853,853,0.99153,1.00017
2021,3rd Quintile,Urban regions,No,0.99327,1304,1304,0.98882,0.99771
2021,3rd Quintile,Rural regions,No,0.99813,723,723,0.99498,1.00128
2021,4th Quintile,Urban regions,No,0.99688,1395,1395,0.99395,0.99981
2021,4th Quintile,Rural regions,No,0.98928,679,679,0.98153,0.99703
2021,5th Quintile,Urban regions,No,0.99583,2013,2013,0.99301,0.99864
2021,5th Quintile,Rural regions,No,0.99367,691,691,0.98775,0.99959
2022,1st Quintile,Urban regions,No,0.95666,3031,3031,0.94941,0.96391
2022,1st Quintile,Rural regions,No,0.97044,1444,1444,0.96170,0.97918
2022,2nd Quintile,Urban regions,No,0.97319,2531,2531,0.96690,0.97948
2022,2nd Quintile,Rural regions,No,0.99013,1324,1324,0.98480,0.99546
2022,3rd Quintile,Urban regions,No,0.99348,2256,2256,0.99016,0.99680
2022,3rd Quintile,Rural regions,No,0.99299,1132,1132,0.98813,0.99786
2022,4th Quintile,Urban regions,No,0.99400,2341,2341,0.99087,0.99713
2022,4th Quintile,Rural regions,No,0.99034,1065,1065,0.98447,0.99622
2022,5th Quintile,Urban regions,No,0.98914,2784,2784,0.98529,0.99299
2022,5th Quintile,Rural regions,No,0.98814,1027,1027,0.98151,0.99476
