"pgstib","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Westdeutschland, alte Bundeslaender","maennlich","97","0.0112058326398673","0.00854125418936977","0.0138704110903648"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Westdeutschland, alte Bundeslaender","weiblich","2014","0.28467558844118","0.273468303193654","0.295882873688707"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Westdeutschland, alte Bundeslaender","maennlich","387","0.064456061655435","0.0582399690628027","0.0706721542480674"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Westdeutschland, alte Bundeslaender","weiblich","335","0.0509113710964482","0.0454521011351643","0.056370641057732"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: arbeitslos gemeldet","1984","Westdeutschland, alte Bundeslaender","maennlich","250","0.0359824781998664","0.0312679146238009","0.0406970417759319"
"NE: arbeitslos gemeldet","1984","Westdeutschland, alte Bundeslaender","weiblich","189","0.0241712256362047","0.0203569687819196","0.0279854824904898"
"NE: arbeitslos gemeldet","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: arbeitslos gemeldet","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: Rentner/Rentnerin","1984","Westdeutschland, alte Bundeslaender","maennlich","748","0.187418305966952","0.177539760149964","0.19729685178394"
"NE: Rentner/Rentnerin","1984","Westdeutschland, alte Bundeslaender","weiblich","1028","0.261957946045819","0.251037757628616","0.272878134463021"
"NE: Rentner/Rentnerin","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
