"pgstib","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","16-34 Jahre alt","(noch) kein Abschluss","104","0.098472915779546","0.073034470121744","0.123911361437348"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","16-34 Jahre alt","Hauptschulabschluss","403","0.16254154563107","0.147238863479649","0.177844227782491"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","16-34 Jahre alt","Realschulabschluss","108","0.102664302773502","0.083899143124292","0.121429462422712"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","16-34 Jahre alt","(Fach-)Abitur","61","0.0799071349156157","0.0576278848083086","0.102186385022923"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","35-65 Jahre alt","(noch) kein Abschluss","197","0.283394965654539","0.251460962314489","0.31532896899459"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","35-65 Jahre alt","Hauptschulabschluss","902","0.230510466904412","0.217582673031701","0.243438260777123"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","35-65 Jahre alt","Realschulabschluss","131","0.179176180436989","0.150807139922834","0.207545220951143"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","35-65 Jahre alt","AkademikerInnen","31","0.0627276915536461","0.0410587300251081","0.0843966530821841"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","66 und älter","(noch) kein Abschluss","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","66 und älter","Hauptschulabschluss","84","0.0785505012220088","0.0616111625189303","0.0954898399250874"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","66 und älter","Realschulabschluss","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","66 und älter","(Fach-)Abitur","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","66 und älter","AkademikerInnen","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","16-34 Jahre alt","(noch) kein Abschluss","217","0.656445721340581","0.615900481364525","0.696990961316638"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","16-34 Jahre alt","Hauptschulabschluss","96","0.0381031503026341","0.0301626398346922","0.046043660770576"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","16-34 Jahre alt","Realschulabschluss","164","0.160958029823789","0.138237773501905","0.183678286145673"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","16-34 Jahre alt","(Fach-)Abitur","200","0.385469594088028","0.345478921444909","0.425460266731148"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","66 und älter","(noch) kein Abschluss","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","66 und älter","Hauptschulabschluss","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","66 und älter","Realschulabschluss","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","66 und älter","(Fach-)Abitur","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","66 und älter","AkademikerInnen","","","",""
"NE: arbeitslos gemeldet","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"NE: arbeitslos gemeldet","1984","16-34 Jahre alt","Hauptschulabschluss","147","0.0701773278526911","0.0595822974076013","0.0807723582977809"
"NE: arbeitslos gemeldet","1984","16-34 Jahre alt","Realschulabschluss","34","0.0327769341379128","0.0217688295591868","0.0437850387166387"
