"pgstib","year","migback","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","kein Migrationshintergrund","1412","0.152636409031042","0.145070219489071","0.160202598573014"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","direkter Migrationshintergrund","681","0.190491690524628","0.177323144270191","0.203660236779066"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","indirekter Migrationshintergrund","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","kein Migrationshintergrund","548","0.0581014472810773","0.0531798192543333","0.0630230753078212"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","direkter Migrationshintergrund","143","0.0447344458445725","0.0378022272353847","0.0516666644537603"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","indirekter Migrationshintergrund","31","0.164781665511105","0.10051325487529","0.22905007614692"
"NE: arbeitslos gemeldet","1984","kein Migrationshintergrund","236","0.0266944339536269","0.0233032745196111","0.0300855933876426"
"NE: arbeitslos gemeldet","1984","direkter Migrationshintergrund","198","0.0591105481030647","0.0512021057534008","0.0670189904527286"
"NE: arbeitslos gemeldet","1984","indirekter Migrationshintergrund","","","",""
"NE: Rentner/Rentnerin","1984","kein Migrationshintergrund","1662","0.241866219590705","0.232857277834778","0.250875161346632"
"NE: Rentner/Rentnerin","1984","direkter Migrationshintergrund","108","0.0872003215629919","0.0777393455269757","0.0966612975990081"
"NE: Rentner/Rentnerin","1984","indirekter Migrationshintergrund","","","",""
"NE: Wehr- und Zivildienst","1984","kein Migrationshintergrund","31","0.00353353780872449","0.00228515016541579","0.00478192545203319"
"NE: Wehr- und Zivildienst","1984","direkter Migrationshintergrund","","","",""
"NE: Wehr- und Zivildienst","1984","indirekter Migrationshintergrund","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","kein Migrationshintergrund","297","0.032202056903776","0.0284880098569415","0.0359161039506106"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","direkter Migrationshintergrund","92","0.0204562852594622","0.0157093374510488","0.0252032330678756"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","indirekter Migrationshintergrund","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","kein Migrationshintergrund","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","direkter Migrationshintergrund","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","indirekter Migrationshintergrund","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","kein Migrationshintergrund","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","direkter Migrationshintergrund","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","indirekter Migrationshintergrund","","","",""
"Volontäre, Praktikanten","1984","kein Migrationshintergrund","","","",""
"Volontäre, Praktikanten","1984","direkter Migrationshintergrund","","","",""
"Volontäre, Praktikanten","1984","indirekter Migrationshintergrund","","","",""
"Aspiranten (1990 Ost)","1984","kein Migrationshintergrund","","","",""
"Aspiranten (1990 Ost)","1984","direkter Migrationshintergrund","","","",""
"Aspiranten (1990 Ost)","1984","indirekter Migrationshintergrund","","","",""
"ungelernter Arbeiter","1984","kein Migrationshintergrund","223","0.0245551956236332","0.0212991813809647","0.0278112098663016"
"ungelernter Arbeiter","1984","direkter Migrationshintergrund","513","0.104244117905441","0.0939968102854468","0.114491425525436"
"ungelernter Arbeiter","1984","indirekter Migrationshintergrund","","","",""
"angelernter Arbeiter","1984","kein Migrationshintergrund","548","0.0601117178829176","0.0551110163532462","0.0651124194125889"
"angelernter Arbeiter","1984","direkter Migrationshintergrund","915","0.208595594233912","0.194970454731177","0.222220733736647"
"angelernter Arbeiter","1984","indirekter Migrationshintergrund","","","",""
"gelernte und Facharbeiter","1984","kein Migrationshintergrund","641","0.0709867132254659","0.065583989703102","0.0763894367478299"
"gelernte und Facharbeiter","1984","direkter Migrationshintergrund","347","0.0953663392420035","0.0855166373208263","0.105216041163181"
"gelernte und Facharbeiter","1984","indirekter Migrationshintergrund","","","",""
"Vorarbeiter, Kolonnenführer","1984","kein Migrationshintergrund","101","0.0108666154837991","0.0086854539662606","0.0130477770013376"
"Vorarbeiter, Kolonnenführer","1984","direkter Migrationshintergrund","41","0.011283095524247","0.0077411712464122","0.0148250198020818"
"Vorarbeiter, Kolonnenführer","1984","indirekter Migrationshintergrund","","","",""
"Meister, Polier","1984","kein Migrationshintergrund","58","0.00640809144583678","0.00472935847487087","0.0080868244168027"
"Meister, Polier","1984","direkter Migrationshintergrund","","","",""
"Meister, Polier","1984","indirekter Migrationshintergrund","","","",""
