"pgstib","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","305","0.161221391026962","0.141307897908867","0.181134884145057"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","1389","0.1821896116292","0.173322128970471","0.19105709428793"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","255","0.128032770864706","0.112949238216566","0.143116303512846"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","88","0.0858184682715734","0.067163447106077","0.10447348943707"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","51","0.0575768003092593","0.0413435084561738","0.0738100921623449"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","217","0.417356809873349","0.390653350144085","0.444060269602613"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","103","0.0101932649690182","0.00788575231956427","0.0125007776184722"
