"pgstib","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","16-34 Jahre alt","kein Migrationshintergrund","388","0.115191478112435","0.103969418950353","0.126413537274517"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","16-34 Jahre alt","direkter Migrationshintergrund","304","0.204251655414882","0.183118459957846","0.225384850871917"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","35-65 Jahre alt","kein Migrationshintergrund","926","0.209269119886881","0.197155587893091","0.221382651880671"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","35-65 Jahre alt","direkter Migrationshintergrund","369","0.18231282698635","0.165319088168954","0.199306565803746"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","66 und älter","kein Migrationshintergrund","98","0.0720247657417449","0.0576236251950831","0.0864259062884068"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","66 und älter","direkter Migrationshintergrund","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","16-34 Jahre alt","kein Migrationshintergrund","534","0.173680240662677","0.160363835358204","0.18699664596715"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","16-34 Jahre alt","direkter Migrationshintergrund","138","0.11538616460062","0.0986387320279165","0.132133597173324"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","16-34 Jahre alt","indirekter Migrationshintergrund","31","0.27494426580939","0.188296766316487","0.361591765302293"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","66 und älter","kein Migrationshintergrund","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","66 und älter","direkter Migrationshintergrund","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"NE: arbeitslos gemeldet","1984","16-34 Jahre alt","kein Migrationshintergrund","144","0.0493102387012835","0.0416995196418384","0.0569209577607286"
"NE: arbeitslos gemeldet","1984","16-34 Jahre alt","direkter Migrationshintergrund","89","0.0728793673091621","0.0592534758447336","0.0865052587735907"
"NE: arbeitslos gemeldet","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"NE: arbeitslos gemeldet","1984","35-65 Jahre alt","kein Migrationshintergrund","92","0.0219703727802513","0.0176052286757397","0.0263355168847629"
"NE: arbeitslos gemeldet","1984","35-65 Jahre alt","direkter Migrationshintergrund","108","0.0538401956271066","0.0439062381753729","0.0637741530788403"
"NE: arbeitslos gemeldet","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"NE: arbeitslos gemeldet","1984","66 und älter","kein Migrationshintergrund","","","",""
"NE: arbeitslos gemeldet","1984","66 und älter","direkter Migrationshintergrund","","","",""
"NE: arbeitslos gemeldet","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"NE: Rentner/Rentnerin","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"NE: Rentner/Rentnerin","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"NE: Rentner/Rentnerin","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"NE: Rentner/Rentnerin","1984","35-65 Jahre alt","kein Migrationshintergrund","562","0.147936275922797","0.137363786826569","0.158508765019024"
"NE: Rentner/Rentnerin","1984","35-65 Jahre alt","direkter Migrationshintergrund","84","0.0955402936920625","0.082602070705601","0.108478516678524"
"NE: Rentner/Rentnerin","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"NE: Rentner/Rentnerin","1984","66 und älter","kein Migrationshintergrund","1093","0.893395358252659","0.876204495539429","0.910586220965888"
"NE: Rentner/Rentnerin","1984","66 und älter","direkter Migrationshintergrund","","","",""
"NE: Rentner/Rentnerin","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"NE: Wehr- und Zivildienst","1984","16-34 Jahre alt","kein Migrationshintergrund","31","0.0108645854297092","0.00722063730849505","0.0145085335509233"
"NE: Wehr- und Zivildienst","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"NE: Wehr- und Zivildienst","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"NE: Wehr- und Zivildienst","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"NE: Wehr- und Zivildienst","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"NE: Wehr- und Zivildienst","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"NE: Wehr- und Zivildienst","1984","66 und älter","kein Migrationshintergrund","","","",""
"NE: Wehr- und Zivildienst","1984","66 und älter","direkter Migrationshintergrund","","","",""
"NE: Wehr- und Zivildienst","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","16-34 Jahre alt","kein Migrationshintergrund","297","0.0990118168198466","0.0885129895076758","0.109510644132017"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","16-34 Jahre alt","direkter Migrationshintergrund","92","0.0548442584308214","0.0429095509737708","0.066778965887872"
