"pgstib","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(noch) kein Abschluss","maennlich","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(noch) kein Abschluss","weiblich","282","0.279439064999197","0.246548299110911","0.312329830887482"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Hauptschulabschluss","maennlich","46","0.00924793918200677","0.00608489580206804","0.0124109825619455"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Hauptschulabschluss","weiblich","1343","0.325241309088648","0.310269526289939","0.340213091887357"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Realschulabschluss","maennlich","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Realschulabschluss","weiblich","246","0.206834962288668","0.182899296874534","0.230770627702801"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(Fach-)Abitur","maennlich","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(Fach-)Abitur","weiblich","76","0.184720879127752","0.144064825329161","0.225376932926343"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","AkademikerInnen","maennlich","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","AkademikerInnen","weiblich","46","0.160128641766509","0.11502910011498","0.205228183418038"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","(noch) kein Abschluss","maennlich","109","0.432267060053306","0.392462051119808","0.472072068986804"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","(noch) kein Abschluss","weiblich","108","0.403558855294782","0.367597809891003","0.43951990069856"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Hauptschulabschluss","maennlich","46","0.00832797913836762","0.00532498822667261","0.0113309700500626"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Hauptschulabschluss","weiblich","57","0.0117361684262697","0.00829428591397027","0.0151780509385692"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Realschulabschluss","maennlich","89","0.0978482960609084","0.0770642697686304","0.118632322353186"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Realschulabschluss","weiblich","80","0.0693292319537617","0.0543182888270553","0.0843401750804681"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","(Fach-)Abitur","maennlich","127","0.28630573981093","0.247303067016311","0.32530841260555"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","(Fach-)Abitur","weiblich","77","0.213537902514598","0.170604979892251","0.256470825136945"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","AkademikerInnen","maennlich","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","AkademikerInnen","weiblich","","","",""
"NE: arbeitslos gemeldet","1984","(noch) kein Abschluss","maennlich","42","0.0586882798491024","0.039802625733619","0.0775739339645858"
"NE: arbeitslos gemeldet","1984","(noch) kein Abschluss","weiblich","37","0.0438686346691595","0.0288568988932034","0.0588803704451155"
"NE: arbeitslos gemeldet","1984","Hauptschulabschluss","maennlich","160","0.0414891526946938","0.0348994477060725","0.0480788576833151"
"NE: arbeitslos gemeldet","1984","Hauptschulabschluss","weiblich","109","0.0235279051983501","0.0186837508396173","0.028372059557083"
"NE: arbeitslos gemeldet","1984","Realschulabschluss","maennlich","","","",""
"NE: arbeitslos gemeldet","1984","Realschulabschluss","weiblich","","","",""
"NE: arbeitslos gemeldet","1984","(Fach-)Abitur","maennlich","","","",""
"NE: arbeitslos gemeldet","1984","(Fach-)Abitur","weiblich","","","",""
"NE: arbeitslos gemeldet","1984","AkademikerInnen","maennlich","","","",""
"NE: arbeitslos gemeldet","1984","AkademikerInnen","weiblich","","","",""
"NE: Rentner/Rentnerin","1984","(noch) kein Abschluss","maennlich","","","",""
"NE: Rentner/Rentnerin","1984","(noch) kein Abschluss","weiblich","","","",""
"NE: Rentner/Rentnerin","1984","Hauptschulabschluss","maennlich","551","0.229543485631933","0.215646944240863","0.243440027023003"
"NE: Rentner/Rentnerin","1984","Hauptschulabschluss","weiblich","798","0.312671239982196","0.297855523775379","0.327486956189012"
"NE: Rentner/Rentnerin","1984","Realschulabschluss","maennlich","80","0.130985718801518","0.10738426837766","0.154587169225377"
"NE: Rentner/Rentnerin","1984","Realschulabschluss","weiblich","157","0.201943624736035","0.178219860046444","0.225667389425626"
"NE: Rentner/Rentnerin","1984","(Fach-)Abitur","maennlich","45","0.128048987535865","0.0992181434288706","0.156879831642859"
"NE: Rentner/Rentnerin","1984","(Fach-)Abitur","weiblich","","","",""
"NE: Rentner/Rentnerin","1984","AkademikerInnen","maennlich","54","0.128293774597817","0.100009254569487","0.156578294626148"
"NE: Rentner/Rentnerin","1984","AkademikerInnen","weiblich","","","",""
"NE: Wehr- und Zivildienst","1984","(noch) kein Abschluss","maennlich","","","",""
"NE: Wehr- und Zivildienst","1984","(noch) kein Abschluss","weiblich","","","",""
"NE: Wehr- und Zivildienst","1984","Hauptschulabschluss","maennlich","","","",""
"NE: Wehr- und Zivildienst","1984","Hauptschulabschluss","weiblich","","","",""
"NE: Wehr- und Zivildienst","1984","Realschulabschluss","maennlich","","","",""
"NE: Wehr- und Zivildienst","1984","Realschulabschluss","weiblich","","","",""
"NE: Wehr- und Zivildienst","1984","(Fach-)Abitur","maennlich","","","",""
"NE: Wehr- und Zivildienst","1984","(Fach-)Abitur","weiblich","","","",""
"NE: Wehr- und Zivildienst","1984","AkademikerInnen","maennlich","","","",""
"NE: Wehr- und Zivildienst","1984","AkademikerInnen","weiblich","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","(noch) kein Abschluss","maennlich","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","(noch) kein Abschluss","weiblich","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Hauptschulabschluss","maennlich","136","0.0300644139573205","0.0244215706405551","0.035707257274086"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Hauptschulabschluss","weiblich","62","0.0135890514525656","0.00988889627599793","0.0172892066291334"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Realschulabschluss","maennlich","75","0.0818380772602627","0.0626624044709407","0.101013750049585"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Realschulabschluss","weiblich","80","0.06532964139946","0.0507268419554829","0.0799324408434371"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","(Fach-)Abitur","maennlich","33","0.0644047868884722","0.0432247696365354","0.085584804140409"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","(Fach-)Abitur","weiblich","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","AkademikerInnen","maennlich","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","AkademikerInnen","weiblich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","(noch) kein Abschluss","maennlich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","(noch) kein Abschluss","weiblich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Hauptschulabschluss","maennlich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Hauptschulabschluss","weiblich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Realschulabschluss","maennlich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Realschulabschluss","weiblich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","(Fach-)Abitur","maennlich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","(Fach-)Abitur","weiblich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","AkademikerInnen","maennlich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","AkademikerInnen","weiblich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","(noch) kein Abschluss","maennlich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","(noch) kein Abschluss","weiblich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Hauptschulabschluss","maennlich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Hauptschulabschluss","weiblich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Realschulabschluss","maennlich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Realschulabschluss","weiblich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","(Fach-)Abitur","maennlich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","(Fach-)Abitur","weiblich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","AkademikerInnen","maennlich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","AkademikerInnen","weiblich","","","",""
"Volontäre, Praktikanten","1984","(noch) kein Abschluss","maennlich","","","",""
"Volontäre, Praktikanten","1984","(noch) kein Abschluss","weiblich","","","",""
"Volontäre, Praktikanten","1984","Hauptschulabschluss","maennlich","","","",""
"Volontäre, Praktikanten","1984","Hauptschulabschluss","weiblich","","","",""
"Volontäre, Praktikanten","1984","Realschulabschluss","maennlich","","","",""
"Volontäre, Praktikanten","1984","Realschulabschluss","weiblich","","","",""
"Volontäre, Praktikanten","1984","(Fach-)Abitur","maennlich","","","",""
"Volontäre, Praktikanten","1984","(Fach-)Abitur","weiblich","","","",""
"Volontäre, Praktikanten","1984","AkademikerInnen","maennlich","","","",""
"Volontäre, Praktikanten","1984","AkademikerInnen","weiblich","","","",""
"Aspiranten (1990 Ost)","1984","(noch) kein Abschluss","maennlich","","","",""
"Aspiranten (1990 Ost)","1984","(noch) kein Abschluss","weiblich","","","",""
"Aspiranten (1990 Ost)","1984","Hauptschulabschluss","maennlich","","","",""
"Aspiranten (1990 Ost)","1984","Hauptschulabschluss","weiblich","","","",""
"Aspiranten (1990 Ost)","1984","Realschulabschluss","maennlich","","","",""
"Aspiranten (1990 Ost)","1984","Realschulabschluss","weiblich","","","",""
"Aspiranten (1990 Ost)","1984","(Fach-)Abitur","maennlich","","","",""
"Aspiranten (1990 Ost)","1984","(Fach-)Abitur","weiblich","","","",""
"Aspiranten (1990 Ost)","1984","AkademikerInnen","maennlich","","","",""
"Aspiranten (1990 Ost)","1984","AkademikerInnen","weiblich","","","",""
"ungelernter Arbeiter","1984","(noch) kein Abschluss","maennlich","125","0.13953263530594","0.111691002067614","0.167374268544266"
"ungelernter Arbeiter","1984","(noch) kein Abschluss","weiblich","131","0.104712937318502","0.0822701705787605","0.127155704058244"
"ungelernter Arbeiter","1984","Hauptschulabschluss","maennlich","192","0.0313267595395591","0.0255704178996942","0.037083101179424"
"ungelernter Arbeiter","1984","Hauptschulabschluss","weiblich","241","0.0456480581729595","0.038977504868877","0.052318611477042"
"ungelernter Arbeiter","1984","Realschulabschluss","maennlich","","","",""
"ungelernter Arbeiter","1984","Realschulabschluss","weiblich","","","",""
"ungelernter Arbeiter","1984","(Fach-)Abitur","maennlich","","","",""
"ungelernter Arbeiter","1984","(Fach-)Abitur","weiblich","","","",""
"ungelernter Arbeiter","1984","AkademikerInnen","maennlich","","","",""
"ungelernter Arbeiter","1984","AkademikerInnen","weiblich","","","",""
"angelernter Arbeiter","1984","(noch) kein Abschluss","maennlich","207","0.190550284236554","0.158993746640979","0.22210682183213"
"angelernter Arbeiter","1984","(noch) kein Abschluss","weiblich","112","0.0912628056322684","0.0701541230151259","0.112371488249411"
"angelernter Arbeiter","1984","Hauptschulabschluss","maennlich","650","0.131988283880905","0.120803421158782","0.143173146603028"
"angelernter Arbeiter","1984","Hauptschulabschluss","weiblich","381","0.0708344860102588","0.0626354019488435","0.0790335700716741"
"angelernter Arbeiter","1984","Realschulabschluss","maennlich","","","",""
"angelernter Arbeiter","1984","Realschulabschluss","weiblich","","","",""
"angelernter Arbeiter","1984","(Fach-)Abitur","maennlich","45","0.0381505939939908","0.0216223226944802","0.0546788652935013"
"angelernter Arbeiter","1984","(Fach-)Abitur","weiblich","","","",""
"angelernter Arbeiter","1984","AkademikerInnen","maennlich","","","",""
"angelernter Arbeiter","1984","AkademikerInnen","weiblich","","","",""
"gelernte und Facharbeiter","1984","(noch) kein Abschluss","maennlich","45","0.0455111143522237","0.0287642392745899","0.0622579894298576"
"gelernte und Facharbeiter","1984","(noch) kein Abschluss","weiblich","","","",""
"gelernte und Facharbeiter","1984","Hauptschulabschluss","maennlich","769","0.209245839975165","0.195804290578105","0.222687389372224"
"gelernte und Facharbeiter","1984","Hauptschulabschluss","weiblich","64","0.0136803557581255","0.00996796261832932","0.0173927488979217"
"gelernte und Facharbeiter","1984","Realschulabschluss","maennlich","52","0.0662071231314927","0.0488134662135958","0.0836007800493897"
"gelernte und Facharbeiter","1984","Realschulabschluss","weiblich","","","",""
"gelernte und Facharbeiter","1984","(Fach-)Abitur","maennlich","34","0.0297043809092961","0.0150561381696936","0.0443526236488985"
"gelernte und Facharbeiter","1984","(Fach-)Abitur","weiblich","","","",""
"gelernte und Facharbeiter","1984","AkademikerInnen","maennlich","","","",""
"gelernte und Facharbeiter","1984","AkademikerInnen","weiblich","","","",""
"Vorarbeiter, Kolonnenführer","1984","(noch) kein Abschluss","maennlich","","","",""
"Vorarbeiter, Kolonnenführer","1984","(noch) kein Abschluss","weiblich","","","",""
"Vorarbeiter, Kolonnenführer","1984","Hauptschulabschluss","maennlich","119","0.0348536812464434","0.0287930050687154","0.0409143574241714"
"Vorarbeiter, Kolonnenführer","1984","Hauptschulabschluss","weiblich","","","",""
"Vorarbeiter, Kolonnenführer","1984","Realschulabschluss","maennlich","","","",""
"Vorarbeiter, Kolonnenführer","1984","Realschulabschluss","weiblich","","","",""
"Vorarbeiter, Kolonnenführer","1984","(Fach-)Abitur","maennlich","","","",""
"Vorarbeiter, Kolonnenführer","1984","(Fach-)Abitur","weiblich","","","",""
"Vorarbeiter, Kolonnenführer","1984","AkademikerInnen","maennlich","","","",""
"Vorarbeiter, Kolonnenführer","1984","AkademikerInnen","weiblich","","","",""
"Meister, Polier","1984","(noch) kein Abschluss","maennlich","","","",""
"Meister, Polier","1984","(noch) kein Abschluss","weiblich","","","",""
"Meister, Polier","1984","Hauptschulabschluss","maennlich","53","0.017662002701824","0.0133093840532721","0.022014621350376"
"Meister, Polier","1984","Hauptschulabschluss","weiblich","","","",""
"Meister, Polier","1984","Realschulabschluss","maennlich","","","",""
"Meister, Polier","1984","Realschulabschluss","weiblich","","","",""
"Meister, Polier","1984","(Fach-)Abitur","maennlich","","","",""
"Meister, Polier","1984","(Fach-)Abitur","weiblich","","","",""
"Meister, Polier","1984","AkademikerInnen","maennlich","","","",""
"Meister, Polier","1984","AkademikerInnen","weiblich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","(noch) kein Abschluss","maennlich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","(noch) kein Abschluss","weiblich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Hauptschulabschluss","maennlich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Hauptschulabschluss","weiblich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Realschulabschluss","maennlich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Realschulabschluss","weiblich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","(Fach-)Abitur","maennlich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","(Fach-)Abitur","weiblich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","AkademikerInnen","maennlich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","AkademikerInnen","weiblich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","(noch) kein Abschluss","maennlich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","(noch) kein Abschluss","weiblich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Hauptschulabschluss","maennlich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Hauptschulabschluss","weiblich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Realschulabschluss","maennlich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Realschulabschluss","weiblich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","(Fach-)Abitur","maennlich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","(Fach-)Abitur","weiblich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","AkademikerInnen","maennlich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","AkademikerInnen","weiblich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","(noch) kein Abschluss","maennlich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","(noch) kein Abschluss","weiblich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Hauptschulabschluss","maennlich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Hauptschulabschluss","weiblich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Realschulabschluss","maennlich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Realschulabschluss","weiblich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","(Fach-)Abitur","maennlich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","(Fach-)Abitur","weiblich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","AkademikerInnen","maennlich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","AkademikerInnen","weiblich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","(noch) kein Abschluss","maennlich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","(noch) kein Abschluss","weiblich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Hauptschulabschluss","maennlich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Hauptschulabschluss","weiblich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Realschulabschluss","maennlich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Realschulabschluss","weiblich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","(Fach-)Abitur","maennlich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","(Fach-)Abitur","weiblich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","AkademikerInnen","maennlich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","AkademikerInnen","weiblich","","","",""
"selbständiger Landwirt","1984","(noch) kein Abschluss","maennlich","","","",""
"selbständiger Landwirt","1984","(noch) kein Abschluss","weiblich","","","",""
"selbständiger Landwirt","1984","Hauptschulabschluss","maennlich","40","0.0144960945673728","0.0105464787355638","0.0184457103991819"
"selbständiger Landwirt","1984","Hauptschulabschluss","weiblich","","","",""
"selbständiger Landwirt","1984","Realschulabschluss","maennlich","","","",""
"selbständiger Landwirt","1984","Realschulabschluss","weiblich","","","",""
"selbständiger Landwirt","1984","(Fach-)Abitur","maennlich","","","",""
"selbständiger Landwirt","1984","(Fach-)Abitur","weiblich","","","",""
"selbständiger Landwirt","1984","AkademikerInnen","maennlich","","","",""
"selbständiger Landwirt","1984","AkademikerInnen","weiblich","","","",""
