"pgstib","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","705","0.125005040662723","0.11545706561458","0.134553015710866"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1299","0.205897227573016","0.195940786854086","0.215853668291947"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","66 und älter","Westdeutschland, alte Bundeslaender","107","0.0748777201203714","0.0604479789705745","0.0893074612701683"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","703","0.168208320816765","0.157409514287635","0.179007127345895"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos gemeldet","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","238","0.0516497261729301","0.0452602811800345","0.0580391711658258"
"NE: arbeitslos gemeldet","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos gemeldet","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","200","0.0255234521149596","0.0216401971219359","0.0294067071079833"
"NE: arbeitslos gemeldet","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos gemeldet","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"NE: arbeitslos gemeldet","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Rentner/Rentnerin","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: Rentner/Rentnerin","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Rentner/Rentnerin","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","649","0.142244770319075","0.133643940625541","0.150845600012608"
"NE: Rentner/Rentnerin","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Rentner/Rentnerin","1984","66 und älter","Westdeutschland, alte Bundeslaender","1120","0.890931803804206","0.873841335601445","0.908022272006968"
"NE: Rentner/Rentnerin","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Wehr- und Zivildienst","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","35","0.0103293618546981","0.00741041071317469","0.0132483129962215"
"NE: Wehr- und Zivildienst","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Wehr- und Zivildienst","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"NE: Wehr- und Zivildienst","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Wehr- und Zivildienst","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"NE: Wehr- und Zivildienst","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","412","0.0944987953847456","0.0860537421926516","0.10294384857684"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Volontäre, Praktikanten","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Volontäre, Praktikanten","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Volontäre, Praktikanten","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Volontäre, Praktikanten","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Volontäre, Praktikanten","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Volontäre, Praktikanten","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Aspiranten (1990 Ost)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Aspiranten (1990 Ost)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Aspiranten (1990 Ost)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Aspiranten (1990 Ost)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Aspiranten (1990 Ost)","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Aspiranten (1990 Ost)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ungelernter Arbeiter","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","249","0.0342764059554952","0.0290238728680995","0.0395289390428909"
"ungelernter Arbeiter","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"ungelernter Arbeiter","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","484","0.0403036694138605","0.0354610569237932","0.0451462819039279"
"ungelernter Arbeiter","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"ungelernter Arbeiter","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ungelernter Arbeiter","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"angelernter Arbeiter","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","497","0.0747408108280871","0.0671488258003958","0.0823327958557784"
"angelernter Arbeiter","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"angelernter Arbeiter","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","971","0.0992958036609353","0.0919320873751124","0.106659519946758"
"angelernter Arbeiter","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"angelernter Arbeiter","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"angelernter Arbeiter","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"gelernte und Facharbeiter","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","441","0.101131596325916","0.0924272487317807","0.109835943920052"
"gelernte und Facharbeiter","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"gelernte und Facharbeiter","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","551","0.0797603949588611","0.0730894921259115","0.0864312977918106"
"gelernte und Facharbeiter","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"gelernte und Facharbeiter","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"gelernte und Facharbeiter","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Vorarbeiter, Kolonnenführer","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","40","0.00808267988354371","0.00549768217063487","0.0106676775964525"
"Vorarbeiter, Kolonnenführer","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Vorarbeiter, Kolonnenführer","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","102","0.0165760553812384","0.0134322801320094","0.0197198306304674"
"Vorarbeiter, Kolonnenführer","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Vorarbeiter, Kolonnenführer","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Vorarbeiter, Kolonnenführer","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Meister, Polier","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Meister, Polier","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Meister, Polier","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","49","0.00950901455509958","0.00711936879304681","0.0118986603171524"
"Meister, Polier","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Meister, Polier","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Meister, Polier","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"selbständiger Landwirt","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"selbständiger Landwirt","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"selbständiger Landwirt","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","52","0.01016594643872","0.00769595407389863","0.0126359388035414"
"selbständiger Landwirt","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
