"pgstib","year","sex","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","maennlich","97","0.0112058326398673","0.00854125418936977","0.0138704110903648"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","weiblich","2014","0.28467558844118","0.273468303193654","0.295882873688707"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","maennlich","387","0.064456061655435","0.0582399690628027","0.0706721542480674"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","weiblich","335","0.0509113710964482","0.0454521011351643","0.056370641057732"
"NE: arbeitslos gemeldet","1984","maennlich","250","0.0359824781998664","0.0312679146238009","0.0406970417759319"
"NE: arbeitslos gemeldet","1984","weiblich","189","0.0241712256362047","0.0203569687819196","0.0279854824904898"
"NE: Rentner/Rentnerin","1984","maennlich","748","0.187418305966952","0.177539760149964","0.19729685178394"
"NE: Rentner/Rentnerin","1984","weiblich","1028","0.261957946045819","0.251037757628616","0.272878134463021"
"NE: Wehr- und Zivildienst","1984","maennlich","34","0.00710172329883187","0.00497609291481331","0.00922735368285042"
"NE: Wehr- und Zivildienst","1984","weiblich","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","maennlich","253","0.0385136148376808","0.0336424569308753","0.0433847727444862"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","weiblich","159","0.0248484971872235","0.0209825145398626","0.0287144798345845"
"Auszubildende, gewerblich-technisch (ab 2000)","1984","maennlich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","weiblich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","maennlich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","weiblich","","","",""
"Volontäre, Praktikanten","1984","maennlich","","","",""
"Volontäre, Praktikanten","1984","weiblich","","","",""
"Aspiranten (1990 Ost)","1984","maennlich","","","",""
"Aspiranten (1990 Ost)","1984","weiblich","","","",""
"ungelernter Arbeiter","1984","maennlich","348","0.0284711117553439","0.0242610974676157","0.0326811260430721"
"ungelernter Arbeiter","1984","weiblich","391","0.035420145806721","0.030829560577212","0.0400107310362299"
"angelernter Arbeiter","1984","maennlich","945","0.097406589570375","0.0899008456084679","0.104912333532282"
"angelernter Arbeiter","1984","weiblich","527","0.0536270677663641","0.0480321079748708","0.0592220275578575"
"gelernte und Facharbeiter","1984","maennlich","916","0.143583269854136","0.134706642499953","0.152459897208319"
"gelernte und Facharbeiter","1984","weiblich","78","0.0108576506264033","0.00828387242276038","0.0134314288300461"
"Vorarbeiter, Kolonnenführer","1984","maennlich","137","0.0226247643181151","0.0188605339448459","0.0263889946913843"
"Vorarbeiter, Kolonnenführer","1984","weiblich","","","",""
"Meister, Polier","1984","maennlich","64","0.0128478738789168","0.00999711049286239","0.0156986372649713"
"Meister, Polier","1984","weiblich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","maennlich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","weiblich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","maennlich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","weiblich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","maennlich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","weiblich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","maennlich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","weiblich","","","",""
"selbständiger Landwirt","1984","maennlich","49","0.0102976649639798","0.00774216915115111","0.0128531607768084"
"selbständiger Landwirt","1984","weiblich","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","maennlich","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","weiblich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","maennlich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","weiblich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","maennlich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","weiblich","","","",""
"Freiberufler, Akademiker","1984","maennlich","71","0.0132292460467691","0.0103370403388201","0.0161214517547181"
"Freiberufler, Akademiker","1984","weiblich","33","0.00552094981793032","0.00368069269140471","0.00736120694445592"
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","maennlich","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","weiblich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","maennlich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","weiblich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","maennlich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","weiblich","","","",""
"sonstige selbständiger","1984","maennlich","234","0.0412703945844848","0.0362351464509496","0.0463056427180201"
"sonstige selbständiger","1984","weiblich","92","0.0145641926341976","0.0115888898693451","0.0175394953990502"
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1984","maennlich","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1984","weiblich","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1984","maennlich","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1984","weiblich","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1984","maennlich","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1984","weiblich","","","",""
"mithelfende Familienangehörige","1984","maennlich","","","",""
"mithelfende Familienangehörige","1984","weiblich","51","0.00721937592527","0.00511680689225386","0.00932194495828613"
"Angestellte, Industrie- und Werkmeister","1984","maennlich","52","0.0105285714208074","0.00794488471723988","0.0131122581243749"
"Angestellte, Industrie- und Werkmeister","1984","weiblich","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1984","maennlich","112","0.0199786236580202","0.0164365788188886","0.0235206684971519"
"Angestellte, einfache Tätigkeit (bis 1990)","1984","weiblich","482","0.0785733968984475","0.0718908513586664","0.0852559424382286"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1984","maennlich","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1984","weiblich","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1984","maennlich","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1984","weiblich","","","",""
"Angestellte, qualifizierte Tätigkeit","1984","maennlich","486","0.0966628735723518","0.0891827585175719","0.104142988627132"
"Angestellte, qualifizierte Tätigkeit","1984","weiblich","609","0.106219688195947","0.0985673934052289","0.113871982986665"
