"pgstib","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(noch) kein Abschluss","direkter Migrationshintergrund","287","0.27727812245653","0.250380079669643","0.304176165243418"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Hauptschulabschluss","kein Migrationshintergrund","1076","0.182949040578391","0.172690146389331","0.193207934767451"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Hauptschulabschluss","direkter Migrationshintergrund","300","0.171668794967458","0.153991123134787","0.189346466800129"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Realschulabschluss","kein Migrationshintergrund","232","0.125468879014328","0.109805258435684","0.141132499592971"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(Fach-)Abitur","kein Migrationshintergrund","44","0.0722189462572644","0.051278913156778","0.0931589793577508"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(Fach-)Abitur","direkter Migrationshintergrund","43","0.17608835250697","0.13082264890848","0.22135405610546"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","AkademikerInnen","kein Migrationshintergrund","39","0.0530342942713745","0.0360144140593501","0.070054174483399"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","(noch) kein Abschluss","kein Migrationshintergrund","166","0.703518244541115","0.644750263947548","0.762286225134681"
