"pgstib","year","sampreg","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Westdeutschland, alte Bundeslaender","2111","0.15617201756291","0.149736436617761","0.162607598508058"
"nicht erwerbstätig (NE): keine weitere Angaben","1984","Ostdeutschland, neue Bundeslaender","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Westdeutschland, alte Bundeslaender","722","0.0572760277590138","0.0531565903744439","0.0613954651435836"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos gemeldet","1984","Westdeutschland, alte Bundeslaender","439","0.029721338944085","0.0267108182942049","0.0327318595939652"
"NE: arbeitslos gemeldet","1984","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Rentner/Rentnerin","1984","Westdeutschland, alte Bundeslaender","1776","0.22693173302256","0.219506403641477","0.234357062403643"
"NE: Rentner/Rentnerin","1984","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Wehr- und Zivildienst","1984","Westdeutschland, alte Bundeslaender","35","0.00341799580711971","0.00238332673326491","0.0044526648809745"
"NE: Wehr- und Zivildienst","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","412","0.0312697425984757","0.0281842623499301","0.0343552228470213"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Westdeutschland, alte Bundeslaender","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Westdeutschland, alte Bundeslaender","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Volontäre, Praktikanten","1984","Westdeutschland, alte Bundeslaender","","","",""
"Volontäre, Praktikanten","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Aspiranten (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","","","",""
"Aspiranten (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"ungelernter Arbeiter","1984","Westdeutschland, alte Bundeslaender","739","0.0321547913358396","0.0290273801500878","0.0352822025215914"
"ungelernter Arbeiter","1984","Ostdeutschland, neue Bundeslaender","","","",""
"angelernter Arbeiter","1984","Westdeutschland, alte Bundeslaender","1472","0.0741990862942407","0.0695526791085291","0.0788454934799524"
"angelernter Arbeiter","1984","Ostdeutschland, neue Bundeslaender","","","",""
"gelernte und Facharbeiter","1984","Westdeutschland, alte Bundeslaender","994","0.0732254834707234","0.0686072344077571","0.0778437325336896"
"gelernte und Facharbeiter","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Vorarbeiter, Kolonnenführer","1984","Westdeutschland, alte Bundeslaender","142","0.0108610481442522","0.00902356354903115","0.0126985327394733"
"Vorarbeiter, Kolonnenführer","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Meister, Polier","1984","Westdeutschland, alte Bundeslaender","66","0.00626820981710769","0.00486905574916742","0.00766736388504796"
"Meister, Polier","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"selbständiger Landwirt","1984","Westdeutschland, alte Bundeslaender","65","0.00619624823359296","0.00480509840951995","0.00758739805766597"
"selbständiger Landwirt","1984","Ostdeutschland, neue Bundeslaender","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Freiberufler, Akademiker","1984","Westdeutschland, alte Bundeslaender","104","0.00914308195422754","0.00745570946396661","0.0108304544444885"
"Freiberufler, Akademiker","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"sonstige selbständiger","1984","Westdeutschland, alte Bundeslaender","326","0.0271134498825989","0.0242341780081005","0.0299927217570972"
"sonstige selbständiger","1984","Ostdeutschland, neue Bundeslaender","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1984","Westdeutschland, alte Bundeslaender","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1984","Westdeutschland, alte Bundeslaender","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1984","Westdeutschland, alte Bundeslaender","32","0.00285929715883562","0.00191269595233796","0.00380589836533328"
"sonstige selbständiger, 10+ Mitarbeiter","1984","Ostdeutschland, neue Bundeslaender","","","",""
"mithelfende Familienangehörige","1984","Westdeutschland, alte Bundeslaender","75","0.0053558915874098","0.00406196710225645","0.00664981607256316"
"mithelfende Familienangehörige","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Angestellte, Industrie- und Werkmeister","1984","Westdeutschland, alte Bundeslaender","59","0.0055387258399346","0.00422302225717182","0.00685442942269738"
"Angestellte, Industrie- und Werkmeister","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1984","Westdeutschland, alte Bundeslaender","594","0.0510396845355051","0.0471381343159319","0.0549412347550783"
"Angestellte, einfache Tätigkeit (bis 1990)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1984","Westdeutschland, alte Bundeslaender","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1984","Westdeutschland, alte Bundeslaender","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Angestellte, qualifizierte Tätigkeit","1984","Westdeutschland, alte Bundeslaender","1095","0.10172893636946","0.0963699192807909","0.107087953458129"
"Angestellte, qualifizierte Tätigkeit","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1984","Westdeutschland, alte Bundeslaender","387","0.035453146845853","0.0321748502394961","0.0387314434522099"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Angestellte, umfassende Führungsaufgaben","1984","Westdeutschland, alte Bundeslaender","61","0.00597879930997191","0.00461212825464148","0.00734547036530234"
"Angestellte, umfassende Führungsaufgaben","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1984","Westdeutschland, alte Bundeslaender","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte, einfacher Dienst","1984","Westdeutschland, alte Bundeslaender","45","0.00409765396602015","0.00296516180838147","0.00523014612365883"
"Beamte, einfacher Dienst","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte, mittlerer Dienst","1984","Westdeutschland, alte Bundeslaender","164","0.0154065002258968","0.0132230682579204","0.0175899321938732"
"Beamte, mittlerer Dienst","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte, gehobener Dienst","1984","Westdeutschland, alte Bundeslaender","164","0.0154152093202832","0.0132311699660192","0.0175992486745472"
"Beamte, gehobener Dienst","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte, höherer Dienst","1984","Westdeutschland, alte Bundeslaender","119","0.0108479157456093","0.00901153017317619","0.0126843013180425"
"Beamte, höherer Dienst","1984","Ostdeutschland, neue Bundeslaender","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1985","Westdeutschland, alte Bundeslaender","1728","0.13615194061031","0.129763064064741","0.142540817155879"
"nicht erwerbstätig (NE): keine weitere Angaben","1985","Ostdeutschland, neue Bundeslaender","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1985","Westdeutschland, alte Bundeslaender","697","0.059896430004521","0.0554758198471746","0.0643170401618673"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1985","Ostdeutschland, neue Bundeslaender","","","",""
"NE: arbeitslos gemeldet","1985","Westdeutschland, alte Bundeslaender","509","0.039450277801605","0.0358238515028577","0.0430767041003523"
"NE: arbeitslos gemeldet","1985","Ostdeutschland, neue Bundeslaender","","","",""
"NE: Rentner/Rentnerin","1985","Westdeutschland, alte Bundeslaender","1602","0.231171205245137","0.223317482127743","0.239024928362531"
"NE: Rentner/Rentnerin","1985","Ostdeutschland, neue Bundeslaender","","","",""
