"year","bildungsniveau","bula_h","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","(Fach-)Abitur","Baden-Württemberg","5.47","5.5","296","5.36","5.58"
"2005","(Fach-)Abitur","Bayern","5.47","5.17","277","5.36","5.58"
"2005","(Fach-)Abitur","Berlin","5.28","5.17","112","5.09","5.47"
"2005","(Fach-)Abitur","Brandenburg","5.47","5.17","77","5.25","5.69"
"2005","(Fach-)Abitur","Bremen","","","","",""
"2005","(Fach-)Abitur","Hamburg","5.57","5.5","49","5.36","5.78"
"2005","(Fach-)Abitur","Hessen","5.46","5.17","182","5.32","5.6"
"2005","(Fach-)Abitur","Mecklenburg-Vorpommern","","","","",""
"2005","(Fach-)Abitur","Niedersachsen","5.47","5.17","171","5.33","5.61"
"2005","(Fach-)Abitur","Nordrhein-Westfalen","5.4","5.17","632","5.33","5.47"
"2005","(Fach-)Abitur","Rheinland-Pfalz,Saarland","5.37","5.17","127","5.21","5.53"
"2005","(Fach-)Abitur","Sachsen","5.23","5.17","121","5.05","5.41"
"2005","(Fach-)Abitur","Sachsen-Anhalt","5.41","5.5","70","5.21","5.61"
"2005","(Fach-)Abitur","Schleswig-Holstein","5.55","5.5","75","5.33","5.77"
"2005","(Fach-)Abitur","Thüringen","5.26","5.17","66","5.02","5.5"
"2005","(noch) kein Abschluss","Baden-Württemberg","5.22","5.17","155","5.07","5.37"
"2005","(noch) kein Abschluss","Bayern","5.25","5.17","110","5.05","5.45"
"2005","(noch) kein Abschluss","Berlin","5.28","5.17","35","4.88","5.68"
"2005","(noch) kein Abschluss","Brandenburg","5.58","5.17","30","5.25","5.91"
"2005","(noch) kein Abschluss","Bremen","","","","",""
"2005","(noch) kein Abschluss","Hamburg","","","","",""
"2005","(noch) kein Abschluss","Hessen","5.5","5.5","56","5.2","5.8"
"2005","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","","",""
"2005","(noch) kein Abschluss","Niedersachsen","5.7","5.5","83","5.48","5.92"
"2005","(noch) kein Abschluss","Nordrhein-Westfalen","5.58","5.5","215","5.44","5.72"
"2005","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","5.78","5.83","44","5.46","6.1"
"2005","(noch) kein Abschluss","Sachsen","5.48","5.17","43","5.18","5.78"
"2005","(noch) kein Abschluss","Sachsen-Anhalt","5.44","5.5","34","5.14","5.74"
"2005","(noch) kein Abschluss","Schleswig-Holstein","","","","",""
"2005","(noch) kein Abschluss","Thüringen","","","","",""
"2005","AkademikerIn","Baden-Württemberg","5.4","5.17","445","5.32","5.48"
"2005","AkademikerIn","Bayern","5.48","5.58","558","5.41","5.55"
"2005","AkademikerIn","Berlin","5.52","5.5","237","5.4","5.64"
"2005","AkademikerIn","Brandenburg","5.49","5.58","248","5.37","5.61"
"2005","AkademikerIn","Bremen","5.66","5.83","32","5.29","6.03"
"2005","AkademikerIn","Hamburg","5.23","5.17","71","5.01","5.45"
"2005","AkademikerIn","Hessen","5.36","5.17","306","5.25","5.47"
"2005","AkademikerIn","Mecklenburg-Vorpommern","5.62","5.5","132","5.46","5.78"
"2005","AkademikerIn","Niedersachsen","5.56","5.58","292","5.45","5.67"
"2005","AkademikerIn","Nordrhein-Westfalen","5.47","5.5","816","5.41","5.53"
"2005","AkademikerIn","Rheinland-Pfalz,Saarland","5.47","5.5","170","5.32","5.62"
"2005","AkademikerIn","Sachsen","5.49","5.5","358","5.4","5.58"
"2005","AkademikerIn","Sachsen-Anhalt","5.51","5.5","223","5.39","5.63"
"2005","AkademikerIn","Schleswig-Holstein","5.36","5.17","105","5.19","5.53"
"2005","AkademikerIn","Thüringen","5.62","5.5","169","5.49","5.75"
"2005","Hauptschule","Baden-Württemberg","5.41","5.5","1030","5.35","5.47"
"2005","Hauptschule","Bayern","5.41","5.17","1252","5.35","5.47"
"2005","Hauptschule","Berlin","5.58","5.5","137","5.41","5.75"
"2005","Hauptschule","Brandenburg","5.64","5.5","208","5.51","5.77"
"2005","Hauptschule","Bremen","5.64","5.83","43","5.27","6.01"
"2005","Hauptschule","Hamburg","5.87","5.83","75","5.65","6.09"
"2005","Hauptschule","Hessen","5.52","5.5","486","5.43","5.61"
"2005","Hauptschule","Mecklenburg-Vorpommern","5.48","5.5","124","5.3","5.66"
"2005","Hauptschule","Niedersachsen","5.56","5.5","682","5.48","5.64"
"2005","Hauptschule","Nordrhein-Westfalen","5.52","5.58","1715","5.47","5.57"
"2005","Hauptschule","Rheinland-Pfalz,Saarland","5.46","5.17","627","5.38","5.54"
"2005","Hauptschule","Sachsen","5.55","5.58","361","5.44","5.66"
"2005","Hauptschule","Sachsen-Anhalt","5.67","5.5","262","5.55","5.79"
"2005","Hauptschule","Schleswig-Holstein","5.41","5.17","259","5.29","5.53"
"2005","Hauptschule","Thüringen","5.49","5.5","274","5.37","5.61"
"2005","Realschule","Baden-Württemberg","5.52","5.5","529","5.44","5.6"
"2005","Realschule","Bayern","5.47","5.58","649","5.4","5.54"
"2005","Realschule","Berlin","5.3","5.17","213","5.16","5.44"
"2005","Realschule","Brandenburg","5.32","5.17","304","5.21","5.43"
