"year","bildungsniveau","migback","mean","median","n","lower_confidence","upper_confidence"
"2005","(Fach-)Abitur","direkter Migrationshintergrund","5.54","5.5","371","5.44","5.64"
"2005","(Fach-)Abitur","indirekter Migrationshintergrund","5.37","5.17","141","5.21","5.53"
"2005","(Fach-)Abitur","kein Migrationshintergrund","5.4","5.17","1779","5.36","5.44"
"2005","(noch) kein Abschluss","direkter Migrationshintergrund","5.69","5.5","219","5.55","5.83"
"2005","(noch) kein Abschluss","indirekter Migrationshintergrund","5.21","4.83","97","5.01","5.41"
"2005","(noch) kein Abschluss","kein Migrationshintergrund","5.36","5.17","585","5.28","5.44"
"2005","AkademikerIn","direkter Migrationshintergrund","5.61","5.5","337","5.51","5.71"
"2005","AkademikerIn","indirekter Migrationshintergrund","5.54","5.5","69","5.33","5.75"
"2005","AkademikerIn","kein Migrationshintergrund","5.45","5.42","3756","5.42","5.48"
"2005","Hauptschule","direkter Migrationshintergrund","5.54","5.58","1180","5.48","5.6"
"2005","Hauptschule","indirekter Migrationshintergrund","5.48","5.5","261","5.36","5.6"
"2005","Hauptschule","kein Migrationshintergrund","5.48","5.58","6094","5.45","5.51"
"2005","Realschule","direkter Migrationshintergrund","5.62","5.5","196","5.49","5.75"
"2005","Realschule","indirekter Migrationshintergrund","5.38","5.17","196","5.25","5.51"
"2005","Realschule","kein Migrationshintergrund","5.45","5.58","4982","5.42","5.48"
"2006","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2006","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
"2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"2006","(noch) kein Abschluss","kein Migrationshintergrund","","","","",""
"2006","AkademikerIn","direkter Migrationshintergrund","","","","",""
"2006","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"2006","AkademikerIn","kein Migrationshintergrund","","","","",""
"2006","Hauptschule","direkter Migrationshintergrund","","","","",""
"2006","Hauptschule","indirekter Migrationshintergrund","","","","",""
"2006","Hauptschule","kein Migrationshintergrund","","","","",""
"2006","Realschule","direkter Migrationshintergrund","","","","",""
"2006","Realschule","indirekter Migrationshintergrund","","","","",""
"2006","Realschule","kein Migrationshintergrund","","","","",""
"2007","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"2007","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"2007","(Fach-)Abitur","kein Migrationshintergrund","","","","",""
"2007","(noch) kein Abschluss","direkter Migrationshintergrund","","","","",""
