"ple0044_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"keinen Tag","1985","kein Migrationshintergrund","Westdeutschland","4789","0.604195308485119","0.593465227454463","0.614925389515776"
"keinen Tag","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"keinen Tag","1985","direkter Migrationshintergrund","Westdeutschland","1730","0.627287149098235","0.609707076472335","0.644867221724135"
"keinen Tag","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"keinen Tag","1985","indirekter Migrationshintergrund","Westdeutschland","92","0.657814385369106","0.579503687902869","0.736125082835344"
"keinen Tag","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1985","kein Migrationshintergrund","Westdeutschland","3190","0.395804691514881","0.385074610484224","0.406534772545538"
"Ja","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1985","direkter Migrationshintergrund","Westdeutschland","1176","0.372712850901765","0.355132778275865","0.390292923527665"
"Ja","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1985","indirekter Migrationshintergrund","Westdeutschland","49","0.342185614630894","0.263874917164656","0.420496312097131"
"Ja","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"keinen Tag","1986","kein Migrationshintergrund","Westdeutschland","2522","0.316371593327281","0.305842280282544","0.326900906372018"
"keinen Tag","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"keinen Tag","1986","direkter Migrationshintergrund","Westdeutschland","983","0.330947400093089","0.313483813095125","0.348410987091054"
"keinen Tag","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"keinen Tag","1986","indirekter Migrationshintergrund","Westdeutschland","56","0.356994072088998","0.280575730575448","0.433412413602549"
"keinen Tag","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1986","kein Migrationshintergrund","Westdeutschland","4972","0.683628406672719","0.673099093627982","0.694157719717456"
"Ja","1986","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1986","direkter Migrationshintergrund","Westdeutschland","1806","0.669052599906911","0.651589012908946","0.686516186904875"
"Ja","1986","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","1986","indirekter Migrationshintergrund","Westdeutschland","95","0.643005927911002","0.566587586397451","0.719424269424552"
"Ja","1986","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"keinen Tag","1987","kein Migrationshintergrund","Westdeutschland","2201","0.282046524658229","0.271723072805356","0.292369976511101"
"keinen Tag","1987","kein Migrationshintergrund","Ostdeutschland","","","",""
"keinen Tag","1987","direkter Migrationshintergrund","Westdeutschland","854","0.290282140384611","0.273400557066197","0.307163723703024"
"keinen Tag","1987","direkter Migrationshintergrund","Ostdeutschland","","","",""
