"ple0044_h","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"keinen Tag","1985","(noch) kein Abschluss","kein Migrationshintergrund","135","0.609258068712808","0.545645999098707","0.672870138326908"
"keinen Tag","1985","(noch) kein Abschluss","direkter Migrationshintergrund","488","0.599964731581221","0.566913406984294","0.633016056178147"
"keinen Tag","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"keinen Tag","1985","Hauptschule","kein Migrationshintergrund","2922","0.603492087796173","0.589735023768948","0.617249151823397"
"keinen Tag","1985","Hauptschule","direkter Migrationshintergrund","878","0.598599126249575","0.57382596845486","0.62337228404429"
"keinen Tag","1985","Hauptschule","indirekter Migrationshintergrund","52","0.669071339495944","0.565959982694758","0.772182696297129"
"keinen Tag","1985","Realschule","kein Migrationshintergrund","967","0.598903257474749","0.575225744642175","0.622580770307322"
"keinen Tag","1985","Realschule","direkter Migrationshintergrund","95","0.71370125823898","0.638282999927498","0.789119516550462"
"keinen Tag","1985","Realschule","indirekter Migrationshintergrund","","","",""
"keinen Tag","1985","(Fach-)Abitur","kein Migrationshintergrund","348","0.631470918054196","0.591227847329451","0.671713988778942"
"keinen Tag","1985","(Fach-)Abitur","direkter Migrationshintergrund","141","0.705638875969615","0.646738827920414","0.764538924018817"
"keinen Tag","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"keinen Tag","1985","AkademikerIn","kein Migrationshintergrund","379","0.590407454070223","0.552338493904214","0.628476414236232"
"keinen Tag","1985","AkademikerIn","direkter Migrationshintergrund","77","0.688026385118135","0.601447253075459","0.774605517160811"
"keinen Tag","1985","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Ja","1985","(noch) kein Abschluss","kein Migrationshintergrund","91","0.390741931287192","0.327129861673092","0.454354000901293"
"Ja","1985","(noch) kein Abschluss","direkter Migrationshintergrund","356","0.400035268418779","0.366983943821853","0.433086593015706"
"Ja","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
