"ple0044_h","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","270","0.75608710120512","0.71215131955242","0.800022882857819"
"Ja","1995","(Fach-)Abitur","2","185","0.664896675376787","0.60890374246083","0.720889608292745"
"Ja","1995","(Fach-)Abitur","3","118","0.689782060678752","0.621246105687054","0.758318015670451"
"Ja","1995","(Fach-)Abitur","4","81","0.681041357848825","0.600299816417869","0.76178289927978"
"Ja","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","51","0.699527778845403","0.597126029736972","0.801929527953835"
"Ja","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","413","0.883259189110112","0.854320893038723","0.9121974851815"
"Ja","1995","(noch) kein Abschluss","2","177","0.860043798378009","0.813560433104845","0.906527163651172"
"Ja","1995","(noch) kein Abschluss","3","78","0.842389594707716","0.769877381021135","0.914901808394296"
"Ja","1995","(noch) kein Abschluss","4","47","0.863857488244447","0.774829083053135","0.952885893435758"
"Ja","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","14","","",""
"Ja","1995","AkademikerIn","1 Einkommensschwächstes Quintil","214","0.668401929453991","0.618724011215645","0.718079847692337"
"Ja","1995","AkademikerIn","2","262","0.588300424446927","0.542574986259364","0.63402586263449"
"Ja","1995","AkademikerIn","3","199","0.574892598938439","0.52410705702066","0.625678140856218"
"Ja","1995","AkademikerIn","4","163","0.538383794593202","0.482251436170032","0.594516153016372"
"Ja","1995","AkademikerIn","5 Einkommensstärkstes Quintil","141","0.622648933085549","0.562076509221494","0.683221356949604"
"Ja","1995","Hauptschule","1 Einkommensschwächstes Quintil","1895","0.814844261784343","0.799429100087361","0.830259423481326"
"Ja","1995","Hauptschule","2","1342","0.777235290708708","0.758176147649232","0.796294433768184"
"Ja","1995","Hauptschule","3","665","0.749936386953669","0.722134287101208","0.77773848680613"
"Ja","1995","Hauptschule","4","383","0.704721019943899","0.666632230459039","0.742809809428759"
"Ja","1995","Hauptschule","5 Einkommensstärkstes Quintil","111","0.691555882025619","0.622733939660602","0.760377824390637"
"Ja","1995","Realschule","1 Einkommensschwächstes Quintil","699","0.696467413465963","0.668749300564862","0.724185526367063"
"Ja","1995","Realschule","2","571","0.668297542914857","0.637554633032995","0.699040452796718"
"Ja","1995","Realschule","3","330","0.649889297332845","0.6094317222781","0.690346872387589"
"Ja","1995","Realschule","4","225","0.639155441037247","0.590287452655477","0.688023429419016"
