"ple0044_h","year","quintil_oecd","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","1177","0.754001949919505","0.733327576418219","0.774676323420791"
"Ja","1995","1 Einkommensschwächstes Quintil","Westdeutschland","2423","0.790014743303242","0.775809324959881","0.804220161646603"
"Ja","1995","2","Ostdeutschland","782","0.687568903655417","0.661246384518824","0.713891422792009"
"Ja","1995","2","Westdeutschland","1817","0.739062190603339","0.722054227684806","0.756070153521872"
"Ja","1995","3","Ostdeutschland","288","0.595752650976899","0.552823449081835","0.638681852871963"
"Ja","1995","3","Westdeutschland","1141","0.715974455730819","0.694228898853867","0.73772001260777"
"Ja","1995","4","Ostdeutschland","105","0.538499058554887","0.469581666902517","0.607416450207257"
"Ja","1995","4","Westdeutschland","816","0.668165458106191","0.641925324194264","0.694405592018118"
"Ja","1995","5 Einkommensstärkstes Quintil","Ostdeutschland","15","","",""
"Ja","1995","5 Einkommensstärkstes Quintil","Westdeutschland","424","0.671931856243121","0.63622030646455","0.707643406021691"
"Nein","1995","1 Einkommensschwächstes Quintil","Ostdeutschland","490","0.245998050080495","0.225323676579209","0.266672423581781"
"Nein","1995","1 Einkommensschwächstes Quintil","Westdeutschland","735","0.209985256696758","0.195779838353397","0.224190675040119"
"Nein","1995","2","Ostdeutschland","409","0.312431096344583","0.286108577207991","0.338753615481176"
"Nein","1995","2","Westdeutschland","744","0.260937809396661","0.243929846478128","0.277945772315194"
"Nein","1995","3","Ostdeutschland","214","0.404247349023101","0.361318147128037","0.447176550918165"
"Nein","1995","3","Westdeutschland","511","0.284025544269181","0.26227998739223","0.305771101146132"
"Nein","1995","4","Ostdeutschland","96","0.461500941445113","0.392583549792743","0.530418333097483"
"Nein","1995","4","Westdeutschland","421","0.331834541893809","0.305594407981882","0.358074675805736"
"Nein","1995","5 Einkommensstärkstes Quintil","Ostdeutschland","26","","",""
"Nein","1995","5 Einkommensstärkstes Quintil","Westdeutschland","240","0.328068143756879","0.292356593978309","0.36377969353545"
"Ja","1996","1 Einkommensschwächstes Quintil","Ostdeutschland","1005","0.753505037202669","0.730945967373851","0.776064107031487"
"Ja","1996","1 Einkommensschwächstes Quintil","Westdeutschland","2182","0.784673892359349","0.769574922995926","0.799772861722771"
"Ja","1996","2","Ostdeutschland","890","0.751357565842867","0.727338901267565","0.77537623041817"
"Ja","1996","2","Westdeutschland","1783","0.755270077138031","0.738342604671276","0.772197549604786"
"Ja","1996","3","Ostdeutschland","377","0.693081981501558","0.655514480541871","0.730649482461244"
"Ja","1996","3","Westdeutschland","1160","0.711436830370521","0.689666749010557","0.733206911730484"
"Ja","1996","4","Ostdeutschland","124","0.563235894205565","0.498428365049709","0.628043423361422"
"Ja","1996","4","Westdeutschland","885","0.684710520649132","0.659385076610959","0.710035964687306"
"Ja","1996","5 Einkommensstärkstes Quintil","Ostdeutschland","33","0.500362005687768","0.376895912292155","0.623828099083382"
"Ja","1996","5 Einkommensstärkstes Quintil","Westdeutschland","457","0.625011658423456","0.590502041746736","0.659521275100176"
"Nein","1996","1 Einkommensschwächstes Quintil","Ostdeutschland","397","0.246494962797331","0.223935892968513","0.269054032626149"
"Nein","1996","1 Einkommensschwächstes Quintil","Westdeutschland","665","0.215326107640651","0.200227138277229","0.230425077004073"
"Nein","1996","2","Ostdeutschland","354","0.248642434157133","0.22462376958183","0.272661098732435"
"Nein","1996","2","Westdeutschland","695","0.244729922861969","0.227802450395214","0.261657395328724"
"Nein","1996","3","Ostdeutschland","202","0.306918018498443","0.269350517538756","0.344485519458129"
"Nein","1996","3","Westdeutschland","504","0.288563169629479","0.266793088269516","0.310333250989442"
"Nein","1996","4","Ostdeutschland","101","0.436764105794435","0.371956576638578","0.501571634950291"
"Nein","1996","4","Westdeutschland","408","0.315289479350868","0.289964035312694","0.340614923389041"
"Nein","1996","5 Einkommensstärkstes Quintil","Ostdeutschland","30","0.499637994312232","0.376171900916618","0.623104087707845"
"Nein","1996","5 Einkommensstärkstes Quintil","Westdeutschland","299","0.374988341576544","0.340478724899824","0.409497958253264"
"Ja","1997","1 Einkommensschwächstes Quintil","Ostdeutschland","959","0.739744841415417","0.716527543118369","0.762962139712464"
"Ja","1997","1 Einkommensschwächstes Quintil","Westdeutschland","2046","0.778880865371895","0.76316600905328","0.794595721690511"
"Ja","1997","2","Ostdeutschland","837","0.749937818043795","0.72536446021218","0.774511175875409"
"Ja","1997","2","Westdeutschland","1802","0.757897158292557","0.741011074473747","0.774783242111366"
"Ja","1997","3","Ostdeutschland","374","0.676169143239319","0.638087043804922","0.714251242673716"
"Ja","1997","3","Westdeutschland","1180","0.708222265734194","0.686575039797764","0.729869491670623"
"Ja","1997","4","Ostdeutschland","151","0.634854707187871","0.575760076069507","0.693949338306235"
"Ja","1997","4","Westdeutschland","855","0.700286414890448","0.675169069992511","0.725403759788384"
"Ja","1997","5 Einkommensstärkstes Quintil","Ostdeutschland","33","0.535335341011747","0.417654347987421","0.653016334036073"
"Ja","1997","5 Einkommensstärkstes Quintil","Westdeutschland","461","0.660791393320237","0.626352800229529","0.695229986410944"
"Nein","1997","1 Einkommensschwächstes Quintil","Ostdeutschland","413","0.260255158584583","0.237037860287536","0.283472456881631"
"Nein","1997","1 Einkommensschwächstes Quintil","Westdeutschland","633","0.221119134628105","0.205404278309489","0.23683399094672"
"Nein","1997","2","Ostdeutschland","356","0.250062181956205","0.225488824124591","0.27463553978782"
"Nein","1997","2","Westdeutschland","670","0.242102841707443","0.225216757888634","0.258988925526252"
"Nein","1997","3","Ostdeutschland","206","0.323830856760681","0.285748757326284","0.361912956195078"
"Nein","1997","3","Westdeutschland","514","0.291777734265806","0.270130508329377","0.313424960202236"
"Nein","1997","4","Ostdeutschland","104","0.365145292812129","0.306050661693765","0.424239923930493"
"Nein","1997","4","Westdeutschland","423","0.299713585109552","0.274596240211616","0.324830930007489"
"Nein","1997","5 Einkommensstärkstes Quintil","Ostdeutschland","36","0.464664658988253","0.346983665963927","0.582345652012578"
"Nein","1997","5 Einkommensstärkstes Quintil","Westdeutschland","265","0.339208606679763","0.304770013589056","0.373647199770471"
"Ja","1998","1 Einkommensschwächstes Quintil","Ostdeutschland","1027","0.744005412906118","0.72171091865644","0.766299907155796"
"Ja","1998","1 Einkommensschwächstes Quintil","Westdeutschland","2168","0.77379264422195","0.758475575600361","0.789109712843539"
"Ja","1998","2","Ostdeutschland","822","0.740139306576269","0.714934389984474","0.765344223168063"
"Ja","1998","2","Westdeutschland","2033","0.762919041135094","0.747086922237679","0.778751160032509"
"Ja","1998","3","Ostdeutschland","410","0.672991886950791","0.63650427785148","0.709479496050102"
"Ja","1998","3","Westdeutschland","1284","0.721556523443619","0.701125819154142","0.741987227733096"
"Ja","1998","4","Ostdeutschland","183","0.56816945823058","0.513813348164366","0.622525568296793"
"Ja","1998","4","Westdeutschland","1036","0.683421085540083","0.66027980366684","0.706562367413326"
"Ja","1998","5 Einkommensstärkstes Quintil","Ostdeutschland","48","0.469574372461973","0.370764691737308","0.568384053186639"
"Ja","1998","5 Einkommensstärkstes Quintil","Westdeutschland","560","0.644774779401542","0.613368131845499","0.676181426957585"
"Nein","1998","1 Einkommensschwächstes Quintil","Ostdeutschland","445","0.255994587093882","0.233700092844204","0.27828908134356"
"Nein","1998","1 Einkommensschwächstes Quintil","Westdeutschland","698","0.22620735577805","0.210890287156461","0.241524424399639"
"Nein","1998","2","Ostdeutschland","341","0.259860693423731","0.234655776831937","0.285065610015526"
"Nein","1998","2","Westdeutschland","739","0.237080958864906","0.221248839967491","0.252913077762321"
"Nein","1998","3","Ostdeutschland","225","0.327008113049209","0.290520503949899","0.36349572214852"
"Nein","1998","3","Westdeutschland","565","0.278443476556381","0.258012772266904","0.298874180845858"
"Nein","1998","4","Ostdeutschland","136","0.43183054176942","0.377474431703207","0.486186651835634"
"Nein","1998","4","Westdeutschland","516","0.316578914459917","0.293437632586674","0.33972019633316"
"Nein","1998","5 Einkommensstärkstes Quintil","Ostdeutschland","50","0.530425627538027","0.431615946813361","0.629235308262692"
"Nein","1998","5 Einkommensstärkstes Quintil","Westdeutschland","332","0.355225220598458","0.323818573042415","0.386631868154501"
"Ja","1999","1 Einkommensschwächstes Quintil","Ostdeutschland","870","0.742290263708902","0.717847639508795","0.766732887909009"
