"ple0044_h","year","migback","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","1985","kein Migrationshintergrund","Städtischer Raum","3553","0.597499989346207","0.585067492373876","0.609932486318538"
"Nein","1985","kein Migrationshintergrund","Ländlicher Raum","1236","0.623401111697675","0.602176519359072","0.644625704036278"
"Nein","1985","direkter Migrationshintergrund","Städtischer Raum","1525","0.62976009139117","0.611033151034367","0.648487031747974"
"Nein","1985","direkter Migrationshintergrund","Ländlicher Raum","205","0.612602250693119","0.561710827063934","0.663493674322304"
"Nein","1985","indirekter Migrationshintergrund","Städtischer Raum","80","0.627956011260995","0.542536458676476","0.713375563845515"
"Nein","1985","indirekter Migrationshintergrund","Ländlicher Raum","12","","",""
"Nein","1985","Migrationshintergrund - n. w. differenzierbar","Städtischer Raum","","","",""
"Nein","1985","Migrationshintergrund - n. w. differenzierbar","Ländlicher Raum","","","",""
"Ja","1985","kein Migrationshintergrund","Städtischer Raum","2424","0.402500010653793","0.390067513681462","0.414932507626124"
"Ja","1985","kein Migrationshintergrund","Ländlicher Raum","766","0.376598888302325","0.355374295963722","0.397823480640928"
"Ja","1985","direkter Migrationshintergrund","Städtischer Raum","1029","0.37023990860883","0.351512968252026","0.388966848965633"
"Ja","1985","direkter Migrationshintergrund","Ländlicher Raum","147","0.387397749306881","0.336506325677696","0.438289172936066"
"Ja","1985","indirekter Migrationshintergrund","Städtischer Raum","43","0.372043988739005","0.286624436154485","0.457463541323524"
"Ja","1985","indirekter Migrationshintergrund","Ländlicher Raum","6","","",""
"Ja","1985","Migrationshintergrund - n. w. differenzierbar","Städtischer Raum","","","",""
"Ja","1985","Migrationshintergrund - n. w. differenzierbar","Ländlicher Raum","","","",""
"Nein","1986","kein Migrationshintergrund","Städtischer Raum","1869","0.311237189447374","0.299157002560882","0.323317376333867"
"Nein","1986","kein Migrationshintergrund","Ländlicher Raum","653","0.331380000510307","0.309936399880911","0.352823601139703"
"Nein","1986","direkter Migrationshintergrund","Städtischer Raum","862","0.329682072125811","0.31099489531972","0.348369248931902"
"Nein","1986","direkter Migrationshintergrund","Ländlicher Raum","121","0.337840578572002","0.288846480730677","0.386834676413328"
"Nein","1986","indirekter Migrationshintergrund","Städtischer Raum","47","0.323966683917921","0.243827176612088","0.404106191223755"
