"ple0044_h","year","migback","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","1995","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","862","0.217178032421594","0.202973851655916","0.231382213187272"
"Nein","1995","kein Migrationshintergrund","2","898","0.272611736804311","0.256303124686714","0.288920348921909"
"Nein","1995","kein Migrationshintergrund","3","596","0.299541387685367","0.278268042372292","0.320814732998442"
"Nein","1995","kein Migrationshintergrund","4","434","0.343682811487022","0.316933548854171","0.370432074119873"
"Nein","1995","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","238","0.343213723056086","0.305841700403158","0.380585745709014"
"Nein","1995","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","303","0.217446414000721","0.195546957785424","0.239345870216017"
"Nein","1995","direkter Migrationshintergrund","2","208","0.25673799827038","0.225221645657934","0.288254350882825"
"Nein","1995","direkter Migrationshintergrund","3","107","0.325792674824961","0.273871643155625","0.377713706494297"
"Nein","1995","direkter Migrationshintergrund","4","67","0.332680119072814","0.263847817034221","0.401512421111408"
"Nein","1995","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","23","","",""
"Nein","1995","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","60","0.312596275060975","0.252026679767323","0.373165870354627"
"Nein","1995","indirekter Migrationshintergrund","2","47","0.382887523604853","0.305098157510938","0.460676889698768"
"Nein","1995","indirekter Migrationshintergrund","3","22","","",""
"Nein","1995","indirekter Migrationshintergrund","4","16","","",""
"Nein","1995","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","5","","",""
"Nein","1995","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"Nein","1995","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"Nein","1995","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"Nein","1995","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","2375","0.782821967578406","0.768617786812728","0.797026148344084"
"Ja","1995","kein Migrationshintergrund","2","1966","0.727388263195689","0.711079651078091","0.743696875313286"
"Ja","1995","kein Migrationshintergrund","3","1185","0.700458612314633","0.679185267001558","0.721731957627708"
"Ja","1995","kein Migrationshintergrund","4","777","0.656317188512978","0.629567925880127","0.683066451145829"
"Ja","1995","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","382","0.656786276943914","0.619414254290986","0.694158299596842"
"Ja","1995","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","1060","0.782553585999279","0.760654129783983","0.804453042214576"
"Ja","1995","direkter Migrationshintergrund","2","530","0.74326200172962","0.711745649117175","0.774778354342066"
"Ja","1995","direkter Migrationshintergrund","3","206","0.674207325175039","0.622286293505703","0.726128356844375"
"Ja","1995","direkter Migrationshintergrund","4","113","0.667319880927186","0.598487578888592","0.736152182965779"
"Ja","1995","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","54","0.710996291940973","0.609747907116092","0.812244676765855"
"Ja","1995","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","165","0.687403724939025","0.626834129645373","0.747973320232677"
"Ja","1995","indirekter Migrationshintergrund","2","103","0.617112476395147","0.539323110301232","0.694901842489062"
"Ja","1995","indirekter Migrationshintergrund","3","38","0.719182937572686","0.605471565606739","0.832894309538634"
"Ja","1995","indirekter Migrationshintergrund","4","31","0.671023057652777","0.536699986243929","0.805346129061624"
"Ja","1995","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","3","","",""
"Ja","1995","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"Ja","1995","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"Ja","1995","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"Ja","1995","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","735","0.221864612604949","0.206512871190901","0.237216354018996"
"Nein","1996","kein Migrationshintergrund","2","805","0.246838062843705","0.230966422779328","0.262709702908082"
"Nein","1996","kein Migrationshintergrund","3","596","0.291525806970403","0.270877928985541","0.312173684955265"
"Nein","1996","kein Migrationshintergrund","4","440","0.326600564494347","0.301008926997202","0.352192201991493"
"Nein","1996","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","298","0.380442816489451","0.345439333198416","0.415446299780487"
"Nein","1996","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","268","0.216757406271028","0.193541238842493","0.239973573699562"
"Nein","1996","direkter Migrationshintergrund","2","205","0.244606652026951","0.21348828395028","0.275725020103622"
"Nein","1996","direkter Migrationshintergrund","3","89","0.313880478148175","0.261367154711845","0.366393801584504"
"Nein","1996","direkter Migrationshintergrund","4","58","0.327501076428999","0.259319889135743","0.395682263722256"
"Nein","1996","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","25","","",""
"Nein","1996","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","59","0.305315452349572","0.245139212957284","0.365491691741861"
"Nein","1996","indirekter Migrationshintergrund","2","39","0.208832558292492","0.144634626295745","0.27303049028924"
"Nein","1996","indirekter Migrationshintergrund","3","21","","",""
"Nein","1996","indirekter Migrationshintergrund","4","11","","",""
"Nein","1996","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","6","","",""
"Nein","1996","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
