"ple0044_h","year","quintil_oecd","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","1 Einkommensschwächstes Quintil","männlich","1520","0.715107197891696","0.696360952590162","0.733853443193229"
"Ja","1995","1 Einkommensschwächstes Quintil","weiblich","2080","0.833924555580546","0.819614391599834","0.848234719561258"
"Ja","1995","2","männlich","1135","0.66243233396613","0.64050746550033","0.68435720243193"
"Ja","1995","2","weiblich","1464","0.785648995461854","0.767504543509296","0.803793447414412"
"Ja","1995","3","männlich","651","0.634286908417419","0.60558917558541","0.662984641249428"
"Ja","1995","3","weiblich","778","0.761267961358439","0.735748304649775","0.786787618067104"
"Ja","1995","4","männlich","425","0.578162072224032","0.542911998495824","0.61341214595224"
"Ja","1995","4","weiblich","496","0.747458185343866","0.714898504466918","0.780017866220814"
"Ja","1995","5 Einkommensstärkstes Quintil","männlich","197","0.574542346133747","0.523959384804548","0.625125307462946"
"Ja","1995","5 Einkommensstärkstes Quintil","weiblich","242","0.759241642126726","0.713662049737265","0.804821234516188"
"Nein","1995","1 Einkommensschwächstes Quintil","männlich","707","0.284892802108305","0.266146556806771","0.303639047409838"
"Nein","1995","1 Einkommensschwächstes Quintil","weiblich","518","0.166075444419454","0.151765280438742","0.180385608400166"
"Nein","1995","2","männlich","652","0.33756766603387","0.31564279756807","0.359492534499671"
"Nein","1995","2","weiblich","501","0.214351004538146","0.196206552585588","0.232495456490704"
"Nein","1995","3","männlich","431","0.365713091582581","0.337015358750572","0.39441082441459"
"Nein","1995","3","weiblich","294","0.238732038641561","0.213212381932896","0.264251695350225"
"Nein","1995","4","männlich","329","0.421837927775968","0.38658785404776","0.457088001504176"
"Nein","1995","4","weiblich","188","0.252541814656134","0.219982133779186","0.285101495533082"
"Nein","1995","5 Einkommensstärkstes Quintil","männlich","170","0.425457653866253","0.374874692537054","0.476040615195452"
"Nein","1995","5 Einkommensstärkstes Quintil","weiblich","96","0.240758357873274","0.195178765483812","0.286337950262735"
"Ja","1996","1 Einkommensschwächstes Quintil","männlich","1329","0.702601354392668","0.682270882335087","0.722931826450249"
"Ja","1996","1 Einkommensschwächstes Quintil","weiblich","1858","0.83466093038151","0.819502051567691","0.849819809195329"
"Ja","1996","2","männlich","1202","0.703939693403655","0.682814791968916","0.725064594838394"
"Ja","1996","2","weiblich","1471","0.800095510999525","0.782243926645041","0.817947095354008"
"Ja","1996","3","männlich","704","0.652777289818627","0.624807636164878","0.680746943472376"
"Ja","1996","3","weiblich","833","0.763319003027322","0.738536589386478","0.788101416668166"
"Ja","1996","4","männlich","471","0.598604609676005","0.564049318022717","0.633159901329292"
"Ja","1996","4","weiblich","538","0.759921538449245","0.729250326911908","0.790592749986581"
"Ja","1996","5 Einkommensstärkstes Quintil","männlich","222","0.530436010509388","0.483590417789606","0.57728160322917"
"Ja","1996","5 Einkommensstärkstes Quintil","weiblich","268","0.725755997563739","0.681076056655915","0.770435938471562"
"Nein","1996","1 Einkommensschwächstes Quintil","männlich","613","0.297398645607332","0.27706817354975","0.317729117664913"
"Nein","1996","1 Einkommensschwächstes Quintil","weiblich","449","0.16533906961849","0.150180190804672","0.180497948432309"
"Nein","1996","2","männlich","592","0.296060306596345","0.274935405161606","0.317185208031084"
"Nein","1996","2","weiblich","457","0.199904489000475","0.182052904645992","0.217756073354959"
"Nein","1996","3","männlich","409","0.347222710181373","0.319253056527625","0.375192363835122"
"Nein","1996","3","weiblich","297","0.236680996972678","0.211898583331834","0.261463410613522"
"Nein","1996","4","männlich","302","0.401395390323995","0.366840098670708","0.435950681977283"
"Nein","1996","4","weiblich","207","0.240078461550755","0.209407250013419","0.270749673088092"
"Nein","1996","5 Einkommensstärkstes Quintil","männlich","214","0.469563989490612","0.42271839677083","0.516409582210394"
"Nein","1996","5 Einkommensstärkstes Quintil","weiblich","115","0.274244002436261","0.229564061528438","0.318923943344085"
