"ple0044_h","year","bula_h","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","1985","Schleswig-Holstein","kein Migrationshintergrund","174","0.570061810602631","0.515216448548146","0.624907172657115"
"Nein","1985","Schleswig-Holstein","direkter Migrationshintergrund","30","0.742868177514673","0.605701196890165","0.88003515813918"
"Nein","1985","Schleswig-Holstein","indirekter Migrationshintergrund","1","","",""
"Nein","1985","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1985","Hamburg","kein Migrationshintergrund","112","0.551138318442691","0.483707020776395","0.618569616108987"
"Nein","1985","Hamburg","direkter Migrationshintergrund","40","0.56242468921724","0.445371799661788","0.679477578772692"
"Nein","1985","Hamburg","indirekter Migrationshintergrund","1","","",""
"Nein","1985","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1985","Niedersachsen","kein Migrationshintergrund","580","0.622541034457302","0.591634447303154","0.65344762161145"
"Nein","1985","Niedersachsen","direkter Migrationshintergrund","101","0.610617856905355","0.533605485527453","0.687630228283257"
"Nein","1985","Niedersachsen","indirekter Migrationshintergrund","5","","",""
"Nein","1985","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1985","Bremen","kein Migrationshintergrund","63","0.695371904408842","0.600285071194882","0.790458737622803"
"Nein","1985","Bremen","direkter Migrationshintergrund","21","","",""
"Nein","1985","Bremen","indirekter Migrationshintergrund","","","",""
"Nein","1985","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1985","Nordrhein-Westfalen","kein Migrationshintergrund","1263","0.597938010180083","0.577061533609159","0.618814486751007"
"Nein","1985","Nordrhein-Westfalen","direkter Migrationshintergrund","497","0.638119788213369","0.60482037185776","0.671419204568979"
"Nein","1985","Nordrhein-Westfalen","indirekter Migrationshintergrund","28","","",""
"Nein","1985","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1985","Hessen","kein Migrationshintergrund","412","0.596155378736941","0.559884563811722","0.632426193662159"
"Nein","1985","Hessen","direkter Migrationshintergrund","220","0.615068116922181","0.568533408658836","0.661602825185526"
"Nein","1985","Hessen","indirekter Migrationshintergrund","7","","",""
"Nein","1985","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1985","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","390","0.61820457977468","0.580387766567439","0.656021392981922"
"Nein","1985","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","69","0.61997645599262","0.536214639636507","0.703738272348733"
"Nein","1985","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","7","","",""
"Nein","1985","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1985","Baden-Württemberg","kein Migrationshintergrund","767","0.634087411600758","0.607080449868156","0.661094373333359"
"Nein","1985","Baden-Württemberg","direkter Migrationshintergrund","471","0.617526087054849","0.583528990666759","0.651523183442939"
"Nein","1985","Baden-Württemberg","indirekter Migrationshintergrund","18","","",""
"Nein","1985","Baden-Württemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1985","Bayern","kein Migrationshintergrund","891","0.600508922304555","0.575597522115121","0.625420322493989"
"Nein","1985","Bayern","direkter Migrationshintergrund","225","0.634724893020698","0.586439117235187","0.683010668806209"
"Nein","1985","Bayern","indirekter Migrationshintergrund","21","","",""
"Nein","1985","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1985","Saarland","kein Migrationshintergrund","","","",""
"Nein","1985","Saarland","direkter Migrationshintergrund","","","",""
"Nein","1985","Saarland","indirekter Migrationshintergrund","","","",""
"Nein","1985","Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1985","Berlin","kein Migrationshintergrund","137","0.518400378160522","0.457548507651373","0.579252248669672"
"Nein","1985","Berlin","direkter Migrationshintergrund","56","0.595190112434673","0.49993212209775","0.690448102771597"
"Nein","1985","Berlin","indirekter Migrationshintergrund","4","","",""
"Nein","1985","Berlin","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1985","Brandenburg","kein Migrationshintergrund","","","",""
"Nein","1985","Brandenburg","direkter Migrationshintergrund","","","",""
"Nein","1985","Brandenburg","indirekter Migrationshintergrund","","","",""
"Nein","1985","Brandenburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1985","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"Nein","1985","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Nein","1985","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Nein","1985","Mecklenburg-Vorpommern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1985","Sachsen","kein Migrationshintergrund","","","",""
"Nein","1985","Sachsen","direkter Migrationshintergrund","","","",""
"Nein","1985","Sachsen","indirekter Migrationshintergrund","","","",""
"Nein","1985","Sachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1985","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"Nein","1985","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"Nein","1985","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Nein","1985","Sachsen-Anhalt","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1985","Thüringen","kein Migrationshintergrund","","","",""
"Nein","1985","Thüringen","direkter Migrationshintergrund","","","",""
"Nein","1985","Thüringen","indirekter Migrationshintergrund","","","",""
"Nein","1985","Thüringen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Schleswig-Holstein","kein Migrationshintergrund","139","0.42993818939737","0.375092827342885","0.484783551451854"
"Ja","1985","Schleswig-Holstein","direkter Migrationshintergrund","9","","",""
"Ja","1985","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Ja","1985","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Hamburg","kein Migrationshintergrund","97","0.448861681557309","0.381430383891013","0.516292979223605"
"Ja","1985","Hamburg","direkter Migrationshintergrund","29","","",""
"Ja","1985","Hamburg","indirekter Migrationshintergrund","1","","",""
