"ple0044_h","year","bula_h","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","1995","Schleswig-Holstein","1 Einkommensschwächstes Quintil","26","","",""
"Nein","1995","Schleswig-Holstein","2","19","","",""
"Nein","1995","Schleswig-Holstein","3","13","","",""
"Nein","1995","Schleswig-Holstein","4","13","","",""
"Nein","1995","Schleswig-Holstein","5 Einkommensstärkstes Quintil","5","","",""
"Nein","1995","Hamburg","1 Einkommensschwächstes Quintil","7","","",""
"Nein","1995","Hamburg","2","8","","",""
"Nein","1995","Hamburg","3","8","","",""
"Nein","1995","Hamburg","4","9","","",""
"Nein","1995","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Niedersachsen","1 Einkommensschwächstes Quintil","66","0.166935472182174","0.126882051649347","0.206988892715"
"Nein","1995","Niedersachsen","2","78","0.286657710366886","0.233405332373109","0.339910088360662"
"Nein","1995","Niedersachsen","3","50","0.273187077137426","0.206400154639662","0.33997399963519"
"Nein","1995","Niedersachsen","4","58","0.425560287092471","0.346959106014598","0.504161468170343"
"Nein","1995","Niedersachsen","5 Einkommensstärkstes Quintil","27","","",""
"Nein","1995","Bremen","1 Einkommensschwächstes Quintil","5","","",""
"Nein","1995","Bremen","2","7","","",""
"Nein","1995","Bremen","3","","","",""
"Nein","1995","Bremen","4","3","","",""
"Nein","1995","Bremen","5 Einkommensstärkstes Quintil","1","","",""
"Nein","1995","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","219","0.210792805915115","0.184234069892165","0.237351541938064"
"Nein","1995","Nordrhein-Westfalen","2","198","0.262503815791955","0.229162500279189","0.29584513130472"
"Nein","1995","Nordrhein-Westfalen","3","136","0.294808857995651","0.251098572957072","0.338519143034231"
"Nein","1995","Nordrhein-Westfalen","4","112","0.363390538527982","0.30887304896552","0.417908028090444"
"Nein","1995","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","82","0.35703483992948","0.289439235547661","0.424630444311299"
"Nein","1995","Hessen","1 Einkommensschwächstes Quintil","76","0.195077461131003","0.150011311127492","0.240143611134514"
"Nein","1995","Hessen","2","69","0.215417724247485","0.163939327576486","0.266896120918484"
"Nein","1995","Hessen","3","54","0.276578974419588","0.21229588163459","0.340862067204587"
"Nein","1995","Hessen","4","37","0.29591185675112","0.212847674213599","0.378976039288642"
"Nein","1995","Hessen","5 Einkommensstärkstes Quintil","21","","",""
"Nein","1995","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","50","0.195822882646888","0.14633405228037","0.245311713013406"
"Nein","1995","Rheinland-Pfalz,Saarland","2","62","0.260726451950716","0.199728299134093","0.32172460476734"
"Nein","1995","Rheinland-Pfalz,Saarland","3","32","0.238877613758275","0.163214684720041","0.31454054279651"
"Nein","1995","Rheinland-Pfalz,Saarland","4","27","","",""
"Nein","1995","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","5","","",""
