"ple0044_h","year","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"keinen Tag","1985","kein Migrationshintergrund","4789","0.604195308485119","0.593465227454463","0.614925389515776"
"keinen Tag","1985","direkter Migrationshintergrund","1730","","",""
"keinen Tag","1985","indirekter Migrationshintergrund","92","0.657814385369106","0.579503687902869","0.736125082835344"
"keinen Tag","1985","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","kein Migrationshintergrund","3190","0.395804691514881","0.385074610484224","0.406534772545538"
"Ja","1985","direkter Migrationshintergrund","1176","","",""
"Ja","1985","indirekter Migrationshintergrund","49","0.342185614630894","0.263874917164656","0.420496312097131"
"Ja","1985","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1986","kein Migrationshintergrund","2522","","",""
"keinen Tag","1986","direkter Migrationshintergrund","983","0.330947400093089","0.313483813095125","0.348410987091054"
"keinen Tag","1986","indirekter Migrationshintergrund","56","0.356994072088998","0.280575730575448","0.433412413602549"
"keinen Tag","1986","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","kein Migrationshintergrund","4972","0.683628406672719","0.673099093627982","0.694157719717456"
"Ja","1986","direkter Migrationshintergrund","1806","","",""
"Ja","1986","indirekter Migrationshintergrund","95","0.643005927911002","0.566587586397451","0.719424269424552"
"Ja","1986","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1987","kein Migrationshintergrund","2201","","",""
"keinen Tag","1987","direkter Migrationshintergrund","854","0.290282140384611","0.273400557066197","0.307163723703024"
"keinen Tag","1987","indirekter Migrationshintergrund","46","0.264461174718748","0.198548698168013","0.330373651269482"
"keinen Tag","1987","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1987","kein Migrationshintergrund","5098","0.717953475341771","0.707630023488899","0.728276927194644"
"Ja","1987","direkter Migrationshintergrund","1923","","",""
"Ja","1987","indirekter Migrationshintergrund","126","","",""
"Ja","1987","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1988","kein Migrationshintergrund","2169","","",""
"keinen Tag","1988","direkter Migrationshintergrund","783","0.28986587561961","0.27250646754165","0.307225283697571"
"keinen Tag","1988","indirekter Migrationshintergrund","64","0.356351022026886","0.292185053978514","0.420516990075259"
"keinen Tag","1988","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1988","kein Migrationshintergrund","4773","0.707845689410498","0.697148215612003","0.718543163208993"
"Ja","1988","direkter Migrationshintergrund","1841","","",""
"Ja","1988","indirekter Migrationshintergrund","150","","",""
"Ja","1988","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1989","kein Migrationshintergrund","2040","","",""
"keinen Tag","1989","direkter Migrationshintergrund","726","0.261766413607548","0.244750983088944","0.278781844126151"
"keinen Tag","1989","indirekter Migrationshintergrund","69","0.263559056778487","0.209485375622441","0.317632737934534"
"keinen Tag","1989","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1989","kein Migrationshintergrund","4720","0.719077383842369","0.708363278551291","0.729791489133447"
"Ja","1989","direkter Migrationshintergrund","1838","","",""
"Ja","1989","indirekter Migrationshintergrund","186","","",""
"Ja","1989","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1990","kein Migrationshintergrund","","","",""
"keinen Tag","1990","direkter Migrationshintergrund","","","",""
"keinen Tag","1990","indirekter Migrationshintergrund","","","",""
"keinen Tag","1990","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1990","kein Migrationshintergrund","","","",""
"Ja","1990","direkter Migrationshintergrund","","","",""
"Ja","1990","indirekter Migrationshintergrund","","","",""
"Ja","1990","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1991","kein Migrationshintergrund","1879","","",""
"keinen Tag","1991","direkter Migrationshintergrund","708","0.255694670082837","0.23895176945504","0.272437570710633"
"keinen Tag","1991","indirekter Migrationshintergrund","109","","",""
"keinen Tag","1991","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1991","kein Migrationshintergrund","8700","0.791789633842874","0.784052468777575","0.799526798908173"
"Ja","1991","direkter Migrationshintergrund","1900","","",""
"Ja","1991","indirekter Migrationshintergrund","235","","",""
"Ja","1991","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1992","kein Migrationshintergrund","3568","0.303440135958661","0.294547263873245","0.312333008044078"
"keinen Tag","1992","direkter Migrationshintergrund","673","0.273130778249197","0.255675325123554","0.29058623137484"
"keinen Tag","1992","indirekter Migrationshintergrund","103","","",""
"keinen Tag","1992","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1992","kein Migrationshintergrund","6699","0.696559864041339","0.687666991955922","0.705452736126755"
"Ja","1992","direkter Migrationshintergrund","1830","","",""
"Ja","1992","indirekter Migrationshintergrund","295","","",""
"Ja","1992","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1993","kein Migrationshintergrund","","","",""
"keinen Tag","1993","direkter Migrationshintergrund","","","",""
"keinen Tag","1993","indirekter Migrationshintergrund","","","",""
"keinen Tag","1993","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1993","kein Migrationshintergrund","","","",""
"Ja","1993","direkter Migrationshintergrund","","","",""
"Ja","1993","indirekter Migrationshintergrund","","","",""
"Ja","1993","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1994","kein Migrationshintergrund","3082","0.276346822604269","0.267560498841626","0.285133146366912"
"keinen Tag","1994","direkter Migrationshintergrund","626","0.254998833917274","0.237274453626185","0.272723214208362"
"keinen Tag","1994","indirekter Migrationshintergrund","134","","",""
"keinen Tag","1994","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1994","kein Migrationshintergrund","6869","0.723653177395731","0.714866853633088","0.732439501158375"
"Ja","1994","direkter Migrationshintergrund","1697","","",""
"Ja","1994","indirekter Migrationshintergrund","353","0.729595428731772","0.690146821274218","0.769044036189325"
"Ja","1994","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1995","kein Migrationshintergrund","3028","0.27541045896927","0.266526477548409","0.284294440390131"
"keinen Tag","1995","direkter Migrationshintergrund","708","0.256530330550896","0.239968355149506","0.273092305952285"
"keinen Tag","1995","indirekter Migrationshintergrund","150","","",""
"keinen Tag","1995","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1995","kein Migrationshintergrund","6685","0.72458954103073","0.715705559609869","0.733473522451591"
"Ja","1995","direkter Migrationshintergrund","1963","","",""
"Ja","1995","indirekter Migrationshintergrund","340","0.667625316910459","0.625916255425186","0.709334378395731"
"Ja","1995","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1996","kein Migrationshintergrund","2874","","",""
"keinen Tag","1996","direkter Migrationshintergrund","645","0.257247454187476","0.240092187106834","0.274402721268117"
"keinen Tag","1996","indirekter Migrationshintergrund","136","","",""
"keinen Tag","1996","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1996","kein Migrationshintergrund","6665","0.727574201019407","0.71863992370039","0.736508478338423"
"Ja","1996","direkter Migrationshintergrund","1849","","",""
"Ja","1996","indirekter Migrationshintergrund","382","0.759396481905146","0.72258625553582","0.796206708274471"
"Ja","1996","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1997","kein Migrationshintergrund","2859","","",""
"keinen Tag","1997","direkter Migrationshintergrund","622","0.251349476102773","0.233910858329039","0.268788093876507"
"keinen Tag","1997","indirekter Migrationshintergrund","139","","",""
"keinen Tag","1997","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1997","kein Migrationshintergrund","6537","0.730430992616564","0.72145874681626","0.739403238416869"
"Ja","1997","direkter Migrationshintergrund","1755","","",""
"Ja","1997","indirekter Migrationshintergrund","406","0.74024390117317","0.703429296992061","0.77705850535428"
"Ja","1997","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1998","kein Migrationshintergrund","3306","0.274675713826198","0.266248276329169","0.283103151323227"
"keinen Tag","1998","direkter Migrationshintergrund","591","0.258992633954337","0.241022550084102","0.276962717824571"
"keinen Tag","1998","indirekter Migrationshintergrund","150","","",""
"keinen Tag","1998","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1998","kein Migrationshintergrund","7470","0.725324286173802","0.716896848676773","0.733751723670831"
"Ja","1998","direkter Migrationshintergrund","1692","","",""
"Ja","1998","indirekter Migrationshintergrund","409","0.763213444915882","0.727972810929341","0.798454078902423"
"Ja","1998","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1999","kein Migrationshintergrund","3310","0.287637704864939","0.278949265514735","0.296326144215143"
"keinen Tag","1999","direkter Migrationshintergrund","569","0.276406881668552","0.257283851751477","0.295529911585626"
"keinen Tag","1999","indirekter Migrationshintergrund","183","","",""
"keinen Tag","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1999","kein Migrationshintergrund","7117","0.712362295135061","0.703673855784857","0.721050734485265"
"Ja","1999","direkter Migrationshintergrund","1532","","",""
"Ja","1999","indirekter Migrationshintergrund","389","0.703217401781477","0.665779276131844","0.740655527431111"
"Ja","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2000","kein Migrationshintergrund","5807","0.283885963191127","0.277523705406414","0.290248220975841"
"keinen Tag","2000","direkter Migrationshintergrund","869","0.279247855530913","0.263657567049596","0.294838144012231"
"keinen Tag","2000","indirekter Migrationshintergrund","238","","",""
"keinen Tag","2000","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2000","kein Migrationshintergrund","13486","","",""
"Ja","2000","direkter Migrationshintergrund","2312","","",""
"Ja","2000","indirekter Migrationshintergrund","557","0.704760980582367","0.673052726515352","0.736469234649382"
