"ple0044_h","year","quintil_oecd","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","1361","0.758547991011242","0.739274293151888","0.777821688870595"
"Ja","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","2239","0.793771187709969","0.779123721071304","0.808418654348634"
"Ja","1995","2","Ländlicher Raum","909","0.701724870177388","0.67735626256243","0.726093477792347"
"Ja","1995","2","Städtischer Raum","1690","0.739636537234629","0.722072566717027","0.757200507752232"
"Ja","1995","3","Ländlicher Raum","426","0.658550208337315","0.622987435885045","0.694112980789585"
"Ja","1995","3","Städtischer Raum","1003","0.713464045271632","0.690358439280267","0.736569651262998"
"Ja","1995","4","Ländlicher Raum","227","0.588785057248922","0.540382793789833","0.637187320708012"
"Ja","1995","4","Städtischer Raum","694","0.68148014070254","0.653178110761885","0.709782170643194"
"Ja","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","85","0.687046931230342","0.607642406158336","0.766451456302347"
"Ja","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","354","0.656109236214429","0.61725033856042","0.694968133868438"
"Nein","1995","1 Einkommensschwächstes Quintil","Ländlicher Raum","533","0.241452008988758","0.222178311129405","0.260725706848112"
"Nein","1995","1 Einkommensschwächstes Quintil","Städtischer Raum","692","0.206228812290031","0.191581345651366","0.220876278928696"
"Nein","1995","2","Ländlicher Raum","445","0.298275129822612","0.273906522207652","0.322643737437571"
"Nein","1995","2","Städtischer Raum","708","0.260363462765371","0.242799492247768","0.277927433282974"
"Nein","1995","3","Ländlicher Raum","257","0.341449791662685","0.305887019210415","0.377012564114955"
"Nein","1995","3","Städtischer Raum","468","0.286535954728368","0.263430348737002","0.309641560719733"
"Nein","1995","4","Ländlicher Raum","170","0.411214942751078","0.362812679291988","0.459617206210167"
"Nein","1995","4","Städtischer Raum","347","0.31851985929746","0.290217829356806","0.346821889238115"
"Nein","1995","5 Einkommensstärkstes Quintil","Ländlicher Raum","46","0.312953068769658","0.233548543697653","0.392357593841664"
"Nein","1995","5 Einkommensstärkstes Quintil","Städtischer Raum","220","0.343890763785571","0.305031866131562","0.38274966143958"
"Ja","1996","1 Einkommensschwächstes Quintil","Ländlicher Raum","1188","0.765506249390597","0.74487475954311","0.786137739238084"
"Ja","1996","1 Einkommensschwächstes Quintil","Städtischer Raum","1999","0.783553511839198","0.767811421491909","0.799295602186486"
"Ja","1996","2","Ländlicher Raum","1014","0.747282007004888","0.724710869784505","0.769853144225271"
"Ja","1996","2","Städtischer Raum","1659","0.758118061875345","0.740609792471509","0.775626331279181"
"Ja","1996","3","Ländlicher Raum","479","0.683538469907268","0.649845872451936","0.717231067362599"
"Ja","1996","3","Städtischer Raum","1058","0.717668771882524","0.694972352797391","0.740365190967657"
"Ja","1996","4","Ländlicher Raum","253","0.653762088625012","0.606724073037612","0.700800104212411"
"Ja","1996","4","Städtischer Raum","756","0.681303860205039","0.654074925144414","0.708532795265663"
"Ja","1996","5 Einkommensstärkstes Quintil","Ländlicher Raum","108","0.678046655968611","0.608624239554654","0.747469072382569"
"Ja","1996","5 Einkommensstärkstes Quintil","Städtischer Raum","382","0.605255575614524","0.567533495302383","0.642977655926666"
"Nein","1996","1 Einkommensschwächstes Quintil","Ländlicher Raum","432","0.234493750609403","0.213862260761916","0.25512524045689"
"Nein","1996","1 Einkommensschwächstes Quintil","Städtischer Raum","630","0.216446488160802","0.200704397813514","0.232188578508091"
"Nein","1996","2","Ländlicher Raum","410","0.252717992995112","0.230146855774729","0.275289130215495"
"Nein","1996","2","Städtischer Raum","639","0.241881938124655","0.224373668720819","0.259390207528491"
"Nein","1996","3","Ländlicher Raum","253","0.316461530092732","0.282768932637401","0.350154127548064"
"Nein","1996","3","Städtischer Raum","453","0.282331228117476","0.259634809032343","0.305027647202609"
"Nein","1996","4","Ländlicher Raum","140","0.346237911374988","0.299199895787589","0.393275926962388"
"Nein","1996","4","Städtischer Raum","369","0.318696139794962","0.291467204734337","0.345925074855586"
"Nein","1996","5 Einkommensstärkstes Quintil","Ländlicher Raum","66","0.321953344031389","0.252530927617431","0.391375760445346"
"Nein","1996","5 Einkommensstärkstes Quintil","Städtischer Raum","263","0.394744424385476","0.357022344073334","0.432466504697617"
"Ja","1997","1 Einkommensschwächstes Quintil","Ländlicher Raum","1124","0.734940423868022","0.713122187745643","0.756758659990401"
"Ja","1997","1 Einkommensschwächstes Quintil","Städtischer Raum","1881","0.789136907108993","0.773079097975504","0.805194716242481"
"Ja","1997","2","Ländlicher Raum","964","0.720134535316421","0.696626815936461","0.743642254696381"
"Ja","1997","2","Städtischer Raum","1675","0.7753303732938","0.758138410585603","0.792522336001997"
"Ja","1997","3","Ländlicher Raum","475","0.687309302840097","0.653088741913446","0.721529863766748"
"Ja","1997","3","Städtischer Raum","1079","0.708732362899945","0.686250936246428","0.731213789553462"
"Ja","1997","4","Ländlicher Raum","281","0.686287743270171","0.643464585898179","0.729110900642163"
"Ja","1997","4","Städtischer Raum","725","0.696676586800899","0.669285892840346","0.724067280761453"
"Ja","1997","5 Einkommensstärkstes Quintil","Ländlicher Raum","96","0.641965979007045","0.566733747051757","0.717198210962333"
"Ja","1997","5 Einkommensstärkstes Quintil","Städtischer Raum","397","0.656354761904844","0.619502662241799","0.69320686156789"
"Nein","1997","1 Einkommensschwächstes Quintil","Ländlicher Raum","448","0.265059576131978","0.243241340009599","0.286877812254357"
"Nein","1997","1 Einkommensschwächstes Quintil","Städtischer Raum","598","0.210863092891007","0.194805283757519","0.226920902024495"
"Nein","1997","2","Ländlicher Raum","437","0.279865464683579","0.256357745303619","0.303373184063539"
"Nein","1997","2","Städtischer Raum","589","0.2246696267062","0.207477663998003","0.241861589414397"
"Nein","1997","3","Ländlicher Raum","230","0.312690697159903","0.278470136233252","0.346911258086554"
"Nein","1997","3","Städtischer Raum","490","0.291267637100055","0.268786210446538","0.313749063753572"
"Nein","1997","4","Ländlicher Raum","170","0.313712256729829","0.270889099357837","0.356535414101821"
"Nein","1997","4","Städtischer Raum","357","0.3033234131991","0.275932719238547","0.330714107159654"
"Nein","1997","5 Einkommensstärkstes Quintil","Ländlicher Raum","60","0.358034020992955","0.282801789037667","0.433266252948243"
"Nein","1997","5 Einkommensstärkstes Quintil","Städtischer Raum","241","0.343645238095156","0.30679313843211","0.380497337758201"
"Ja","1998","1 Einkommensschwächstes Quintil","Ländlicher Raum","1255","0.763610926740668","0.743693779085777","0.783528074395559"
"Ja","1998","1 Einkommensschwächstes Quintil","Städtischer Raum","1940","0.767814859847179","0.751553993651931","0.784075726042427"
"Ja","1998","2","Ländlicher Raum","1035","0.75208797722157","0.72985503108604","0.774320923357099"
