"ple0044_h","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"keinen Tag","1985","kein Migrationshintergrund","maennlich","2226","0.589272418540844","0.573653045133446","0.604891791948242"
"keinen Tag","1985","kein Migrationshintergrund","weiblich","2563","0.617257569169581","0.602501497586251","0.632013640752911"
"keinen Tag","1985","direkter Migrationshintergrund","maennlich","882","0.623336838096079","0.59912840101862","0.647545275173538"
"keinen Tag","1985","direkter Migrationshintergrund","weiblich","848","0.631394788958949","0.605821000664302","0.656968577253595"
"keinen Tag","1985","indirekter Migrationshintergrund","maennlich","40","0.668926284741017","0.553631520401819","0.784221049080215"
"keinen Tag","1985","indirekter Migrationshintergrund","weiblich","52","0.65009244279178","0.543563664025","0.756621221558561"
"Ja","1985","kein Migrationshintergrund","maennlich","1585","0.410727581459156","0.395108208051758","0.426346954866554"
"Ja","1985","kein Migrationshintergrund","weiblich","1605","0.382742430830419","0.367986359247089","0.397498502413749"
"Ja","1985","direkter Migrationshintergrund","maennlich","657","0.376663161903921","0.352454724826461","0.40087159898138"
"Ja","1985","direkter Migrationshintergrund","weiblich","519","0.368605211041051","0.343031422746405","0.394178999335698"
"Ja","1985","indirekter Migrationshintergrund","maennlich","","","",""
"Ja","1985","indirekter Migrationshintergrund","weiblich","","","",""
"keinen Tag","1986","kein Migrationshintergrund","maennlich","1494","0.404659653953444","0.388597269617452","0.420722038289437"
"keinen Tag","1986","kein Migrationshintergrund","weiblich","1028","0.238870787615638","0.225500612314603","0.252240962916673"
"keinen Tag","1986","direkter Migrationshintergrund","maennlich","619","0.389808233346214","0.365044641780732","0.414571824911695"
"keinen Tag","1986","direkter Migrationshintergrund","weiblich","364","0.269038840810332","0.24492323605512","0.293154445565543"
"keinen Tag","1986","indirekter Migrationshintergrund","maennlich","","","",""
"keinen Tag","1986","indirekter Migrationshintergrund","weiblich","","","",""
"Ja","1986","kein Migrationshintergrund","maennlich","2093","0.595340346046556","0.579277961710563","0.611402730382548"
"Ja","1986","kein Migrationshintergrund","weiblich","2879","0.761129212384362","0.747759037083327","0.774499387685397"
"Ja","1986","direkter Migrationshintergrund","maennlich","871","0.610191766653787","0.585428175088305","0.634955358219268"
"Ja","1986","direkter Migrationshintergrund","weiblich","935","0.730961159189668","0.706845554434457","0.75507676394488"
"Ja","1986","indirekter Migrationshintergrund","maennlich","44","0.655612578490946","0.545856363466656","0.765368793515236"
"Ja","1986","indirekter Migrationshintergrund","weiblich","51","0.633731282679385","0.527491534662952","0.739971030695819"
"keinen Tag","1987","kein Migrationshintergrund","maennlich","1378","0.380393507955495","0.364293602483631","0.39649341342736"
"keinen Tag","1987","kein Migrationshintergrund","weiblich","823","0.196179676033577","0.183563719124636","0.208795632942517"
"keinen Tag","1987","direkter Migrationshintergrund","maennlich","542","0.357883544461096","0.333427699240427","0.382339389681764"
"keinen Tag","1987","direkter Migrationshintergrund","weiblich","312","0.219868749814789","0.197363956238238","0.24237354339134"
"keinen Tag","1987","indirekter Migrationshintergrund","maennlich","","","",""
"keinen Tag","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Ja","1987","kein Migrationshintergrund","maennlich","2115","0.619606492044505","0.60350658657264","0.635706397516369"
"Ja","1987","kein Migrationshintergrund","weiblich","2983","0.803820323966423","0.791204367057483","0.816436280875364"
"Ja","1987","direkter Migrationshintergrund","maennlich","934","0.642116455538904","0.617660610318236","0.666572300759573"
"Ja","1987","direkter Migrationshintergrund","weiblich","989","0.780131250185211","0.75762645660866","0.802636043761762"
"Ja","1987","indirekter Migrationshintergrund","maennlich","54","0.742347723812526","0.646512804861079","0.838182642763972"
"Ja","1987","indirekter Migrationshintergrund","weiblich","72","0.730864622176361","0.640237530718028","0.821491713634693"
"keinen Tag","1988","kein Migrationshintergrund","maennlich","1337","0.383187923506195","0.366715122068313","0.399660724944078"
"keinen Tag","1988","kein Migrationshintergrund","weiblich","832","0.210897016995898","0.197563635341165","0.224230398650631"
"keinen Tag","1988","direkter Migrationshintergrund","maennlich","493","0.350700052970985","0.32555065458896","0.37584945135301"
"keinen Tag","1988","direkter Migrationshintergrund","weiblich","290","0.226187161329933","0.202910850887071","0.249463471772796"
"keinen Tag","1988","indirekter Migrationshintergrund","maennlich","34","0.326783100195185","0.235759228505744","0.417806971884627"
"keinen Tag","1988","indirekter Migrationshintergrund","weiblich","30","0.380338410490197","0.29042976360863","0.470247057371763"
"Ja","1988","kein Migrationshintergrund","maennlich","2009","0.616812076493805","0.600339275055922","0.633284877931687"
"Ja","1988","kein Migrationshintergrund","weiblich","2764","0.789102983004102","0.775769601349369","0.802436364658835"
"Ja","1988","direkter Migrationshintergrund","maennlich","890","0.649299947029015","0.62415054864699","0.67444934541104"
"Ja","1988","direkter Migrationshintergrund","weiblich","951","0.773812838670066","0.750536528227204","0.797089149112929"
"Ja","1988","indirekter Migrationshintergrund","maennlich","68","0.673216899804814","0.582193028115373","0.764240771494256"
"Ja","1988","indirekter Migrationshintergrund","weiblich","82","0.619661589509803","0.529752942628237","0.70957023639137"
"keinen Tag","1989","kein Migrationshintergrund","maennlich","1220","0.356308027572397","0.339888565791647","0.372727489353146"
"keinen Tag","1989","kein Migrationshintergrund","weiblich","820","0.213107622749695","0.199525484871359","0.226689760628032"
"keinen Tag","1989","direkter Migrationshintergrund","maennlich","467","0.324109680126861","0.298965170077146","0.349254190176576"
"keinen Tag","1989","direkter Migrationshintergrund","weiblich","259","0.199237632547816","0.176942807615487","0.221532457480145"
"keinen Tag","1989","indirekter Migrationshintergrund","maennlich","37","0.249886479006336","0.172423830143374","0.327349127869298"
"keinen Tag","1989","indirekter Migrationshintergrund","weiblich","32","0.275057546223216","0.199731572280541","0.35038352016589"
"Ja","1989","kein Migrationshintergrund","maennlich","2048","0.643691972427603","0.627272510646854","0.660111434208353"
"Ja","1989","kein Migrationshintergrund","weiblich","2672","0.786892377250305","0.773310239371968","0.800474515128641"
"Ja","1989","direkter Migrationshintergrund","maennlich","864","0.675890319873139","0.650745809823424","0.701034829922854"
"Ja","1989","direkter Migrationshintergrund","weiblich","974","0.800762367452184","0.778467542519855","0.823057192384513"
"Ja","1989","indirekter Migrationshintergrund","maennlich","83","0.750113520993664","0.672650872130702","0.827576169856626"
"Ja","1989","indirekter Migrationshintergrund","weiblich","103","0.724942453776784","0.64961647983411","0.800268427719459"
"keinen Tag","1990","kein Migrationshintergrund","maennlich","","","",""
"keinen Tag","1990","kein Migrationshintergrund","weiblich","","","",""
"keinen Tag","1990","direkter Migrationshintergrund","maennlich","","","",""
"keinen Tag","1990","direkter Migrationshintergrund","weiblich","","","",""
"keinen Tag","1990","indirekter Migrationshintergrund","maennlich","","","",""
"keinen Tag","1990","indirekter Migrationshintergrund","weiblich","","","",""
"Ja","1990","kein Migrationshintergrund","maennlich","","","",""
"Ja","1990","kein Migrationshintergrund","weiblich","","","",""
"Ja","1990","direkter Migrationshintergrund","maennlich","","","",""
"Ja","1990","direkter Migrationshintergrund","weiblich","","","",""
"Ja","1990","indirekter Migrationshintergrund","maennlich","","","",""
"Ja","1990","indirekter Migrationshintergrund","weiblich","","","",""
"keinen Tag","1991","kein Migrationshintergrund","maennlich","1109","0.262585124713033","0.250469002485189","0.274701246940877"
"keinen Tag","1991","kein Migrationshintergrund","weiblich","770","0.15944062493432","0.149776174151549","0.169105075717091"
"keinen Tag","1991","direkter Migrationshintergrund","maennlich","433","0.321231560304195","0.296387184421594","0.346075936186796"
"keinen Tag","1991","direkter Migrationshintergrund","weiblich","275","0.189424496935863","0.167710776364419","0.211138217507306"
"keinen Tag","1991","indirekter Migrationshintergrund","maennlich","55","0.338121541681173","0.267008513261149","0.409234570101198"
"keinen Tag","1991","indirekter Migrationshintergrund","weiblich","54","0.301289723852101","0.23311644349377","0.369463004210432"
"Ja","1991","kein Migrationshintergrund","maennlich","3958","0.737414875286967","0.725298753059123","0.749530997514811"
"Ja","1991","kein Migrationshintergrund","weiblich","4742","0.84055937506568","0.830894924282909","0.850223825848451"
"Ja","1991","direkter Migrationshintergrund","maennlich","924","0.678768439695805","0.653924063813204","0.703612815578406"
"Ja","1991","direkter Migrationshintergrund","weiblich","976","0.810575503064137","0.788861782492694","0.832289223635581"
"Ja","1991","indirekter Migrationshintergrund","maennlich","115","0.661878458318827","0.590765429898802","0.732991486738852"
"Ja","1991","indirekter Migrationshintergrund","weiblich","120","0.698710276147899","0.630536995789568","0.76688355650623"
"keinen Tag","1992","kein Migrationshintergrund","maennlich","2050","0.379892639478456","0.366298650242043","0.393486628714868"
"keinen Tag","1992","kein Migrationshintergrund","weiblich","1518","0.233814807374333","0.222494353718983","0.245135261029683"
"keinen Tag","1992","direkter Migrationshintergrund","maennlich","418","0.336835214797647","0.3111630748425","0.362507354752794"
"keinen Tag","1992","direkter Migrationshintergrund","weiblich","255","0.207153298214445","0.184233165635082","0.230073430793807"
"keinen Tag","1992","indirekter Migrationshintergrund","maennlich","55","0.277901203781095","0.216579433343595","0.339222974218595"
"keinen Tag","1992","indirekter Migrationshintergrund","weiblich","48","0.233145146933017","0.173491196148081","0.292799097717953"
"Ja","1992","kein Migrationshintergrund","maennlich","2847","0.620107360521544","0.606513371285132","0.633701349757957"
"Ja","1992","kein Migrationshintergrund","weiblich","3852","0.766185192625667","0.754864738970317","0.777505646281017"
"Ja","1992","direkter Migrationshintergrund","maennlich","884","0.663164785202353","0.637492645247206","0.6888369251575"
"Ja","1992","direkter Migrationshintergrund","weiblich","946","0.792846701785555","0.769926569206193","0.815766834364918"
