year,rentown,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Tenant,Very Inexpensive,0.08119,282,3708,0.07240,0.08998
1984,Tenant,Inexpensive,0.25552,937,3708,0.24148,0.26956
1984,Tenant,Reasonable,0.42580,1617,3708,0.40988,0.44171
1984,Tenant,Slightly Expensive,0.14379,653,3708,0.13250,0.15509
1984,Tenant,Too Expensive,0.04504,219,3708,0.03836,0.05171
1985,Tenant,Very Inexpensive,0.11617,337,3374,0.10535,0.12698
1985,Tenant,Inexpensive,0.24617,809,3374,0.23163,0.26071
1985,Tenant,Reasonable,0.43354,1467,3374,0.41682,0.45027
1985,Tenant,Slightly Expensive,0.14988,577,3374,0.13783,0.16192
1985,Tenant,Too Expensive,0.03942,184,3374,0.03286,0.04599
1986,Tenant,Very Inexpensive,0.11248,308,3172,0.10149,0.12348
1986,Tenant,Inexpensive,0.28014,836,3172,0.26451,0.29577
1986,Tenant,Reasonable,0.41259,1337,3172,0.39545,0.42972
1986,Tenant,Slightly Expensive,0.13871,509,3172,0.12668,0.15074
1986,Tenant,Too Expensive,0.04581,182,3172,0.03853,0.05309
1987,Tenant,Very Inexpensive,0.11564,301,3116,0.10441,0.12687
1987,Tenant,Inexpensive,0.27437,847,3116,0.25870,0.29004
1987,Tenant,Reasonable,0.42181,1310,3116,0.40447,0.43915
1987,Tenant,Slightly Expensive,0.13601,498,3116,0.12397,0.14804
1987,Tenant,Too Expensive,0.04067,160,3116,0.03373,0.04760
1988,Tenant,Very Inexpensive,0.11844,311,2985,0.10685,0.13004
1988,Tenant,Inexpensive,0.27390,794,2985,0.25790,0.28991
1988,Tenant,Reasonable,0.41519,1271,2985,0.39751,0.43287
1988,Tenant,Slightly Expensive,0.14371,476,2985,0.13112,0.15629
1988,Tenant,Too Expensive,0.03231,133,2985,0.02597,0.03866
1989,Tenant,Very Inexpensive,0.12697,323,2906,0.11486,0.13908
1989,Tenant,Inexpensive,0.28676,838,2906,0.27032,0.30321
1989,Tenant,Reasonable,0.40709,1166,2906,0.38922,0.42495
1989,Tenant,Slightly Expensive,0.13050,457,2906,0.11825,0.14275
1989,Tenant,Too Expensive,0.03527,122,2906,0.02856,0.04198
1990,Tenant,Very Inexpensive,0.15242,686,4315,0.14169,0.16314
1990,Tenant,Inexpensive,0.31086,1366,4315,0.29705,0.32467
1990,Tenant,Reasonable,0.39122,1683,4315,0.37666,0.40578
