year,quintil_oecd_hh,regtyp,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,Very Inexpensive,0.07498,48,697,0.05541,0.09454
1985,1st Quintile,Urban regions,Inexpensive,0.17251,149,697,0.14444,0.20058
1985,1st Quintile,Urban regions,Reasonable,0.34019,303,697,0.30499,0.37539
1985,1st Quintile,Urban regions,Slightly Expensive,0.14343,147,697,0.11739,0.16947
1985,1st Quintile,Urban regions,Too Expensive,0.03720,50,697,0.02314,0.05126
1985,1st Quintile,Rural regions,Inexpensive,0.15019,33,85,0.07379,0.22658
1985,1st Quintile,Rural regions,Reasonable,0.21321,52,85,0.12562,0.30080
1985,2nd Quintile,Urban regions,Very Inexpensive,0.08802,60,625,0.06579,0.11025
1985,2nd Quintile,Urban regions,Inexpensive,0.19007,169,625,0.15929,0.22086
1985,2nd Quintile,Urban regions,Reasonable,0.29583,266,625,0.26002,0.33164
1985,2nd Quintile,Urban regions,Slightly Expensive,0.09037,92,625,0.06788,0.11287
1985,2nd Quintile,Urban regions,Too Expensive,0.03114,38,625,0.01751,0.04477
1985,2nd Quintile,Rural regions,Reasonable,0.21754,49,49,0.10082,0.33426
1985,3rd Quintile,Urban regions,Very Inexpensive,0.05753,49,598,0.03886,0.07621
1985,3rd Quintile,Urban regions,Inexpensive,0.16765,139,598,0.13768,0.19762
1985,3rd Quintile,Urban regions,Reasonable,0.29859,265,598,0.26188,0.33530
1985,3rd Quintile,Urban regions,Slightly Expensive,0.09417,105,598,0.07075,0.11760
1985,3rd Quintile,Urban regions,Too Expensive,0.02890,40,598,0.01546,0.04234
1985,3rd Quintile,Rural regions,Reasonable,0.16400,37,37,0.04304,0.28496
1985,4th Quintile,Urban regions,Very Inexpensive,0.05116,49,507,0.03196,0.07035
1985,4th Quintile,Urban regions,Inexpensive,0.15082,132,507,0.11964,0.18200
1985,4th Quintile,Urban regions,Reasonable,0.24743,231,507,0.20983,0.28503
1985,4th Quintile,Urban regions,Slightly Expensive,0.09559,95,507,0.06997,0.12120
1985,4th Quintile,Rural regions,Reasonable,0.21658,40,40,0.08730,0.34586
1985,5th Quintile,Urban regions,Very Inexpensive,0.06227,51,402,0.03862,0.08592
1985,5th Quintile,Urban regions,Inexpensive,0.11380,97,402,0.08272,0.14489
1985,5th Quintile,Urban regions,Reasonable,0.22995,190,402,0.18877,0.27114
1985,5th Quintile,Urban regions,Slightly Expensive,0.07350,64,402,0.04796,0.09904
1985,5th Quintile,Rural regions,Reasonable,0.13177,32,32,0.01270,0.25084
1986,1st Quintile,Urban regions,Very Inexpensive,0.07126,44,644,0.05138,0.09115
1986,1st Quintile,Urban regions,Inexpensive,0.18980,146,644,0.15949,0.22011
1986,1st Quintile,Urban regions,Reasonable,0.31365,269,644,0.27779,0.34952
1986,1st Quintile,Urban regions,Slightly Expensive,0.15443,136,644,0.12650,0.18237
1986,1st Quintile,Urban regions,Too Expensive,0.04504,49,644,0.02901,0.06107
1986,1st Quintile,Rural regions,Inexpensive,0.20915,38,86,0.12269,0.29562
