year,hhtyp,sampreg,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,West,Very Inexpensive,0.05774,80,971,0.04306,0.07242
1984,Single-person household,West,Inexpensive,0.18241,248,971,0.15810,0.20671
1984,Single-person household,West,Reasonable,0.32810,420,971,0.29855,0.35765
1984,Single-person household,West,Slightly Expensive,0.11415,162,971,0.09414,0.13416
1984,Single-person household,West,Too Expensive,0.04010,61,971,0.02776,0.05245
1984,Couple without children,West,Very Inexpensive,0.05098,73,806,0.03579,0.06618
1984,Couple without children,West,Inexpensive,0.14682,208,806,0.12237,0.17127
1984,Couple without children,West,Reasonable,0.24971,370,806,0.21981,0.27961
1984,Couple without children,West,Slightly Expensive,0.07280,124,806,0.05486,0.09075
1984,Couple without children,West,Too Expensive,0.01624,31,806,0.00751,0.02497
1984,Single parent,West,Inexpensive,0.19640,69,211,0.14267,0.25013
1984,Single parent,West,Reasonable,0.26863,95,211,0.20868,0.32858
1984,Single parent,West,Slightly Expensive,0.12794,47,211,0.08276,0.17312
1984,Couple with children,West,Very Inexpensive,0.04210,109,1561,0.03213,0.05206
1984,Couple with children,West,Inexpensive,0.13343,391,1561,0.11656,0.15031
1984,Couple with children,West,Reasonable,0.19183,666,1561,0.17229,0.21136
1984,Couple with children,West,Slightly Expensive,0.06412,295,1561,0.05197,0.07628
1984,Couple with children,West,Too Expensive,0.02093,100,1561,0.01383,0.02804
1984,Other Combinations,West,Reasonable,0.27449,37,37,0.12871,0.42027
1985,Single-person household,West,Very Inexpensive,0.08496,94,904,0.06677,0.10314
1985,Single-person household,West,Inexpensive,0.18547,214,904,0.16012,0.21082
1985,Single-person household,West,Reasonable,0.34776,404,904,0.31670,0.37883
1985,Single-person household,West,Slightly Expensive,0.12011,155,904,0.09891,0.14131
1985,Single-person household,West,Too Expensive,0.02290,37,904,0.01315,0.03266
1985,Couple without children,West,Very Inexpensive,0.07230,88,735,0.05356,0.09103
1985,Couple without children,West,Inexpensive,0.14848,195,735,0.12275,0.17420
1985,Couple without children,West,Reasonable,0.25946,352,735,0.22775,0.29117
1985,Couple without children,West,Slightly Expensive,0.06331,100,735,0.04570,0.08093
