year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,,,,,,,,,,,,
1985,0.9772551853224313,0.9303046927981847,1.0242056778466777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11023.0
1986,1.0504060028474784,0.9996478600431996,1.1011641456517571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10582.0
1987,1.157679493323084,1.1028952478232705,1.2124637388228976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10452.0
1988,1.1673479335768115,1.1107793048055417,1.2239165623480814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9968.0
1989,1.2580157473929905,1.1956815589902816,1.3203499357956994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9661.0
1990,0.889288300984942,0.8418601680487628,0.9367164339211212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13878.0
1991,,,,,,,,,,,,
1992,1.5244558260925503,1.4647858504956013,1.5841258016894992,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,13309.0
1993,1.554691564565025,1.491527057293111,1.617856071836939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13101.0
1994,,,,,,,,,,,,
1995,1.61385491955982,1.5492854431304632,1.6784243959891767,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,13284.0
1996,,,,,,,,,,,,
1997,1.6978564014147994,1.6275260715391981,1.7681867312904007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12825.0
1998,,,,,,,,,,,,
1999,1.5846650181761877,1.5181868168545047,1.6511432194978706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13672.0
2000,,,,,,,,,,,,
2001,1.4729084307146825,1.423239588383041,1.5225772730463238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21920.0
2002,,,,,,,,,,,,
2003,1.5965655406874992,1.5430738715979126,1.6500572097770858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22165.0
2004,,,,,,,,,,,,
2005,1.5918230089887575,1.5358874397803794,1.6477585781971356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20698.0
2006,,,,,,,,,,,,
2007,1.6251404496084896,1.567590725200388,1.6826901740165912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20509.0
2008,,,,,,,,,,,,
2009,1.5036120722808468,1.4443662829961652,1.5628578615655284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18017.0
2010,,,,,,,,,,,,
2011,1.525460114999471,1.4779508913208195,1.5729693386781227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28372.0
2012,6.79001652279217,6.644239179631528,6.935793865952812,1.0,6.0,12.0,0.0,24.0,6.0,6.0,7.0,7145.0
2013,1.403681409001625,1.3551582061703296,1.4522046118329204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25681.0
2014,,,,,,,,,,,,
2015,1.526021943114089,1.4742131483513154,1.5778307378768623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25039.0
2016,,,,,,,,,,,,
2017,1.562360007690873,1.5126271299806244,1.6120928854011216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26421.0
2018,,,,,,,,,,,,
2019,1.5614313450594932,1.5106850782672034,1.612177611851783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25724.0
2020,,,,,,,,,,,,
2021,1.851035207823743,1.7841596726253988,1.9179107430220874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18345.0
