"religion","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","16-34 Jahre alt","(noch) kein Abschluss","112","0.38362655478047","0.332827801935886","0.434425307625055"
"katholisch","1990","16-34 Jahre alt","Hauptschulabschluss","715","0.440949983669428","0.417968506302827","0.463931461036029"
"katholisch","1990","16-34 Jahre alt","Realschulabschluss","419","0.281503978119679","0.261424071634401","0.301583884604957"
"katholisch","1990","16-34 Jahre alt","(Fach-)Abitur","190","0.33747058672978","0.299698551112358","0.375242622347201"
"katholisch","1990","16-34 Jahre alt","AkademikerInnen","82","0.236058248319805","0.199558814112588","0.272557682527023"
"katholisch","1990","35-65 Jahre alt","(noch) kein Abschluss","203","0.329305636157378","0.288795404212223","0.369815868102533"
"katholisch","1990","35-65 Jahre alt","Hauptschulabschluss","1368","0.367524507618235","0.352818639981212","0.382230375255258"
"katholisch","1990","35-65 Jahre alt","Realschulabschluss","262","0.313931509235589","0.286072178474652","0.341790839996525"
"katholisch","1990","35-65 Jahre alt","(Fach-)Abitur","65","0.304121173731637","0.244924917864984","0.36331742959829"
"katholisch","1990","35-65 Jahre alt","AkademikerInnen","180","0.244233077525368","0.218417998540926","0.270048156509809"
"katholisch","1990","66 und älter","(noch) kein Abschluss","","","",""
"katholisch","1990","66 und älter","Hauptschulabschluss","359","0.36206602776525","0.333881986996221","0.39025006853428"
"katholisch","1990","66 und älter","Realschulabschluss","56","0.297753777925191","0.23357312494244","0.361934430907942"
"katholisch","1990","66 und älter","(Fach-)Abitur","","","",""
"katholisch","1990","66 und älter","AkademikerInnen","30","0.35433142989176","0.2637027062429","0.44496015354062"
"evangelisch","1990","16-34 Jahre alt","(noch) kein Abschluss","88","0.399822030818994","0.348647938945365","0.450996122692623"
"evangelisch","1990","16-34 Jahre alt","Hauptschulabschluss","472","0.371214406526811","0.348851839831027","0.393576973222596"
"evangelisch","1990","16-34 Jahre alt","Realschulabschluss","601","0.365711526320604","0.344207490854977","0.387215561786231"
"evangelisch","1990","16-34 Jahre alt","(Fach-)Abitur","205","0.434931465565314","0.395330039825313","0.474532891305315"
"evangelisch","1990","16-34 Jahre alt","AkademikerInnen","152","0.371526503590366","0.329994316353722","0.41305869082701"
"evangelisch","1990","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"evangelisch","1990","35-65 Jahre alt","Hauptschulabschluss","1477","0.431825188803069","0.416716714038384","0.446933663567754"
"evangelisch","1990","35-65 Jahre alt","Realschulabschluss","399","0.395733333189636","0.36637812774582","0.425088538633452"
"evangelisch","1990","35-65 Jahre alt","(Fach-)Abitur","54","0.309568146108927","0.250078327915838","0.369057964302016"
"evangelisch","1990","35-65 Jahre alt","AkademikerInnen","317","0.3233011064773","0.295196429006032","0.351405783948567"
"evangelisch","1990","66 und älter","(noch) kein Abschluss","","","",""
"evangelisch","1990","66 und älter","Hauptschulabschluss","569","0.510432450173295","0.481116973892073","0.539747926454517"
"evangelisch","1990","66 und älter","Realschulabschluss","110","0.585553184318314","0.516410161467472","0.654696207169156"
"evangelisch","1990","66 und älter","(Fach-)Abitur","","","",""
"evangelisch","1990","66 und älter","AkademikerInnen","46","0.437942632859008","0.343936727371944","0.531948538346071"
"islamische Religionsgemeinschaft","1990","16-34 Jahre alt","(noch) kein Abschluss","89","0.110030302946518","0.0773398812152416","0.142720724677795"
"islamische Religionsgemeinschaft","1990","16-34 Jahre alt","Hauptschulabschluss","260","0.0506274296835462","0.0404796921544973","0.0607751672125951"
"islamische Religionsgemeinschaft","1990","16-34 Jahre alt","Realschulabschluss","","","",""
"islamische Religionsgemeinschaft","1990","16-34 Jahre alt","(Fach-)Abitur","46","0.0216111150484416","0.00999544711033864","0.0332267829865445"
"islamische Religionsgemeinschaft","1990","16-34 Jahre alt","AkademikerInnen","","","",""
"islamische Religionsgemeinschaft","1990","35-65 Jahre alt","(noch) kein Abschluss","167","0.329810737618618","0.289284718257115","0.370336756980121"
"islamische Religionsgemeinschaft","1990","35-65 Jahre alt","Hauptschulabschluss","170","0.0159363257636025","0.0121166073412204","0.0197560441859846"
"islamische Religionsgemeinschaft","1990","35-65 Jahre alt","Realschulabschluss","","","",""
"islamische Religionsgemeinschaft","1990","35-65 Jahre alt","(Fach-)Abitur","31","0.0709052680454333","0.0378779469334147","0.103932589157452"
"islamische Religionsgemeinschaft","1990","35-65 Jahre alt","AkademikerInnen","","","",""
"islamische Religionsgemeinschaft","1990","66 und älter","(noch) kein Abschluss","","","",""
"islamische Religionsgemeinschaft","1990","66 und älter","Hauptschulabschluss","","","",""
"islamische Religionsgemeinschaft","1990","66 und älter","Realschulabschluss","","","",""
"islamische Religionsgemeinschaft","1990","66 und älter","(Fach-)Abitur","","","",""
"islamische Religionsgemeinschaft","1990","66 und älter","AkademikerInnen","","","",""
"konfessionslos","1990","16-34 Jahre alt","(noch) kein Abschluss","34","0.0648503657594297","0.0391242909390815","0.0905764405797779"
"konfessionslos","1990","16-34 Jahre alt","Hauptschulabschluss","234","0.116005531358234","0.101183010544526","0.130828052171941"
"konfessionslos","1990","16-34 Jahre alt","Realschulabschluss","829","0.325707632256319","0.304783602768731","0.346631661743906"
"konfessionslos","1990","16-34 Jahre alt","(Fach-)Abitur","130","0.183889735250792","0.152943842981755","0.214835627519829"
"konfessionslos","1990","16-34 Jahre alt","AkademikerInnen","265","0.375169148819258","0.33355498135037","0.416783316288146"
"konfessionslos","1990","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"konfessionslos","1990","35-65 Jahre alt","Hauptschulabschluss","877","0.159284818391089","0.148122939990899","0.170446696791279"
"konfessionslos","1990","35-65 Jahre alt","Realschulabschluss","390","0.270803492040689","0.244127602591535","0.297479381489843"
"konfessionslos","1990","35-65 Jahre alt","(Fach-)Abitur","48","0.239821781315291","0.18487957168355","0.294763990947033"
"konfessionslos","1990","35-65 Jahre alt","AkademikerInnen","538","0.407196184956704","0.377674943140323","0.436717426773085"
"konfessionslos","1990","66 und älter","(noch) kein Abschluss","","","",""
"konfessionslos","1990","66 und älter","Hauptschulabschluss","178","0.118453180927977","0.0995028167833051","0.137403545072649"
"konfessionslos","1990","66 und älter","Realschulabschluss","","","",""
"konfessionslos","1990","66 und älter","(Fach-)Abitur","","","",""
"konfessionslos","1990","66 und älter","AkademikerInnen","31","0.207725937249233","0.130859051697583","0.284592822800883"
"andere","1990","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"andere","1990","16-34 Jahre alt","Hauptschulabschluss","112","0.0212026487619805","0.0145345903060195","0.0278707072179415"
"andere","1990","16-34 Jahre alt","Realschulabschluss","51","0.0210522048469171","0.0146425330311346","0.0274618766626996"
"andere","1990","16-34 Jahre alt","(Fach-)Abitur","31","0.022097097405673","0.010354468725813","0.0338397260855331"
"andere","1990","16-34 Jahre alt","AkademikerInnen","","","",""
"andere","1990","35-65 Jahre alt","(noch) kein Abschluss","117","0.204671088370931","0.16989310031149","0.239449076430372"
"andere","1990","35-65 Jahre alt","Hauptschulabschluss","237","0.0254291594240046","0.0206274225443914","0.0302308963036179"
"andere","1990","35-65 Jahre alt","Realschulabschluss","","","",""
"andere","1990","35-65 Jahre alt","(Fach-)Abitur","34","0.0755836307987118","0.0415700944582625","0.109597167139161"
"andere","1990","35-65 Jahre alt","AkademikerInnen","","","",""
"andere","1990","66 und älter","(noch) kein Abschluss","","","",""
"andere","1990","66 und älter","Hauptschulabschluss","","","",""
"andere","1990","66 und älter","Realschulabschluss","","","",""
"andere","1990","66 und älter","(Fach-)Abitur","","","",""
"andere","1990","66 und älter","AkademikerInnen","","","",""
"katholisch","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"katholisch","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"katholisch","1991","16-34 Jahre alt","Realschulabschluss","44","0.0478928735718842","0.0344616112357192","0.0613241359080491"
"katholisch","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"katholisch","1991","16-34 Jahre alt","AkademikerInnen","","","",""
"katholisch","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"katholisch","1991","35-65 Jahre alt","Hauptschulabschluss","57","0.055321280684845","0.0414872566547128","0.0691553047149773"
"katholisch","1991","35-65 Jahre alt","Realschulabschluss","33","0.070662779653421","0.0483565517260397","0.0929690075808024"
"katholisch","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"katholisch","1991","35-65 Jahre alt","AkademikerInnen","","","",""
"katholisch","1991","66 und älter","(noch) kein Abschluss","","","",""
"katholisch","1991","66 und älter","Hauptschulabschluss","","","",""
"katholisch","1991","66 und älter","Realschulabschluss","","","",""
"katholisch","1991","66 und älter","(Fach-)Abitur","","","",""
"katholisch","1991","66 und älter","AkademikerInnen","","","",""
"evangelisch","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"evangelisch","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"evangelisch","1991","16-34 Jahre alt","Realschulabschluss","181","0.187490931368683","0.162941427609431","0.212040435127935"
"evangelisch","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"evangelisch","1991","16-34 Jahre alt","AkademikerInnen","62","0.218076628608313","0.169535222505765","0.26661803471086"
"evangelisch","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"evangelisch","1991","35-65 Jahre alt","Hauptschulabschluss","316","0.305798207816918","0.277916416003557","0.333679999630278"
"evangelisch","1991","35-65 Jahre alt","Realschulabschluss","152","0.292242321391198","0.252654831931162","0.331829810851234"
"evangelisch","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"evangelisch","1991","35-65 Jahre alt","AkademikerInnen","151","0.238653329065109","0.205394390387612","0.271912267742606"
"evangelisch","1991","66 und älter","(noch) kein Abschluss","","","",""
"evangelisch","1991","66 und älter","Hauptschulabschluss","167","0.52570032903398","0.471075371679803","0.580325286388157"
"evangelisch","1991","66 und älter","Realschulabschluss","","","",""
"evangelisch","1991","66 und älter","(Fach-)Abitur","","","",""
"evangelisch","1991","66 und älter","AkademikerInnen","","","",""
"islamische Religionsgemeinschaft","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"islamische Religionsgemeinschaft","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"islamische Religionsgemeinschaft","1991","16-34 Jahre alt","Realschulabschluss","","","",""
"islamische Religionsgemeinschaft","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"islamische Religionsgemeinschaft","1991","16-34 Jahre alt","AkademikerInnen","","","",""
"islamische Religionsgemeinschaft","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"islamische Religionsgemeinschaft","1991","35-65 Jahre alt","Hauptschulabschluss","","","",""
"islamische Religionsgemeinschaft","1991","35-65 Jahre alt","Realschulabschluss","","","",""
"islamische Religionsgemeinschaft","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"islamische Religionsgemeinschaft","1991","35-65 Jahre alt","AkademikerInnen","","","",""
