"religion","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","324","0.388526860365398","0.355721154900238","0.421332565830557"
"katholisch","1990","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","2329","0.436036740491708","0.42276490038808","0.449308580595335"
"katholisch","1990","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","113","0.0732683952465298","0.0607969470642482","0.0857398434288114"
"katholisch","1990","Realschulabschluss","Westdeutschland, alte Bundeslaender","651","0.391485760242392","0.367725568486772","0.415245951998011"
"katholisch","1990","Realschulabschluss","Ostdeutschland, neue Bundeslaender","86","0.0555178083331324","0.0441800646049777","0.0668555520612872"
"katholisch","1990","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","263","0.347240520045767","0.313235550065789","0.381245490025745"
"katholisch","1990","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","AkademikerInnen","Westdeutschland, alte Bundeslaender","252","0.378696605310233","0.34268609538149","0.414707115238977"
"katholisch","1990","AkademikerInnen","Ostdeutschland, neue Bundeslaender","40","0.039259263049563","0.0271858773962349","0.0513326487028911"
"evangelisch","1990","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","96","0.280056329003415","0.249834404254984","0.310278253751846"
"evangelisch","1990","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1990","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","1933","0.449613030388743","0.436299362817735","0.462926697959751"
"evangelisch","1990","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","586","0.374629160820904","0.351463154919326","0.397795166722481"
"evangelisch","1990","Realschulabschluss","Westdeutschland, alte Bundeslaender","719","0.464239100532357","0.439961098179465","0.488517102885249"
"evangelisch","1990","Realschulabschluss","Ostdeutschland, neue Bundeslaender","391","0.2495574302608","0.228130617415463","0.270984243106137"
"evangelisch","1990","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","259","0.43512609926703","0.399715447189823","0.470536751344238"
"evangelisch","1990","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1990","AkademikerInnen","Westdeutschland, alte Bundeslaender","282","0.409674257747439","0.373165513044388","0.446183002450491"
"evangelisch","1990","AkademikerInnen","Ostdeutschland, neue Bundeslaender","233","0.242260869808636","0.215625643420221","0.268896096197052"
"islamische Religionsgemeinschaft","1990","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","260","0.201062279497129","0.174086628827581","0.228037930166676"
"islamische Religionsgemeinschaft","1990","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1990","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","432","0.0225933289257204","0.018616179075882","0.0265704787755589"
"islamische Religionsgemeinschaft","1990","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1990","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1990","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1990","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","77","0.0338930211587639","0.0209683841717955","0.0468176581457323"
"islamische Religionsgemeinschaft","1990","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1990","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1990","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1990","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1990","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1990","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","323","0.0682752610674173","0.0615250136598199","0.0750255084750147"
"konfessionslos","1990","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","966","0.546804889307412","0.522979480443749","0.570630298171075"
"konfessionslos","1990","Realschulabschluss","Westdeutschland, alte Bundeslaender","169","0.116502527762191","0.100884474001514","0.132120581522868"
"konfessionslos","1990","Realschulabschluss","Ostdeutschland, neue Bundeslaender","1077","0.687071416554435","0.664113252729204","0.710029580379666"
"konfessionslos","1990","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","88","0.145574100193311","0.120384001889253","0.170764198497369"
"konfessionslos","1990","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","99","0.788034597039487","0.717232154684193","0.858837039394782"
"konfessionslos","1990","AkademikerInnen","Westdeutschland, alte Bundeslaender","123","0.182793738319023","0.154100590073415","0.21148688656463"
"konfessionslos","1990","AkademikerInnen","Ostdeutschland, neue Bundeslaender","711","0.711510544588036","0.683345493643817","0.739675595532255"
"andere","1990","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","149","0.106589079618667","0.085819287522927","0.127358871714406"
"andere","1990","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1990","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","346","0.0234816391264114","0.0194289004224445","0.0275343778303783"
"andere","1990","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1990","Realschulabschluss","Westdeutschland, alte Bundeslaender","55","0.0233990702566085","0.0160401439983798","0.0307579965148372"
"andere","1990","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1990","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","66","0.0381662593351281","0.024481397869751","0.0518511208005053"
"andere","1990","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1990","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"andere","1990","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1991","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1991","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1991","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1991","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","86","0.0615774502162415","0.049456799749843","0.0736981006826401"
"katholisch","1991","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1991","Realschulabschluss","Ostdeutschland, neue Bundeslaender","78","0.0559112120372072","0.0442533327808152","0.0675690912935991"
"katholisch","1991","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1991","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1991","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1991","AkademikerInnen","Ostdeutschland, neue Bundeslaender","36","0.0390282153259902","0.0267327121840431","0.0513237184679372"
"evangelisch","1991","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1991","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1991","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
