"religion","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","Schleswig-Holstein","kein Migrationshintergrund","","","",""
"katholisch","1990","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"katholisch","1990","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"katholisch","1990","Hamburg","kein Migrationshintergrund","","","",""
"katholisch","1990","Hamburg","direkter Migrationshintergrund","","","",""
"katholisch","1990","Hamburg","indirekter Migrationshintergrund","","","",""
"katholisch","1990","Niedersachsen","kein Migrationshintergrund","112","0.141081964376596","0.117064733455275","0.165099195297916"
"katholisch","1990","Niedersachsen","direkter Migrationshintergrund","55","0.300503333443507","0.227855971688172","0.373150695198842"
"katholisch","1990","Niedersachsen","indirekter Migrationshintergrund","","","",""
"katholisch","1990","Bremen","kein Migrationshintergrund","","","",""
"katholisch","1990","Bremen","direkter Migrationshintergrund","","","",""
"katholisch","1990","Bremen","indirekter Migrationshintergrund","","","",""
"katholisch","1990","Nordrhein-Westfalen","kein Migrationshintergrund","863","0.485268977264161","0.462218991894038","0.508318962634284"
"katholisch","1990","Nordrhein-Westfalen","direkter Migrationshintergrund","207","0.322348724661255","0.286985412140434","0.357712037182076"
"katholisch","1990","Nordrhein-Westfalen","indirekter Migrationshintergrund","44","0.519551835611283","0.413958483642244","0.625145187580323"
"katholisch","1990","Hessen","kein Migrationshintergrund","146","0.251961704573517","0.2173963541767","0.286527054970335"
"katholisch","1990","Hessen","direkter Migrationshintergrund","147","0.486325533539351","0.434037530229922","0.53861353684878"
"katholisch","1990","Hessen","indirekter Migrationshintergrund","","","",""
"katholisch","1990","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","301","0.563422161095268","0.521591086909543","0.605253235280993"
"katholisch","1990","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","74","0.544636465910561","0.455533953390013","0.633738978431108"
"katholisch","1990","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"katholisch","1990","Baden-Wuerttemberg","kein Migrationshintergrund","483","0.453192818317522","0.422938314425884","0.48344732220916"
"katholisch","1990","Baden-Wuerttemberg","direkter Migrationshintergrund","319","0.561954992413581","0.524881456738647","0.599028528088515"
"katholisch","1990","Baden-Wuerttemberg","indirekter Migrationshintergrund","36","0.376515649989062","0.265370387562189","0.487660912415935"
"katholisch","1990","Bayern","kein Migrationshintergrund","811","0.674563351544298","0.647852732496497","0.7012739705921"
"katholisch","1990","Bayern","direkter Migrationshintergrund","135","0.444928742166589","0.393664553211443","0.496192931121735"
"katholisch","1990","Bayern","indirekter Migrationshintergrund","","","",""
"katholisch","1990","Saarland","kein Migrationshintergrund","","","",""
"katholisch","1990","Saarland","direkter Migrationshintergrund","","","",""
"katholisch","1990","Saarland","indirekter Migrationshintergrund","","","",""
"katholisch","1990","Berlin","kein Migrationshintergrund","35","0.0899473641783197","0.0648945391842486","0.115000189172391"
"katholisch","1990","Berlin","direkter Migrationshintergrund","","","",""
"katholisch","1990","Berlin","indirekter Migrationshintergrund","","","",""
"katholisch","1990","Brandenburg","kein Migrationshintergrund","","","",""
"katholisch","1990","Brandenburg","direkter Migrationshintergrund","","","",""
"katholisch","1990","Brandenburg","indirekter Migrationshintergrund","","","",""
"katholisch","1990","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"katholisch","1990","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"katholisch","1990","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"katholisch","1990","Sachsen","kein Migrationshintergrund","61","0.0512518712166483","0.0392325716978012","0.0632711707354954"
"katholisch","1990","Sachsen","direkter Migrationshintergrund","","","",""
"katholisch","1990","Sachsen","indirekter Migrationshintergrund","","","",""
"katholisch","1990","Sachsen-Anhalt","kein Migrationshintergrund","45","0.0581227112554505","0.0417238077906902","0.0745216147202109"
"katholisch","1990","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"katholisch","1990","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"katholisch","1990","Thueringen","kein Migrationshintergrund","78","0.114560988802114","0.0912486301382479","0.13787334746598"
"katholisch","1990","Thueringen","direkter Migrationshintergrund","","","",""
