"religion","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","16-34 Jahre alt","kein Migrationshintergrund","1140","0.343434278379583","0.328969597952249","0.357898958806916"
"katholisch","1990","16-34 Jahre alt","direkter Migrationshintergrund","316","0.402484747557562","0.370898952793408","0.434070542321716"
"katholisch","1990","16-34 Jahre alt","indirekter Migrationshintergrund","120","0.365714215775308","0.3079437498149","0.423484681735717"
"katholisch","1990","35-65 Jahre alt","kein Migrationshintergrund","1433","0.329298893390513","0.316765442910372","0.341832343870655"
"katholisch","1990","35-65 Jahre alt","direkter Migrationshintergrund","652","0.401604037227686","0.377914394976496","0.425293679478876"
"katholisch","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"katholisch","1990","66 und älter","kein Migrationshintergrund","419","0.339680248667451","0.314728996962647","0.364631500372255"
"katholisch","1990","66 und älter","direkter Migrationshintergrund","51","0.518282377553739","0.422709881235818","0.613854873871661"
"katholisch","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","16-34 Jahre alt","kein Migrationshintergrund","1506","0.408592716132639","0.393618759701521","0.423566672563758"
"evangelisch","1990","16-34 Jahre alt","direkter Migrationshintergrund","38","0.109517495103941","0.0894035600089588","0.129631430198923"
"evangelisch","1990","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","35-65 Jahre alt","kein Migrationshintergrund","2162","0.43214887637828","0.418937595037263","0.445360157719296"
"evangelisch","1990","35-65 Jahre alt","direkter Migrationshintergrund","110","0.160583382291518","0.142841315017136","0.1783254495659"
"evangelisch","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","66 und älter","kein Migrationshintergrund","719","0.525507051762751","0.499199271769354","0.551814831756148"
"evangelisch","1990","66 und älter","direkter Migrationshintergrund","32","0.3500573792207","0.258822569915812","0.441292188525589"
"evangelisch","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","16-34 Jahre alt","direkter Migrationshintergrund","395","0.316592650241981","0.286633269350308","0.346552031133655"
"islamische Religionsgemeinschaft","1990","16-34 Jahre alt","indirekter Migrationshintergrund","58","0.232080293322653","0.181443114793721","0.282717471851586"
"islamische Religionsgemeinschaft","1990","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","35-65 Jahre alt","direkter Migrationshintergrund","389","0.179491410638941","0.160946337898746","0.198036483379136"
"islamische Religionsgemeinschaft","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","66 und älter","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","66 und älter","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","16-34 Jahre alt","kein Migrationshintergrund","1446","0.236446869383523","0.223503887728055","0.24938985103899"
"konfessionslos","1990","16-34 Jahre alt","direkter Migrationshintergrund","48","0.0851404647761117","0.0671646818288142","0.103116247723409"
"konfessionslos","1990","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","35-65 Jahre alt","kein Migrationshintergrund","1740","0.224752235815318","0.213619977532924","0.235884494097713"
"konfessionslos","1990","35-65 Jahre alt","direkter Migrationshintergrund","127","0.115452784347719","0.100009920043166","0.130895648652272"
"konfessionslos","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","66 und älter","kein Migrationshintergrund","236","0.127191743640622","0.109638033230331","0.144745454050914"
"konfessionslos","1990","66 und älter","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"andere","1990","16-34 Jahre alt","kein Migrationshintergrund","48","0.011526136104255","0.00827472123440239","0.0147775509741076"
"andere","1990","16-34 Jahre alt","direkter Migrationshintergrund","129","0.086264642320404","0.0681816946319983","0.10434759000881"
"andere","1990","16-34 Jahre alt","indirekter Migrationshintergrund","67","0.212463144251298","0.163398381160566","0.26152790734203"
"andere","1990","35-65 Jahre alt","kein Migrationshintergrund","66","0.0137999944158887","0.0106887583967955","0.016911230434982"
"andere","1990","35-65 Jahre alt","direkter Migrationshintergrund","367","0.142868385494136","0.125957865380146","0.159778905608125"
"andere","1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"andere","1990","66 und älter","kein Migrationshintergrund","","","",""
"andere","1990","66 und älter","direkter Migrationshintergrund","","","",""
"andere","1990","66 und älter","indirekter Migrationshintergrund","","","",""
"katholisch","1991","16-34 Jahre alt","kein Migrationshintergrund","63","0.0445187800523559","0.0341742378050683","0.0548633222996435"
"katholisch","1991","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"katholisch","1991","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"katholisch","1991","35-65 Jahre alt","kein Migrationshintergrund","101","0.0466234120026204","0.0376614988948442","0.0555853251103966"
"katholisch","1991","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"katholisch","1991","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"katholisch","1991","66 und älter","kein Migrationshintergrund","","","",""
"katholisch","1991","66 und älter","direkter Migrationshintergrund","","","",""
"katholisch","1991","66 und älter","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","16-34 Jahre alt","kein Migrationshintergrund","286","0.182203963899641","0.162842865885435","0.201565061913848"
"evangelisch","1991","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"evangelisch","1991","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","35-65 Jahre alt","kein Migrationshintergrund","613","0.292096095050553","0.272766778855447","0.31142541124566"
"evangelisch","1991","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"evangelisch","1991","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","66 und älter","kein Migrationshintergrund","190","0.49818523314053","0.448110822353663","0.548259643927396"
"evangelisch","1991","66 und älter","direkter Migrationshintergrund","","","",""
"evangelisch","1991","66 und älter","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","66 und älter","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","66 und älter","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","66 und älter","indirekter Migrationshintergrund","","","",""
"konfessionslos","1991","16-34 Jahre alt","kein Migrationshintergrund","1170","0.769185680228437","0.748051980030113","0.790319380426761"
"konfessionslos","1991","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"konfessionslos","1991","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"konfessionslos","1991","35-65 Jahre alt","kein Migrationshintergrund","1398","0.656238597856409","0.636049082112907","0.676428113599911"
"konfessionslos","1991","35-65 Jahre alt","direkter Migrationshintergrund","64","0.600025892838082","0.505873284457976","0.694178501218189"
"konfessionslos","1991","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"konfessionslos","1991","66 und älter","kein Migrationshintergrund","164","0.419578136754039","0.370155374960187","0.46900089854789"
"konfessionslos","1991","66 und älter","direkter Migrationshintergrund","","","",""
"konfessionslos","1991","66 und älter","indirekter Migrationshintergrund","","","",""
"andere","1991","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"andere","1991","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"andere","1991","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"andere","1991","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"andere","1991","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"andere","1991","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"andere","1991","66 und älter","kein Migrationshintergrund","","","",""
"andere","1991","66 und älter","direkter Migrationshintergrund","","","",""
"andere","1991","66 und älter","indirekter Migrationshintergrund","","","",""
"katholisch","1992","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"katholisch","1992","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"katholisch","1992","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"katholisch","1992","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"katholisch","1992","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"katholisch","1992","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"katholisch","1992","66 und älter","kein Migrationshintergrund","","","",""
"katholisch","1992","66 und älter","direkter Migrationshintergrund","","","",""
"katholisch","1992","66 und älter","indirekter Migrationshintergrund","","","",""
"evangelisch","1992","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"evangelisch","1992","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"evangelisch","1992","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"evangelisch","1992","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"evangelisch","1992","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"evangelisch","1992","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"evangelisch","1992","66 und älter","kein Migrationshintergrund","","","",""
"evangelisch","1992","66 und älter","direkter Migrationshintergrund","","","",""
"evangelisch","1992","66 und älter","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1992","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1992","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1992","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1992","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1992","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1992","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1992","66 und älter","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1992","66 und älter","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1992","66 und älter","indirekter Migrationshintergrund","","","",""
