"religion","year","sampreg","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","Westdeutschland, alte Bundeslaender","3901","0.413793101268588","0.403876732920327","0.423709469616848"
"katholisch","1990","Ostdeutschland, neue Bundeslaender","250","0.0599973155612835","0.0529985720488789","0.066996059073688"
"evangelisch","1990","Westdeutschland, alte Bundeslaender","3335","0.439723300234045","0.429729593858602","0.449717006609488"
"evangelisch","1990","Ostdeutschland, neue Bundeslaender","1250","0.300660201268507","0.287146580868026","0.314173821668988"
"islamische Religionsgemeinschaft","1990","Westdeutschland, alte Bundeslaender","848","0.0264313542185176","0.0232015324160864","0.0296611760209489"
"islamische Religionsgemeinschaft","1990","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1990","Westdeutschland, alte Bundeslaender","735","0.0924592611212796","0.08662690761952","0.0982916146230392"
"konfessionslos","1990","Ostdeutschland, neue Bundeslaender","2888","0.63307962867424","0.618875823621221","0.647283433727259"
"andere","1990","Westdeutschland, alte Bundeslaender","657","0.0275929831575703","0.0242949202517043","0.0308910460634363"
"andere","1990","Ostdeutschland, neue Bundeslaender","35","0.00626285449596935","0.00393791559474171","0.00858779339719699"
"katholisch","1991","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1991","Ostdeutschland, neue Bundeslaender","211","0.0548260344082404","0.0478943318796276","0.0617577369368532"
"evangelisch","1991","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1991","Ostdeutschland, neue Bundeslaender","1117","0.285610655600601","0.27185613964333","0.299365171557872"
"islamische Religionsgemeinschaft","1991","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1991","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1991","Ostdeutschland, neue Bundeslaender","2787","0.652796525610499","0.638299744791673","0.667293306429325"
"andere","1991","Westdeutschland, alte Bundeslaender","","","",""
"andere","1991","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1992","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1992","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1992","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1992","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1992","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1992","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1992","Westdeutschland, alte Bundeslaender","","","",""
"andere","1992","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1993","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1993","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1993","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1993","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1993","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1993","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1993","Westdeutschland, alte Bundeslaender","","","",""
"andere","1993","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1994","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1994","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1994","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1994","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1994","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1994","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1994","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1994","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1994","Westdeutschland, alte Bundeslaender","","","",""
"andere","1994","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1995","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1995","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1995","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1995","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1995","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1995","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1995","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1995","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1995","Westdeutschland, alte Bundeslaender","","","",""
"andere","1995","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1996","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1996","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1996","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1996","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1996","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1996","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1996","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1996","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1996","Westdeutschland, alte Bundeslaender","","","",""
"andere","1996","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1997","Westdeutschland, alte Bundeslaender","3620","0.395808255818481","0.385811181957867","0.405805329679096"
"katholisch","1997","Ostdeutschland, neue Bundeslaender","175","0.0482481171805886","0.0412818850688566","0.0552143492923206"
"evangelisch","1997","Westdeutschland, alte Bundeslaender","2985","0.383519094331247","0.373578865241403","0.393459323421091"
"evangelisch","1997","Ostdeutschland, neue Bundeslaender","872","0.255775867668346","0.241592559441778","0.269959175894914"
"islamische Religionsgemeinschaft","1997","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1997","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1997","Westdeutschland, alte Bundeslaender","1276","0.153370157763161","0.146003672886192","0.16073664264013"
"konfessionslos","1997","Ostdeutschland, neue Bundeslaender","2563","0.688263369964475","0.673205375614663","0.703321364314287"
"andere","1997","Westdeutschland, alte Bundeslaender","1311","0.0673024920871108","0.0621806160382447","0.0724243681359768"
"andere","1997","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1998","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1998","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1998","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1998","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1998","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1998","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1998","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1998","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1998","Westdeutschland, alte Bundeslaender","","","",""
"andere","1998","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1999","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1999","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1999","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1999","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1999","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1999","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1999","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1999","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1999","Westdeutschland, alte Bundeslaender","","","",""
"andere","1999","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","2000","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","2000","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","2000","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","2000","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2000","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2000","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","2000","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","2000","Ostdeutschland, neue Bundeslaender","","","",""
"andere","2000","Westdeutschland, alte Bundeslaender","","","",""
"andere","2000","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","2001","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","2001","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","2001","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","2001","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2001","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2001","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","2001","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","2001","Ostdeutschland, neue Bundeslaender","","","",""
