"religion","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","Westdeutschland, alte Bundeslaender","maennlich","1889","0.403615310936477","0.389554464504871","0.417676157368083"
"katholisch","1990","Westdeutschland, alte Bundeslaender","weiblich","2012","0.423143011128415","0.409164839084246","0.437121183172584"
"katholisch","1990","Ostdeutschland, neue Bundeslaender","maennlich","114","0.0558286412649792","0.0459997078717376","0.0656575746582207"
"katholisch","1990","Ostdeutschland, neue Bundeslaender","weiblich","136","0.0636904586173807","0.0537685136934456","0.0736124035413158"
"evangelisch","1990","Westdeutschland, alte Bundeslaender","maennlich","1550","0.419627693181105","0.405484423661502","0.433770962700708"
"evangelisch","1990","Westdeutschland, alte Bundeslaender","weiblich","1785","0.458184293081452","0.44408755566704","0.472281030495864"
"evangelisch","1990","Ostdeutschland, neue Bundeslaender","maennlich","505","0.247504564359811","0.229029073183628","0.265980055535994"
"evangelisch","1990","Ostdeutschland, neue Bundeslaender","weiblich","745","0.347752239981105","0.328401785682902","0.367102694279308"
"islamische Religionsgemeinschaft","1990","Westdeutschland, alte Bundeslaender","maennlich","453","0.0301313764787252","0.0252321180691313","0.0350306348883191"
"islamische Religionsgemeinschaft","1990","Westdeutschland, alte Bundeslaender","weiblich","395","0.0230322986786181","0.0187882392070586","0.0272763581501777"
"islamische Religionsgemeinschaft","1990","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"islamische Religionsgemeinschaft","1990","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"konfessionslos","1990","Westdeutschland, alte Bundeslaender","maennlich","460","0.120172646245523","0.110853718415378","0.129491574075669"
"konfessionslos","1990","Westdeutschland, alte Bundeslaender","weiblich","275","0.067000134496824","0.0599263578345128","0.0740739111591353"
"konfessionslos","1990","Ostdeutschland, neue Bundeslaender","maennlich","1463","0.691136972292673","0.671357373547121","0.710916571038225"
"konfessionslos","1990","Ostdeutschland, neue Bundeslaender","weiblich","1425","0.581645033356982","0.561602557182514","0.60168750953145"
"andere","1990","Westdeutschland, alte Bundeslaender","maennlich","325","0.0264529731581696","0.0218537962078224","0.0310521501085169"
"andere","1990","Westdeutschland, alte Bundeslaender","weiblich","332","0.0286402626146907","0.0239212486442752","0.0333592765851061"
"andere","1990","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"andere","1990","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"katholisch","1991","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"katholisch","1991","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"katholisch","1991","Ostdeutschland, neue Bundeslaender","maennlich","102","0.0548487771201057","0.0448072754243748","0.0648902788158367"
"katholisch","1991","Ostdeutschland, neue Bundeslaender","weiblich","109","0.0548052721211784","0.0452247259853369","0.0643858182570199"
"evangelisch","1991","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"evangelisch","1991","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"evangelisch","1991","Ostdeutschland, neue Bundeslaender","maennlich","447","0.230654108540941","0.212075809122926","0.249232407958956"
"evangelisch","1991","Ostdeutschland, neue Bundeslaender","weiblich","670","0.335781612025866","0.315902254059476","0.355660969992256"
"islamische Religionsgemeinschaft","1991","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"islamische Religionsgemeinschaft","1991","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"islamische Religionsgemeinschaft","1991","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"islamische Religionsgemeinschaft","1991","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"konfessionslos","1991","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"konfessionslos","1991","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"konfessionslos","1991","Ostdeutschland, neue Bundeslaender","maennlich","1413","0.707547386827095","0.687485579282513","0.727609194371678"
"konfessionslos","1991","Ostdeutschland, neue Bundeslaender","weiblich","1374","0.60281334400046","0.582216190505725","0.623410497495196"
"andere","1991","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"andere","1991","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"andere","1991","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"andere","1991","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"katholisch","1992","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"katholisch","1992","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"katholisch","1992","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"katholisch","1992","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"evangelisch","1992","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"evangelisch","1992","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"evangelisch","1992","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"evangelisch","1992","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"islamische Religionsgemeinschaft","1992","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"islamische Religionsgemeinschaft","1992","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"islamische Religionsgemeinschaft","1992","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"islamische Religionsgemeinschaft","1992","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"konfessionslos","1992","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"konfessionslos","1992","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"konfessionslos","1992","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"konfessionslos","1992","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"andere","1992","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"andere","1992","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"andere","1992","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"andere","1992","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"katholisch","1993","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"katholisch","1993","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"katholisch","1993","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"katholisch","1993","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"evangelisch","1993","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"evangelisch","1993","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"evangelisch","1993","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"evangelisch","1993","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"islamische Religionsgemeinschaft","1993","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"islamische Religionsgemeinschaft","1993","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"islamische Religionsgemeinschaft","1993","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"islamische Religionsgemeinschaft","1993","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"konfessionslos","1993","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"konfessionslos","1993","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"konfessionslos","1993","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"konfessionslos","1993","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"andere","1993","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"andere","1993","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"andere","1993","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"andere","1993","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"katholisch","1994","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"katholisch","1994","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"katholisch","1994","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"katholisch","1994","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"evangelisch","1994","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"evangelisch","1994","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"evangelisch","1994","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"evangelisch","1994","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"islamische Religionsgemeinschaft","1994","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"islamische Religionsgemeinschaft","1994","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"islamische Religionsgemeinschaft","1994","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"islamische Religionsgemeinschaft","1994","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"konfessionslos","1994","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"konfessionslos","1994","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"konfessionslos","1994","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"konfessionslos","1994","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"andere","1994","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"andere","1994","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"andere","1994","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"andere","1994","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"katholisch","1995","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"katholisch","1995","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"katholisch","1995","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"katholisch","1995","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"evangelisch","1995","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"evangelisch","1995","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"evangelisch","1995","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"evangelisch","1995","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"islamische Religionsgemeinschaft","1995","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"islamische Religionsgemeinschaft","1995","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"islamische Religionsgemeinschaft","1995","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"islamische Religionsgemeinschaft","1995","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"konfessionslos","1995","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"konfessionslos","1995","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"konfessionslos","1995","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"konfessionslos","1995","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"andere","1995","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"andere","1995","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"andere","1995","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"andere","1995","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"katholisch","1996","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"katholisch","1996","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"katholisch","1996","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"katholisch","1996","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"evangelisch","1996","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"evangelisch","1996","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"evangelisch","1996","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"evangelisch","1996","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"islamische Religionsgemeinschaft","1996","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"islamische Religionsgemeinschaft","1996","Westdeutschland, alte Bundeslaender","weiblich","","","",""
