"religion","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","kein Migrationshintergrund","maennlich","1398","0.327136182765172","0.314417277886107","0.339855087644238"
"katholisch","1990","kein Migrationshintergrund","weiblich","1594","0.34373788621934","0.331406805801435","0.356068966637245"
"katholisch","1990","direkter Migrationshintergrund","maennlich","537","0.408533416800344","0.382775061266554","0.434291772334133"
"katholisch","1990","direkter Migrationshintergrund","weiblich","482","0.418199898285539","0.391145897379576","0.445253899191502"
"katholisch","1990","indirekter Migrationshintergrund","maennlich","68","0.393505541988846","0.314532608824379","0.472478475153313"
"katholisch","1990","indirekter Migrationshintergrund","weiblich","72","0.443212699986766","0.363715245998521","0.522710153975011"
"evangelisch","1990","kein Migrationshintergrund","maennlich","1973","0.417366294184887","0.403997928091123","0.43073466027865"
"evangelisch","1990","kein Migrationshintergrund","weiblich","2415","0.463291868517164","0.450345582753084","0.476238154281243"
"evangelisch","1990","direkter Migrationshintergrund","maennlich","76","0.143425446868286","0.125058586522998","0.161792307213574"
"evangelisch","1990","direkter Migrationshintergrund","weiblich","104","0.187303260172205","0.165904452790302","0.208702067554109"
"evangelisch","1990","indirekter Migrationshintergrund","maennlich","","","",""
"evangelisch","1990","indirekter Migrationshintergrund","weiblich","","","",""
"islamische Religionsgemeinschaft","1990","kein Migrationshintergrund","maennlich","","","",""
"islamische Religionsgemeinschaft","1990","kein Migrationshintergrund","weiblich","","","",""
"islamische Religionsgemeinschaft","1990","direkter Migrationshintergrund","maennlich","417","0.212001247078235","0.190583627186274","0.233418866970196"
"islamische Religionsgemeinschaft","1990","direkter Migrationshintergrund","weiblich","372","0.188506552135944","0.167055017040289","0.209958087231599"
"islamische Religionsgemeinschaft","1990","indirekter Migrationshintergrund","maennlich","36","0.244557574122596","0.1750742370399","0.314040911205293"
"islamische Religionsgemeinschaft","1990","indirekter Migrationshintergrund","weiblich","","","",""
"konfessionslos","1990","kein Migrationshintergrund","maennlich","1810","0.245831181938976","0.234158393572771","0.25750397030518"
"konfessionslos","1990","kein Migrationshintergrund","weiblich","1612","0.179048293269532","0.169094407319568","0.189002179219496"
"konfessionslos","1990","direkter Migrationshintergrund","maennlich","107","0.119184192913852","0.102206013693426","0.136162372134277"
"konfessionslos","1990","direkter Migrationshintergrund","weiblich","80","0.0898732859417452","0.0741870449215342","0.105559526961956"
"konfessionslos","1990","indirekter Migrationshintergrund","maennlich","","","",""
"konfessionslos","1990","indirekter Migrationshintergrund","weiblich","","","",""
"andere","1990","kein Migrationshintergrund","maennlich","46","0.00966634111096522","0.00701391271150946","0.012318769510421"
"andere","1990","kein Migrationshintergrund","weiblich","78","0.0139219519939646","0.0108799851662494","0.0169639188216798"
"andere","1990","direkter Migrationshintergrund","maennlich","262","0.116855696339284","0.100021979653576","0.133689413024991"
"andere","1990","direkter Migrationshintergrund","weiblich","239","0.116117003464566","0.0985459442640079","0.133688062665125"
"andere","1990","indirekter Migrationshintergrund","maennlich","31","0.184643086729598","0.121919652548698","0.247366520910498"
"andere","1990","indirekter Migrationshintergrund","weiblich","36","0.129074503541944","0.0754191333596866","0.182729873724201"
"katholisch","1991","kein Migrationshintergrund","maennlich","95","0.0503410832456928","0.0405914195950029","0.0600907468963827"
"katholisch","1991","kein Migrationshintergrund","weiblich","94","0.0477802271445376","0.0386660403330625","0.0568944139560127"
"katholisch","1991","direkter Migrationshintergrund","maennlich","","","",""
"katholisch","1991","direkter Migrationshintergrund","weiblich","","","",""
"katholisch","1991","indirekter Migrationshintergrund","maennlich","","","",""
"katholisch","1991","indirekter Migrationshintergrund","weiblich","","","",""
"evangelisch","1991","kein Migrationshintergrund","maennlich","439","0.232266942184246","0.213437244305337","0.251096640063155"
"evangelisch","1991","kein Migrationshintergrund","weiblich","650","0.337194991815506","0.316994652165991","0.357395331465021"
"evangelisch","1991","direkter Migrationshintergrund","maennlich","","","",""
"evangelisch","1991","direkter Migrationshintergrund","weiblich","","","",""
"evangelisch","1991","indirekter Migrationshintergrund","maennlich","","","",""
"evangelisch","1991","indirekter Migrationshintergrund","weiblich","","","",""
"islamische Religionsgemeinschaft","1991","kein Migrationshintergrund","maennlich","","","",""
"islamische Religionsgemeinschaft","1991","kein Migrationshintergrund","weiblich","","","",""
"islamische Religionsgemeinschaft","1991","direkter Migrationshintergrund","maennlich","","","",""
"islamische Religionsgemeinschaft","1991","direkter Migrationshintergrund","weiblich","","","",""
"islamische Religionsgemeinschaft","1991","indirekter Migrationshintergrund","maennlich","","","",""
"islamische Religionsgemeinschaft","1991","indirekter Migrationshintergrund","weiblich","","","",""
"konfessionslos","1991","kein Migrationshintergrund","maennlich","1387","0.711310385095919","0.691103950694751","0.731516819497087"
"konfessionslos","1991","kein Migrationshintergrund","weiblich","1345","0.608390891299886","0.587534317461399","0.629247465138373"
"konfessionslos","1991","direkter Migrationshintergrund","maennlich","41","0.619686966492775","0.498847435268065","0.740526497717485"
"konfessionslos","1991","direkter Migrationshintergrund","weiblich","40","0.486976413853979","0.377448270167049","0.596504557540909"
"konfessionslos","1991","indirekter Migrationshintergrund","maennlich","","","",""
"konfessionslos","1991","indirekter Migrationshintergrund","weiblich","","","",""
"andere","1991","kein Migrationshintergrund","maennlich","","","",""
"andere","1991","kein Migrationshintergrund","weiblich","","","",""
"andere","1991","direkter Migrationshintergrund","maennlich","","","",""
"andere","1991","direkter Migrationshintergrund","weiblich","","","",""
"andere","1991","indirekter Migrationshintergrund","maennlich","","","",""
"andere","1991","indirekter Migrationshintergrund","weiblich","","","",""
"katholisch","1992","kein Migrationshintergrund","maennlich","","","",""
"katholisch","1992","kein Migrationshintergrund","weiblich","","","",""
"katholisch","1992","direkter Migrationshintergrund","maennlich","","","",""
"katholisch","1992","direkter Migrationshintergrund","weiblich","","","",""
"katholisch","1992","indirekter Migrationshintergrund","maennlich","","","",""
"katholisch","1992","indirekter Migrationshintergrund","weiblich","","","",""
"evangelisch","1992","kein Migrationshintergrund","maennlich","","","",""
"evangelisch","1992","kein Migrationshintergrund","weiblich","","","",""
"evangelisch","1992","direkter Migrationshintergrund","maennlich","","","",""
"evangelisch","1992","direkter Migrationshintergrund","weiblich","","","",""
"evangelisch","1992","indirekter Migrationshintergrund","maennlich","","","",""
"evangelisch","1992","indirekter Migrationshintergrund","weiblich","","","",""
"islamische Religionsgemeinschaft","1992","kein Migrationshintergrund","maennlich","","","",""
"islamische Religionsgemeinschaft","1992","kein Migrationshintergrund","weiblich","","","",""
"islamische Religionsgemeinschaft","1992","direkter Migrationshintergrund","maennlich","","","",""
"islamische Religionsgemeinschaft","1992","direkter Migrationshintergrund","weiblich","","","",""
"islamische Religionsgemeinschaft","1992","indirekter Migrationshintergrund","maennlich","","","",""
"islamische Religionsgemeinschaft","1992","indirekter Migrationshintergrund","weiblich","","","",""
"konfessionslos","1992","kein Migrationshintergrund","maennlich","","","",""
"konfessionslos","1992","kein Migrationshintergrund","weiblich","","","",""
"konfessionslos","1992","direkter Migrationshintergrund","maennlich","","","",""
"konfessionslos","1992","direkter Migrationshintergrund","weiblich","","","",""
