"religion","year","migback","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","kein Migrationshintergrund","2992","0.335877199012925","0.327021314390076","0.344733083635775"
"katholisch","1990","direkter Migrationshintergrund","1019","0.413294763895351","0.394637628204046","0.431951899586656"
"katholisch","1990","indirekter Migrationshintergrund","140","0.418487056875547","0.362383476915708","0.474590636835385"
"evangelisch","1990","kein Migrationshintergrund","4388","0.441546715943055","0.432235653331653","0.450857778554457"
"evangelisch","1990","direkter Migrationshintergrund","180","0.165038015953517","0.150973318816449","0.179102713090586"
"evangelisch","1990","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","direkter Migrationshintergrund","789","0.200428639435745","0.185261155605061","0.215596123266429"
"islamische Religionsgemeinschaft","1990","indirekter Migrationshintergrund","59","0.183844758318893","0.139791110104537","0.227898406533248"
"konfessionslos","1990","kein Migrationshintergrund","3422","0.21066910856843","0.203022876560051","0.218315340576809"
"konfessionslos","1990","direkter Migrationshintergrund","187","0.104746736846987","0.0931443258929528","0.116349147801021"
"konfessionslos","1990","indirekter Migrationshintergrund","","","",""
"andere","1990","kein Migrationshintergrund","124","0.0119069764755894","0.0098731347299507","0.0139408182212281"
"andere","1990","direkter Migrationshintergrund","501","0.1164918438684","0.104336756698097","0.128646931038703"
"andere","1990","indirekter Migrationshintergrund","67","0.156715773158516","0.115371704827451","0.19805984148958"
"katholisch","1991","kein Migrationshintergrund","189","0.0490100621271386","0.0423496193770124","0.0556705048772648"
"katholisch","1991","direkter Migrationshintergrund","","","",""
"katholisch","1991","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","kein Migrationshintergrund","1089","0.286803958116109","0.272850895451982","0.300757020780237"
"evangelisch","1991","direkter Migrationshintergrund","36","0.259220097168339","0.187145396213064","0.331294798123615"
"evangelisch","1991","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","indirekter Migrationshintergrund","","","",""
"konfessionslos","1991","kein Migrationshintergrund","2732","0.657817328734168","0.64318025794175","0.672454399526586"
"konfessionslos","1991","direkter Migrationshintergrund","81","0.543775187342263","0.461852712640442","0.625697662044085"
"konfessionslos","1991","indirekter Migrationshintergrund","","","",""
"andere","1991","kein Migrationshintergrund","","","",""
"andere","1991","direkter Migrationshintergrund","","","",""
"andere","1991","indirekter Migrationshintergrund","","","",""
"katholisch","1992","kein Migrationshintergrund","","","",""
"katholisch","1992","direkter Migrationshintergrund","","","",""
"katholisch","1992","indirekter Migrationshintergrund","","","",""
"evangelisch","1992","kein Migrationshintergrund","","","",""
"evangelisch","1992","direkter Migrationshintergrund","","","",""
"evangelisch","1992","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1992","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1992","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1992","indirekter Migrationshintergrund","","","",""
"konfessionslos","1992","kein Migrationshintergrund","","","",""
"konfessionslos","1992","direkter Migrationshintergrund","","","",""
"konfessionslos","1992","indirekter Migrationshintergrund","","","",""
"andere","1992","kein Migrationshintergrund","","","",""
"andere","1992","direkter Migrationshintergrund","","","",""
"andere","1992","indirekter Migrationshintergrund","","","",""
"katholisch","1993","kein Migrationshintergrund","","","",""
"katholisch","1993","direkter Migrationshintergrund","","","",""
"katholisch","1993","indirekter Migrationshintergrund","","","",""
"evangelisch","1993","kein Migrationshintergrund","","","",""
"evangelisch","1993","direkter Migrationshintergrund","","","",""
"evangelisch","1993","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1993","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1993","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1993","indirekter Migrationshintergrund","","","",""
"konfessionslos","1993","kein Migrationshintergrund","","","",""
"konfessionslos","1993","direkter Migrationshintergrund","","","",""
"konfessionslos","1993","indirekter Migrationshintergrund","","","",""
"andere","1993","kein Migrationshintergrund","","","",""
"andere","1993","direkter Migrationshintergrund","","","",""
"andere","1993","indirekter Migrationshintergrund","","","",""
