"religion","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","(noch) kein Abschluss","329","0.375034748239644","0.343281654070731","0.406787842408557"
"katholisch","1990","Hauptschulabschluss","2442","0.380861936156224","0.369518639262284","0.392205233050164"
"katholisch","1990","Realschulabschluss","737","0.295215577753781","0.279381720767606","0.311049434739956"
"katholisch","1990","(Fach-)Abitur","269","0.323565405767744","0.292672832656388","0.354457978879099"
"katholisch","1990","AkademikerInnen","292","0.252285987093438","0.231585021117115","0.272986953069761"
"evangelisch","1990","(noch) kein Abschluss","108","0.282497956171509","0.252969442449432","0.312026469893585"
"evangelisch","1990","Hauptschulabschluss","2519","0.438208451169112","0.426618283017656","0.449798619320568"
"evangelisch","1990","Realschulabschluss","1110","0.402722984317843","0.385698261720082","0.419747706915603"
"evangelisch","1990","(Fach-)Abitur","282","0.414165005738235","0.381638718533985","0.446691292942485"
"evangelisch","1990","AkademikerInnen","515","0.34732746429753","0.324634380380173","0.370020548214887"
"islamische Religionsgemeinschaft","1990","(noch) kein Abschluss","260","0.190369953348587","0.16462068627011","0.216119220427064"
"islamische Religionsgemeinschaft","1990","Hauptschulabschluss","432","0.0191570244104481","0.0159549934200843","0.022359055400812"
"islamische Religionsgemeinschaft","1990","Realschulabschluss","","","",""
"islamische Religionsgemeinschaft","1990","(Fach-)Abitur","77","0.0312407548376677","0.0197531675001108","0.0427283421752245"
"islamische Religionsgemeinschaft","1990","AkademikerInnen","","","",""
"konfessionslos","1990","(noch) kein Abschluss","47","0.0511765819403944","0.0367238250594191","0.0656293388213698"
"konfessionslos","1990","Hauptschulabschluss","1289","0.141056635057006","0.132925694505353","0.14918757560866"
"konfessionslos","1990","Realschulabschluss","1246","0.27999660728436","0.264410681977878","0.295582532590842"
"konfessionslos","1990","(Fach-)Abitur","187","0.195849238854984","0.169643897605579","0.222054580104388"
"konfessionslos","1990","AkademikerInnen","834","0.379694344177376","0.356563247607394","0.402825440747359"
"andere","1990","(noch) kein Abschluss","149","0.100920760299866","0.0811641877675105","0.120677332832222"
"andere","1990","Hauptschulabschluss","358","0.0207159532072095","0.0173888324641762","0.0240430739502429"
"andere","1990","Realschulabschluss","68","0.0189445090011378","0.0142121531074849","0.0236768648947907"
"andere","1990","(Fach-)Abitur","66","0.0351795948013703","0.0230141275708717","0.0473450620318688"
"andere","1990","AkademikerInnen","37","0.0155417154005477","0.0096461641073952","0.0214372666937003"
"katholisch","1991","(noch) kein Abschluss","","","",""
"katholisch","1991","Hauptschulabschluss","86","0.0613304187474423","0.0492564613890943","0.0734043761057903"
"katholisch","1991","Realschulabschluss","79","0.0555044979563839","0.0439560491423597","0.0670529467704082"
"katholisch","1991","(Fach-)Abitur","","","",""
"katholisch","1991","AkademikerInnen","36","0.0387668271716182","0.0265429257018831","0.0509907286413532"
"evangelisch","1991","(noch) kein Abschluss","","","",""
"evangelisch","1991","Hauptschulabschluss","499","0.357223829426127","0.333110599044464","0.381337059807791"
"evangelisch","1991","Realschulabschluss","351","0.232298444788131","0.210998475428283","0.253598414147979"
"evangelisch","1991","(Fach-)Abitur","","","",""
"evangelisch","1991","AkademikerInnen","226","0.235036887496818","0.208186312103092","0.261887462890545"
"islamische Religionsgemeinschaft","1991","(noch) kein Abschluss","","","",""
"islamische Religionsgemeinschaft","1991","Hauptschulabschluss","","","",""
"islamische Religionsgemeinschaft","1991","Realschulabschluss","","","",""
"islamische Religionsgemeinschaft","1991","(Fach-)Abitur","","","",""
"islamische Religionsgemeinschaft","1991","AkademikerInnen","","","",""
"konfessionslos","1991","(noch) kein Abschluss","35","0.667152217164961","0.541466330828779","0.792838103501143"
"konfessionslos","1991","Hauptschulabschluss","921","0.573205858282799","0.54831614833602","0.598095568229577"
"konfessionslos","1991","Realschulabschluss","1069","0.705639984665931","0.682652544239606","0.728627425092257"
