"religion","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"katholisch","1990","(noch) kein Abschluss","Hamburg","","","",""
"katholisch","1990","(noch) kein Abschluss","Niedersachsen","","","",""
"katholisch","1990","(noch) kein Abschluss","Bremen","","","",""
"katholisch","1990","(noch) kein Abschluss","Nordrhein-Westfalen","82","0.336505863287171","0.279722366244158","0.393289360330183"
"katholisch","1990","(noch) kein Abschluss","Hessen","42","0.346770743221239","0.257421911040611","0.436119575401868"
"katholisch","1990","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","30","0.677150906707507","0.538996650050685","0.81530516336433"
"katholisch","1990","(noch) kein Abschluss","Baden-Wuerttemberg","97","0.508315538713543","0.441490565131151","0.575140512295936"
"katholisch","1990","(noch) kein Abschluss","Bayern","46","0.575955691611686","0.477097507030787","0.674813876192585"
"katholisch","1990","(noch) kein Abschluss","Saarland","","","",""
"katholisch","1990","(noch) kein Abschluss","Berlin","","","",""
"katholisch","1990","(noch) kein Abschluss","Brandenburg","","","",""
"katholisch","1990","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"katholisch","1990","(noch) kein Abschluss","Sachsen","","","",""
"katholisch","1990","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"katholisch","1990","(noch) kein Abschluss","Thueringen","","","",""
"katholisch","1990","Hauptschulabschluss","Schleswig-Holstein","","","",""
"katholisch","1990","Hauptschulabschluss","Hamburg","","","",""
"katholisch","1990","Hauptschulabschluss","Niedersachsen","105","0.163267123833189","0.132405762509775","0.194128485156603"
"katholisch","1990","Hauptschulabschluss","Bremen","","","",""
"katholisch","1990","Hauptschulabschluss","Nordrhein-Westfalen","617","0.478380820263441","0.451832179417592","0.50492946110929"
"katholisch","1990","Hauptschulabschluss","Hessen","154","0.281711914989695","0.243306300118094","0.320117529861296"
"katholisch","1990","Hauptschulabschluss","Rheinland-Pfalz,Saarland","251","0.540448119242737","0.494300068355142","0.586596170130331"
"katholisch","1990","Hauptschulabschluss","Baden-Wuerttemberg","526","0.502345880956879","0.472288808167488","0.53240295374627"
"katholisch","1990","Hauptschulabschluss","Bayern","608","0.704768687956959","0.675655031481886","0.733882344432032"
"katholisch","1990","Hauptschulabschluss","Saarland","","","",""
"katholisch","1990","Hauptschulabschluss","Berlin","","","",""
"katholisch","1990","Hauptschulabschluss","Brandenburg","","","",""
"katholisch","1990","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"katholisch","1990","Hauptschulabschluss","Sachsen","35","0.0750717763405899","0.0526802016263637","0.0974633510548162"
"katholisch","1990","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"katholisch","1990","Hauptschulabschluss","Thueringen","39","0.130020661511617","0.0926415863845802","0.167399736638653"
"katholisch","1990","Realschulabschluss","Schleswig-Holstein","","","",""
"katholisch","1990","Realschulabschluss","Hamburg","","","",""
"katholisch","1990","Realschulabschluss","Niedersachsen","","","",""
"katholisch","1990","Realschulabschluss","Bremen","","","",""
"katholisch","1990","Realschulabschluss","Nordrhein-Westfalen","214","0.507373820639576","0.460338295467453","0.5544093458117"
"katholisch","1990","Realschulabschluss","Hessen","53","0.316807159767745","0.246034878609586","0.387579440925905"
