"religion","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","2767","0.411784239005292","0.399952776270492","0.423615701740091"
"katholisch","1990","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","225","0.0544280350111628","0.0476307486085219","0.0612253214138038"
"katholisch","1990","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","994","0.428613369426518","0.409345101359379","0.447881637493656"
"katholisch","1990","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1990","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","140","0.42109335639901","0.364751578844633","0.477435133953387"
"katholisch","1990","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1990","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3174","0.4791283087164","0.467118763968606","0.491137853464194"
"evangelisch","1990","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1214","0.302201170800257","0.288442067309049","0.315960274291464"
"evangelisch","1990","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","144","0.157731871899065","0.143540326267763","0.171923417530368"
"evangelisch","1990","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","36","0.260875903478945","0.188652228585922","0.333099578371969"
"evangelisch","1990","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1990","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1990","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1990","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1990","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","789","0.215708196927732","0.199693565494581","0.231722828360883"
"islamische Religionsgemeinschaft","1990","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1990","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","59","0.184989726838529","0.140680677718341","0.229298775958717"
"islamische Religionsgemeinschaft","1990","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1990","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","614","0.0955684789744622","0.0885007411099338","0.102636216838991"
"konfessionslos","1990","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","2808","0.637440801662465","0.623036694589992","0.651844908734938"
"konfessionslos","1990","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","108","0.0733803808884927","0.0632275883442068","0.0835331734327786"
"konfessionslos","1990","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","79","0.516192948696713","0.433997825723702","0.598388071669724"
"konfessionslos","1990","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1990","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1990","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","92","0.0135189733038465","0.0107427686671523","0.0162951779405406"
"andere","1990","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","32","0.00592999252611565","0.00362954407408121","0.00823044097815009"
"andere","1990","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","499","0.124566180858192","0.111708681230491","0.137423680485894"
"andere","1990","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1990","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","66","0.153682703495587","0.11252831174604","0.194837095245134"
"andere","1990","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1991","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1991","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","188","0.049417607667568","0.0427001006264783","0.0561351147086577"
"katholisch","1991","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1991","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1991","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1991","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1991","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1991","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1082","0.287067487885984","0.273046177489746","0.301088798282222"
"evangelisch","1991","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1991","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","35","0.254272217407981","0.18239716877746","0.326147266038503"
"evangelisch","1991","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1991","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1991","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1991","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","2704","0.657253391617703","0.642542960868764","0.671963822366642"
"konfessionslos","1991","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1991","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","81","0.547407216550063","0.465249642603775","0.629564790496351"
"konfessionslos","1991","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1991","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1991","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"andere","1991","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1991","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"andere","1991","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1991","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"andere","1991","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1992","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1992","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1992","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1992","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1992","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1992","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1992","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1992","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1992","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1992","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1992","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1992","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1992","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1992","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1992","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1992","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1992","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1992","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1992","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"andere","1992","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1992","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"andere","1992","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1992","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"andere","1992","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1993","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1993","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1993","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1993","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1993","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1993","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1993","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1993","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1993","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1993","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1993","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1993","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1993","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1993","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1993","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1993","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1993","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1993","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1993","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"andere","1993","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1993","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"andere","1993","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1993","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"andere","1993","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1994","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1994","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1994","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
