"religion","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","(noch) kein Abschluss","kein Migrationshintergrund","65","0.393116213252873","0.32508178469364","0.461150641812107"
"katholisch","1990","(noch) kein Abschluss","direkter Migrationshintergrund","248","0.362525662164769","0.325397291783095","0.399654032546444"
"katholisch","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"katholisch","1990","Hauptschulabschluss","kein Migrationshintergrund","1780","0.371498921443014","0.358654923812141","0.384342919073888"
"katholisch","1990","Hauptschulabschluss","direkter Migrationshintergrund","584","0.455078758025834","0.429500111846866","0.480657404204802"
"katholisch","1990","Hauptschulabschluss","indirekter Migrationshintergrund","78","0.523946632954024","0.443211833441041","0.604681432467007"
"katholisch","1990","Realschulabschluss","kein Migrationshintergrund","645","0.285964737571252","0.269727180983524","0.30220229415898"
"katholisch","1990","Realschulabschluss","direkter Migrationshintergrund","68","0.46494358188878","0.388138403672257","0.541748760105303"
"katholisch","1990","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"katholisch","1990","(Fach-)Abitur","kein Migrationshintergrund","204","0.332110245558187","0.295820035817494","0.368400455298881"
"katholisch","1990","(Fach-)Abitur","direkter Migrationshintergrund","53","0.273293102657187","0.21243639441844","0.334149810895933"
"katholisch","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"katholisch","1990","AkademikerInnen","kein Migrationshintergrund","258","0.247673810430473","0.226280753357364","0.269066867503581"
"katholisch","1990","AkademikerInnen","direkter Migrationshintergrund","33","0.298596240576903","0.218046627084492","0.379145854069313"
"katholisch","1990","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","(noch) kein Abschluss","kein Migrationshintergrund","98","0.514324042034096","0.444708339287474","0.583939744780719"
"evangelisch","1990","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"evangelisch","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Hauptschulabschluss","kein Migrationshintergrund","2406","0.468975563336252","0.45571076093721","0.482240365735294"
"evangelisch","1990","Hauptschulabschluss","direkter Migrationshintergrund","106","0.179478026562815","0.159766595554504","0.199189457571125"
"evangelisch","1990","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Realschulabschluss","kein Migrationshintergrund","1074","0.410276977690119","0.392601660296871","0.427952295083368"
"evangelisch","1990","Realschulabschluss","direkter Migrationshintergrund","32","0.271395212526854","0.202919322592124","0.339871102461585"
"evangelisch","1990","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","(Fach-)Abitur","kein Migrationshintergrund","263","0.446295916203792","0.40799172730812","0.484600105099463"
"evangelisch","1990","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"evangelisch","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","AkademikerInnen","kein Migrationshintergrund","499","0.360359207965411","0.336565309462217","0.384153106468604"
"evangelisch","1990","AkademikerInnen","direkter Migrationshintergrund","","","",""
"evangelisch","1990","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","(noch) kein Abschluss","direkter Migrationshintergrund","238","0.398609832018049","0.360795422557434","0.436424241478665"
"islamische Religionsgemeinschaft","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Hauptschulabschluss","direkter Migrationshintergrund","406","0.182353910911457","0.162520033418231","0.202187788404683"
"islamische Religionsgemeinschaft","1990","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Realschulabschluss","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Realschulabschluss","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","(Fach-)Abitur","direkter Migrationshintergrund","74","0.249273735732658","0.190200120906931","0.308347350558385"
"islamische Religionsgemeinschaft","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","AkademikerInnen","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","AkademikerInnen","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","(noch) kein Abschluss","kein Migrationshintergrund","33","0.0798610205891663","0.0421029635380856","0.117619077640247"
"konfessionslos","1990","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Hauptschulabschluss","kein Migrationshintergrund","1195","0.149168510536005","0.139698972809985","0.158638048262025"
"konfessionslos","1990","Hauptschulabschluss","direkter Migrationshintergrund","88","0.0761780902364668","0.0625518333255218","0.0898043471474119"
"konfessionslos","1990","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Realschulabschluss","kein Migrationshintergrund","1219","0.28899854919232","0.272709802083031","0.305287296301609"
"konfessionslos","1990","Realschulabschluss","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","(Fach-)Abitur","kein Migrationshintergrund","167","0.200631267987625","0.169773192446695","0.231489343528556"
"konfessionslos","1990","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","AkademikerInnen","kein Migrationshintergrund","791","0.382819900999715","0.358730115839478","0.406909686159952"
"konfessionslos","1990","AkademikerInnen","direkter Migrationshintergrund","42","0.343375998101681","0.259800188430014","0.426951807773348"
"konfessionslos","1990","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"andere","1990","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"andere","1990","(noch) kein Abschluss","direkter Migrationshintergrund","137","0.204707358784299","0.173544638120422","0.235870079448176"
"andere","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"andere","1990","Hauptschulabschluss","kein Migrationshintergrund","56","0.0103570046847283","0.00766593596341496","0.0130480734060416"
"andere","1990","Hauptschulabschluss","direkter Migrationshintergrund","272","0.106911214263428","0.0910394080382703","0.122783020488585"
"andere","1990","Hauptschulabschluss","indirekter Migrationshintergrund","30","0.123682762483994","0.0704627846557475","0.176902740312241"
"andere","1990","Realschulabschluss","kein Migrationshintergrund","37","0.0147597355463086","0.0104264733290278","0.0190929977635895"
"andere","1990","Realschulabschluss","direkter Migrationshintergrund","","","",""
"andere","1990","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"andere","1990","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"andere","1990","(Fach-)Abitur","direkter Migrationshintergrund","44","0.116572639897442","0.0727500319660545","0.16039524782883"
"andere","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"andere","1990","AkademikerInnen","kein Migrationshintergrund","","","",""
"andere","1990","AkademikerInnen","direkter Migrationshintergrund","","","",""
"andere","1990","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"katholisch","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"katholisch","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"katholisch","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Hauptschulabschluss","kein Migrationshintergrund","69","0.0526360335596157","0.0410903482658132","0.0641817188534182"
"katholisch","1991","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"katholisch","1991","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Realschulabschluss","kein Migrationshintergrund","76","0.0517993934310249","0.0405501912912234","0.0630485955708263"
"katholisch","1991","Realschulabschluss","direkter Migrationshintergrund","","","",""
"katholisch","1991","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"katholisch","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"katholisch","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"katholisch","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"katholisch","1991","AkademikerInnen","kein Migrationshintergrund","33","0.0357507262047131","0.0237597271103981","0.047741725299028"
"katholisch","1991","AkademikerInnen","direkter Migrationshintergrund","","","",""
"katholisch","1991","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"evangelisch","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"evangelisch","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Hauptschulabschluss","kein Migrationshintergrund","477","0.360538155001664","0.335712389940296","0.385363920063032"
"evangelisch","1991","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Realschulabschluss","kein Migrationshintergrund","345","0.231934179356838","0.210510657554489","0.253357701159187"
"evangelisch","1991","Realschulabschluss","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"evangelisch","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"evangelisch","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","AkademikerInnen","kein Migrationshintergrund","221","0.239478475553393","0.211916694818993","0.267040256287794"
"evangelisch","1991","AkademikerInnen","direkter Migrationshintergrund","","","",""
"evangelisch","1991","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","Realschulabschluss","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","Realschulabschluss","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","AkademikerInnen","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","AkademikerInnen","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1991","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"konfessionslos","1991","(noch) kein Abschluss","kein Migrationshintergrund","33","0.674420288967086","0.5445358660803","0.804304711853871"
"konfessionslos","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"konfessionslos","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"konfessionslos","1991","Hauptschulabschluss","kein Migrationshintergrund","880","0.578116830879536","0.552582551052438","0.603651110706634"
"konfessionslos","1991","Hauptschulabschluss","direkter Migrationshintergrund","40","0.48450619902966","0.374302559403746","0.594709838655574"
"konfessionslos","1991","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"konfessionslos","1991","Realschulabschluss","kein Migrationshintergrund","1060","0.710298656047108","0.687273370714654","0.733323941379561"
"konfessionslos","1991","Realschulabschluss","direkter Migrationshintergrund","","","",""
"konfessionslos","1991","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"konfessionslos","1991","(Fach-)Abitur","kein Migrationshintergrund","84","0.725326642356626","0.644792104545798","0.805861180167454"
"konfessionslos","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"konfessionslos","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"konfessionslos","1991","AkademikerInnen","kein Migrationshintergrund","662","0.72112524615161","0.692163267704781","0.75008722459844"
"konfessionslos","1991","AkademikerInnen","direkter Migrationshintergrund","","","",""
"konfessionslos","1991","AkademikerInnen","indirekter Migrationshintergrund","","","",""
