year,age_gr,pgisced97,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,No,0.95959,178,178,0.93058,0.98860
1984,17-29 y.,Primary Level,No,0.87592,180,180,0.82762,0.92422
1984,17-29 y.,Lower Secondary Level,Yes,0.09904,108,1041,0.08088,0.11719
1984,17-29 y.,Lower Secondary Level,No,0.89429,933,1041,0.87560,0.91297
1984,17-29 y.,Upper Secondary Level,Yes,0.09917,162,1600,0.08452,0.11382
1984,17-29 y.,Upper Secondary Level,No,0.89977,1438,1600,0.88505,0.91449
1984,17-29 y.,Post-secondary Non-tertiary Level,No,0.93608,115,115,0.89118,0.98099
1984,17-29 y.,First Stage of Tertiary Education,No,0.87997,110,110,0.81895,0.94098
1984,17-29 y.,Second Stage of Tertiary Education,No,0.92650,120,120,0.87962,0.97339
1984,30-45 y.,Primary Level,Yes,0.12158,51,399,0.08948,0.15369
1984,30-45 y.,Primary Level,No,0.87842,348,399,0.84631,0.91052
1984,30-45 y.,Lower Secondary Level,Yes,0.11185,85,803,0.09003,0.13366
1984,30-45 y.,Lower Secondary Level,No,0.88582,718,803,0.86381,0.90784
1984,30-45 y.,Upper Secondary Level,Yes,0.10602,209,1947,0.09234,0.11970
1984,30-45 y.,Upper Secondary Level,No,0.89311,1738,1947,0.87939,0.90684
1984,30-45 y.,Post-secondary Non-tertiary Level,No,0.88489,84,84,0.81623,0.95355
1984,30-45 y.,First Stage of Tertiary Education,No,0.90210,224,224,0.86309,0.94110
1984,30-45 y.,Second Stage of Tertiary Education,No,0.90802,346,346,0.87753,0.93852
1984,46-65 y.,Primary Level,Yes,0.15389,58,378,0.11747,0.19032
1984,46-65 y.,Primary Level,No,0.84490,320,378,0.80836,0.88144
1984,46-65 y.,Lower Secondary Level,Yes,0.10916,122,1083,0.09058,0.12775
1984,46-65 y.,Lower Secondary Level,No,0.88981,961,1083,0.87115,0.90846
1984,46-65 y.,Upper Secondary Level,Yes,0.11160,177,1581,0.09607,0.12713
1984,46-65 y.,Upper Secondary Level,No,0.88713,1404,1581,0.87153,0.90274
