year,pgisced97,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,No,0.92538,178,178,0.88667,0.96409
1984,Primary Level,Yes,0.12363,135,998,0.10320,0.14406
1984,Primary Level,No,0.87563,863,998,0.85515,0.89612
1984,Lower Secondary Level,Yes,0.12304,403,3441,0.11207,0.13402
1984,Lower Secondary Level,No,0.87351,3038,3441,0.86241,0.88462
1984,Upper Secondary Level,Yes,0.11098,630,5696,0.10282,0.11914
1984,Upper Secondary Level,No,0.88754,5066,5696,0.87933,0.89574
1984,Post-secondary Non-tertiary Level,Yes,0.08023,35,308,0.04984,0.11061
1984,Post-secondary Non-tertiary Level,No,0.91610,273,308,0.88509,0.94711
1984,First Stage of Tertiary Education,Yes,0.13776,88,658,0.11140,0.16411
1984,First Stage of Tertiary Education,No,0.85998,570,658,0.83344,0.88651
1984,Second Stage of Tertiary Education,Yes,0.08297,61,787,0.06369,0.10225
1984,Second Stage of Tertiary Education,No,0.91232,726,787,0.89255,0.93210
1985,Pre-primary Level,No,0.92379,173,173,0.88414,0.96344
1985,Primary Level,Yes,0.13660,107,833,0.11326,0.15993
1985,Primary Level,No,0.86283,726,833,0.83945,0.88621
1985,Lower Secondary Level,Yes,0.11943,363,3051,0.10792,0.13094
1985,Lower Secondary Level,No,0.87704,2688,3051,0.86539,0.88870
1985,Upper Secondary Level,Yes,0.11245,583,5172,0.10384,0.12106
1985,Upper Secondary Level,No,0.88596,4589,5172,0.87729,0.89462
1985,Post-secondary Non-tertiary Level,No,0.92663,251,251,0.89431,0.95895
1985,First Stage of Tertiary Education,Yes,0.12469,80,619,0.09864,0.15073
1985,First Stage of Tertiary Education,No,0.87394,539,619,0.84777,0.90011
1985,Second Stage of Tertiary Education,Yes,0.09883,72,754,0.07751,0.12014
1985,Second Stage of Tertiary Education,No,0.90093,682,754,0.87959,0.92227
1986,Pre-primary Level,No,0.92234,173,173,0.88234,0.96234
1986,Primary Level,Yes,0.13407,109,776,0.11008,0.15805
1986,Primary Level,No,0.86424,667,776,0.84012,0.88836
1986,Lower Secondary Level,Yes,0.12577,363,2899,0.11370,0.13785
1986,Lower Secondary Level,No,0.87081,2536,2899,0.85859,0.88302
1986,Upper Secondary Level,Yes,0.12645,615,4979,0.11721,0.13568
1986,Upper Secondary Level,No,0.87037,4364,4979,0.86103,0.87970
1986,Post-secondary Non-tertiary Level,Yes,0.08504,31,272,0.05183,0.11826
1986,Post-secondary Non-tertiary Level,No,0.91073,241,272,0.87678,0.94468
1986,First Stage of Tertiary Education,Yes,0.11860,72,580,0.09226,0.14493
1986,First Stage of Tertiary Education,No,0.87810,508,580,0.85145,0.90475
1986,Second Stage of Tertiary Education,Yes,0.10733,74,748,0.08514,0.12953
