year,quintil_oecd,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,1st Quintile,Very often,0.03440,147,3379,0.02825,0.04054
2003,1st Quintile,Often,0.04631,233,3379,0.03923,0.05340
2003,1st Quintile,Sometimes,0.06411,284,3379,0.05585,0.07237
2003,1st Quintile,Seldom,0.11949,521,3379,0.10855,0.13042
2003,1st Quintile,Never,0.51344,2194,3379,0.49659,0.53030
2003,2nd Quintile,Very often,0.03195,153,3827,0.02638,0.03752
2003,2nd Quintile,Often,0.06296,308,3827,0.05526,0.07066
2003,2nd Quintile,Sometimes,0.07339,365,3827,0.06513,0.08166
2003,2nd Quintile,Seldom,0.12801,623,3827,0.11742,0.13859
2003,2nd Quintile,Never,0.49414,2378,3827,0.47830,0.50998
2003,3rd Quintile,Very often,0.03838,183,4043,0.03246,0.04431
2003,3rd Quintile,Often,0.05933,298,4043,0.05205,0.06661
2003,3rd Quintile,Sometimes,0.08392,416,4043,0.07537,0.09246
2003,3rd Quintile,Seldom,0.13722,710,4043,0.12661,0.14783
2003,3rd Quintile,Never,0.49572,2436,4043,0.48030,0.51113
2003,4th Quintile,Very often,0.04524,247,4440,0.03912,0.05135
2003,4th Quintile,Often,0.06608,357,4440,0.05878,0.07339
2003,4th Quintile,Sometimes,0.09589,508,4440,0.08723,0.10455
2003,4th Quintile,Seldom,0.15614,846,4440,0.14546,0.16682
2003,4th Quintile,Never,0.49157,2482,4440,0.47687,0.50628
2003,5th Quintile,Very often,0.04192,309,6323,0.03698,0.04686
2003,5th Quintile,Often,0.08193,587,6323,0.07517,0.08869
2003,5th Quintile,Sometimes,0.09901,719,6323,0.09164,0.10637
2003,5th Quintile,Seldom,0.16474,1220,6323,0.15559,0.17388
2003,5th Quintile,Never,0.50732,3488,6323,0.49499,0.51964
2008,1st Quintile,Very often,0.03864,150,2944,0.03167,0.04560
2008,1st Quintile,Often,0.06848,239,2944,0.05935,0.07760
2008,1st Quintile,Sometimes,0.07184,264,2944,0.06251,0.08117
2008,1st Quintile,Seldom,0.10814,413,2944,0.09692,0.11936
2008,1st Quintile,Never,0.49964,1878,2944,0.48157,0.51770
2008,2nd Quintile,Very often,0.03861,167,3353,0.03209,0.04514
2008,2nd Quintile,Often,0.06109,264,3353,0.05298,0.06920
2008,2nd Quintile,Sometimes,0.06595,290,3353,0.05755,0.07435
2008,2nd Quintile,Seldom,0.13612,573,3353,0.12451,0.14772
2008,2nd Quintile,Never,0.50559,2059,3353,0.48867,0.52252
2008,3rd Quintile,Very often,0.04175,199,3796,0.03539,0.04812
2008,3rd Quintile,Often,0.07255,340,3796,0.06430,0.08081
2008,3rd Quintile,Sometimes,0.08988,393,3796,0.08078,0.09898
