,Unnamed: 0,year,quintil_oecd,regtyp,pld0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,1st Quintile,Urban regions,Very often,0.04581,95,22012,0.0396,0.05276
1,1,2003,1st Quintile,Urban regions,Often,0.05823,141,22012,0.0518,0.06524
2,2,2003,1st Quintile,Urban regions,Sometimes,0.08388,171,22012,0.07449,0.09088
3,3,2003,1st Quintile,Urban regions,Seldom,0.14935,308,22012,0.13502,0.16178
4,4,2003,1st Quintile,Urban regions,Never,0.66273,1413,22012,0.64416,0.68394
5,5,2003,1st Quintile,Rural regions,Very often,0.047,54,22012,0.03997,0.05466
6,6,2003,1st Quintile,Rural regions,Often,0.06735,94,22012,0.05886,0.07634
7,7,2003,1st Quintile,Rural regions,Sometimes,0.09479,123,22012,0.0836,0.10565
8,8,2003,1st Quintile,Rural regions,Seldom,0.16128,209,22012,0.14923,0.17563
9,9,2003,1st Quintile,Rural regions,Never,0.62958,759,22012,0.60456,0.65898
10,10,2003,2nd Quintile,Urban regions,Very often,0.03468,82,22012,0.02978,0.0402
11,11,2003,2nd Quintile,Urban regions,Often,0.06938,163,22012,0.06121,0.07908
12,12,2003,2nd Quintile,Urban regions,Sometimes,0.08623,193,22012,0.07845,0.09413
13,13,2003,2nd Quintile,Urban regions,Seldom,0.15538,352,22012,0.14248,0.16794
14,14,2003,2nd Quintile,Urban regions,Never,0.65432,1487,22012,0.63172,0.67804
15,15,2003,2nd Quintile,Rural regions,Very often,0.04583,70,22012,0.03895,0.05301
16,16,2003,2nd Quintile,Rural regions,Often,0.09604,150,22012,0.08491,0.10614
17,17,2003,2nd Quintile,Rural regions,Sometimes,0.09838,166,22012,0.0896,0.10843
18,18,2003,2nd Quintile,Rural regions,Seldom,0.17252,268,22012,0.15976,0.18497
19,19,2003,2nd Quintile,Rural regions,Never,0.58724,909,22012,0.56349,0.61184
20,20,2003,3rd Quintile,Urban regions,Very often,0.0396,110,22012,0.03343,0.04579
21,21,2003,3rd Quintile,Urban regions,Often,0.06177,164,22012,0.05524,0.06814
22,22,2003,3rd Quintile,Urban regions,Sometimes,0.08505,233,22012,0.07658,0.09306
23,23,2003,3rd Quintile,Urban regions,Seldom,0.16032,430,22012,0.14846,0.17372
24,24,2003,3rd Quintile,Urban regions,Never,0.65326,1677,22012,0.63667,0.6732
25,25,2003,3rd Quintile,Rural regions,Very often,0.05643,79,22012,0.04761,0.06773
26,26,2003,3rd Quintile,Rural regions,Often,0.07698,117,22012,0.06969,0.08422
27,27,2003,3rd Quintile,Rural regions,Sometimes,0.12792,185,22012,0.1161,0.14074
28,28,2003,3rd Quintile,Rural regions,Seldom,0.19747,299,22012,0.18252,0.21159
29,29,2003,3rd Quintile,Rural regions,Never,0.54121,807,22012,0.51978,0.56711
30,30,2003,4th Quintile,Urban regions,Very often,0.05215,152,22012,0.0453,0.05754
31,31,2003,4th Quintile,Urban regions,Often,0.07768,225,22012,0.07001,0.08571
32,32,2003,4th Quintile,Urban regions,Sometimes,0.10641,291,22012,0.09767,0.11645
33,33,2003,4th Quintile,Urban regions,Seldom,0.16504,494,22012,0.1529,0.17624
34,34,2003,4th Quintile,Urban regions,Never,0.59872,1709,22012,0.58132,0.62242
35,35,2003,4th Quintile,Rural regions,Very often,0.0621,95,22012,0.05427,0.07133
36,36,2003,4th Quintile,Rural regions,Often,0.08591,144,22012,0.07273,0.09802
37,37,2003,4th Quintile,Rural regions,Sometimes,0.13486,214,22012,0.1196,0.15301
38,38,2003,4th Quintile,Rural regions,Seldom,0.20903,333,22012,0.19038,0.22617
